tag;name;sid
MTS;Fristående kurser inom Människa, teknik, samhälle (MTS);118
SBVII;Sjöbefäl klass VII;1623
SPRAK;Fristående kurser inom Fackspråk och kommunikation;515
TAFFK;Affärsutveckling och entreprenörskap inom byggteknik;132
TAFFS;Affärsutveckling och entreprenörskap inom samhällsbyggnadsteknik;1484
TIBYL;Byggteknik, högskoleingenjör;29
TIDAL;Datateknik, högskoleingenjör;135
TIDSL;Design och produktutveckling, högskoleingenjör;96
TIELL;Elektroteknik, högskoleingenjör;100
TIEPL;Ekonomi och produktionsteknik, högskoleingenjör;12
TIKEL;Kemiteknik, högskoleingenjör;141
TIMAL;Maskinteknik, högskoleingenjör;13
TIMEL;Mekatronik, högskoleingenjör;101
TISAM;Samhällsbyggnadsteknik, högskoleingenjör;1480
TISJL;Sjöingenjör;93
TKARK;Arkitektur;194
TKATK;Arkitektur och teknik;129
TKAUT;Automation och mekatronik, civilingenjör;57
TKBIO;Bioteknik, civilingenjör;17
TKDAT;Datateknik, civilingenjör;88
TKDES;Teknisk design, civilingenjör;43
TKELT;Elektroteknik, civilingenjör;113
TKGBS;Globala system, civilingenjör;2213
TKIEK;Industriell ekonomi, civilingenjör;45
TKITE;Informationsteknik, civilingenjör;71
TKKEF;Kemiteknik med fysik, civilingenjör;20
TKKMT;Kemiteknik, civilingenjör;23
TKMAS;Maskinteknik, civilingenjör;9
TKMED;Medicinteknik, civilingenjör;2198
TKSAM;Samhällsbyggnadsteknik, civilingenjör;1481
TKTEM;Teknisk matematik, civilingenjör;115
TKTFY;Teknisk fysik, civilingenjör;126
TKVOV;Väg;30
TSILO;Internationell logistik;2028
TSJKL;Sjökapten;283
TSLOG;Sjöfart och logistik;232
ZBASS;Tekniskt basår;569
