name;ans_freq;report_id
SJM005 Terresternavigation och sjömanskap 2017/2018 LP1-LP2;24 (26,09%);11568
SJO516 Säkerhet 2016/2017 LP4-LP4;10 (20,00%);10083
SJO516 Säkerhet 2017/2018 LP4-LP4;17 (38,64%);12373
SJO855 Marina maskinsystem 1 2016/2017 LP1-LP1;27 (39,13%);8905
SJO855 Marina maskinsystem 1 2017/2018 LP1-LP1;18 (33,96%);10805
SJO860 Terresternavigation och sjömanskap 2016/2017 LP1-LP2;27 (42,19%);8955
SJO865 Fartygsstabilitet och fartygskonstruktion 2017/2018 LP1-LP1;16 (33,33%);10831
SJO865 Fartygsstabilitet och -konstruktion 2016/2017 LP1-LP1;25 (39,68%);8907
SJO870 Marina maskinsystem 2 2016/2017 LP3-LP3;20 (36,36%);10031
SJO870 Marina maskinsystem 2 2017/2018 LP3-LP3;12 (26,67%);12021
SJO875 Fartygskommunikation 2016/2017 LP3-LP3;14 (26,42%);10033
SJO875 Fartygskommunikation 2017/2018 LP3-LP3;12 (27,27%);12017
SJO880 Hantering av farligt gods 2016/2017 LP3-LP3;15 (27,27%);10035
SJO880 Hantering av farligt gods 2017/2018 LP3-LP3;11 (24,44%);12165
SJO885 Sjövägsregler 2016/2017 LP3-LP3;15 (26,32%);10037
SJO885 Sjövägsregler 2017/2018 LP3-LP3;12 (27,91%);12167
SJO890 Fartygsadministration 2016/2017 LP4-LP4;8 (14,55%);10111
SJO890 Fartygsadministration 2017/2018 LP4-LP4;15 (30,61%);12367
SJO895 Hela resan - Bryggrutiner och maskintjänst 2016/2017 LP4-LP4;11 (20,37%);10113
SJO895 Hela resan: Bryggrutiner och maskintjänst 2017/2018 LP4-LP4;26 (55,32%);12371
SSY335 El- och reglerteknik 2016/2017 LP2-LP2;23 (35,94%);9569
SSY335 El- och reglerteknik 2017/2018 LP2-LP2;27 (55,10%);11460
EEN145 El- och reglerteknik 2021/2022 LP2-LP2;19 (35,19%);20959
SJM005 Terresternavigation och sjömanskap 2018/2019 LP1-LP2;32 (29,91%);14135
SJM005 Terresternavigation och sjömanskap 2019/2020 LP1-LP2;17 (14,78%);15955
SJM005 Terresternavigation och sjömanskap 2020/2021 LP1-LP2;47 (31,33%);18205
SJM005 Terresternavigation och sjömanskap 2021/2022 LP1-LP2;32 (28,83%);20921
SJO516 Säkerhet 2018/2019 LP4-LP4;12 (28,57%);14658
SJO516 Säkerhet 2019/2020 LP4-LP4;5 (9,62%);16934
SJO517 Säkerhet 2021/2022 LP4-LP4;19 (35,19%);21682
SJO855 Marina maskinsystem 1 2018/2019 LP1-LP1;19 (40,43%);13046
SJO855 Marina maskinsystem 1 2019/2020 LP1-LP1;6 (9,84%);15308
SJO855 Marina maskinsystem 1 2020/2021 LP1-LP1;32 (38,10%);17833
SJO855 Marina maskinsystem 1 2021/2022 LP1-LP1;31 (47,69%);19788
SJO855 Marina maskinsystem 1 2022/2023 LP1-LP1;29 (42,03%);22566
SJO865 Fartygsstabilitet och fartygskonstruktion 2018/2019 LP1-LP1;20 (41,67%);13062
SJO865 Fartygsstabilitet och fartygskonstruktion 2019/2020 LP1-LP1;6 (9,68%);15518
SJO865 Fartygsstabilitet och fartygskonstruktion 2020/2021 LP1-LP1;27 (32,53%);17497
SJO865 Fartygsstabilitet och fartygskonstruktion 2021/2022 LP1-LP1;27 (42,86%);20068
SJO865 Fartygsstabilitet och fartygskonstruktion 2022/2023 LP1-LP1;20 (28,57%);22336
SJO870 Marina maskinsystem 2 2018/2019 LP3-LP3;16 (39,02%);14263
SJO870 Marina maskinsystem 2 2019/2020 LP3-LP3;8 (16,00%);16512
SJO870 Marina maskinsystem 2 2020/2021 LP3-LP3;18 (23,08%);18819
SJO870 Marina maskinsystem 2 2021/2022 LP3-LP3;18 (34,62%);21453
SJO875 Fartygskommunikation 2018/2019 LP3-LP3;16 (39,02%);14259
SJO875 Fartygskommunikation 2019/2020 LP3-LP3;7 (13,46%);16790
SJO875 Fartygskommunikation 2020/2021 LP3-LP3;17 (22,67%);18961
SJO875 Fartygskommunikation 2021/2022 LP3-LP3;27 (50,94%);21219
SJO880 Hantering av farligt gods 2018/2019 LP3-LP3;15 (36,59%);14339
SJO880 Hantering av farligt gods 2019/2020 LP3-LP3;11 (20,75%);16770
SJO880 Hantering av farligt gods 2021/2022 LP3-LP3;22 (40,74%);21077
SJO885 Sjövägsregler 2018/2019 LP3-LP3;14 (32,56%);14341
SJO885 Sjövägsregler 2019/2020 LP3-LP3;7 (13,46%);16542
SJO885 Sjövägsregler 2020/2021 LP3-LP3;14 (18,42%);18985
SJO885 Sjövägsregler 2021/2022 LP3-LP3;20 (36,36%);21261
SJO890 Fartygsadministration 2018/2019 LP4-LP4;14 (33,33%);14650
SJO890 Fartygsadministration 2019/2020 LP4-LP4;7 (13,21%);16930
SJO890 Fartygsadministration 2021/2022 LP4-LP4;13 (24,53%);21686
SJO895 Hela resan: Bryggrutiner och maskintjänst 2018/2019 LP4-LP4;11 (24,44%);14656
SJO895 Hela resan: Bryggrutiner och maskintjänst 2019/2020 LP4-LP4;4 (7,55%);16932
SJO895 Hela resan: Bryggrutiner och maskintjänst 2021/2022 LP4-LP4;15 (28,30%);21684
SSY335 El- och reglerteknik 2018/2019 LP2-LP2;24 (55,81%);13661
SSY335 El- och reglerteknik 2019/2020 LP2-LP2;8 (13,33%);15909
SSY335 El- och reglerteknik 2020/2021 LP2-LP2;30 (35,71%);18557
