programme;course_tag;report_id
SPRAK;FSP046;2874
SPRAK;FSP046;3346
SPRAK;FSP046;4843
SPRAK;FSP046;
SPRAK;FSP046;
SPRAK;FSP046;8076
SPRAK;FSP046;8937
SPRAK;FSP046;10062
SPRAK;FSP046;11176
SPRAK;FSP046;12342
SPRAK;FSP055;2912
SPRAK;FSP055;3158
SPRAK;FSP055;4579
SPRAK;FSP055;6752
SPRAK;FSP055;8206
SPRAK;FSP055;8939
SPRAK;FSP055;10125
SPRAK;FSP055;11174
SPRAK;FSP055;12344
SPRAK;LSP504;3256
SPRAK;LSP504;5520
SPRAK;LSP505;10060
SPRAK;LSP505;12340
SPRAK;LSP530;2532
SPRAK;LSP530;4695
SPRAK;LSP530;7196
SPRAK;LSP530;9383
SPRAK;LSP530;11476
SPRAK;CLS045;21625
SPRAK;FSP046;13473
SPRAK;FSP046;14639
SPRAK;FSP046;15766
SPRAK;FSP046;16916
SPRAK;FSP046;18005
SPRAK;FSP046;20290
SPRAK;FSP055;13479
SPRAK;FSP055;14641
SPRAK;FSP055;15761
SPRAK;FSP055;16918
SPRAK;FSP055;20288
SPRAK;LSP505;14637
SPRAK;LSP505;16914
SPRAK;LSP530;13677
SPRAK;LSP530;15915
SPRAK;LSP530;18349
SPRAK;LSP530;20487
