name;ans_freq;report_id
FSP046 English for engineers 2013/2014 LP1-LP2;16 (37,21%);2874
FSP046 English for engineers 2013/2014 LP3-LP4;10 (27,78%);3346
FSP046 English for engineers 2014/2015 LP1-LP2;13 (29,55%);4843
FSP046 English for engineers 2014/2015 LP3-LP4;9 (36,00%);
FSP046 English for engineers 2015/2016 LP1-LP2;16 (28,57%);
FSP046 English for engineers 2015/2016 LP3-LP4;4 (16,67%);8076
FSP046 English for engineers 2016/2017 LP1-LP2;17 (47,22%);8937
FSP046 English for engineers 2016/2017 LP3-LP4;8 (29,63%);10062
FSP046 English for engineers 2017/2018 LP1-LP2;13 (50,00%);11176
FSP046 English for engineers 2017/2018 LP3-LP4;14 (53,85%);12342
FSP055 English 2013/2014 LP1-LP2;6 (27,27%);2912
FSP055 English 2013/2014 LP3-LP4;6 (42,86%);3158
FSP055 English 2014/2015 LP1-LP2;6 (28,57%);4579
FSP055 English 2015/2016 LP1-LP2;10 (50,00%);6752
FSP055 English 2015/2016 LP3-LP4;4 (44,44%);8206
FSP055 English 2016/2017 LP1-LP2;5 (25,00%);8939
FSP055 English 2016/2017 LP3-LP4;4 (26,67%);10125
FSP055 English 2017/2018 LP1-LP2;12 (52,17%);11174
FSP055 English 2017/2018 LP3-LP4;4 (50,00%);12344
LSP504 Technical writing for master's studies 2013/2014 LP3-LP4;4 (33,33%);3256
LSP504 Technical writing for master's studies 2014/2015 LP3-LP4;4 (44,44%);5520
LSP505 Technical writing for master's studies 2016/2017 LP3-LP4;7 (43,75%);10060
LSP505 Technical writing for master's studies 2017/2018 LP3-LP4;4 (28,57%);12340
LSP530 Fiction for engineers 2013/2014 LP1-LP2;14 (50,00%);2532
LSP530 Fiction for engineers 2014/2015 LP1-LP2;10 (62,50%);4695
LSP530 Fiction for engineers 2015/2016 LP1-LP2;7 (23,33%);7196
LSP530 Fiction for engineers 2016/2017 LP1-LP2;9 (32,14%);9383
LSP530 Fiction for engineers 2017/2018 LP1-LP2;12 (35,29%);11476
CLS045 Global and intercultural competence 2021/2022 LP3-LP4;14 (63,64%);21625
FSP046 English for engineers 2018/2019 LP1-LP2;17 (54,84%);13473
FSP046 English for engineers 2018/2019 LP3-LP4;8 (29,63%);14639
FSP046 English for engineers 2019/2020 LP1-LP2;12 (44,44%);15766
FSP046 English for engineers 2019/2020 LP3-LP4;6 (35,29%);16916
FSP046 English for engineers 2020/2021 LP1-LP2;6 (37,50%);18005
FSP046 English for engineers 2021/2022 LP1-LP2;17 (77,27%);20290
FSP055 English 2018/2019 LP1-LP2;13 (61,90%);13479
FSP055 English 2018/2019 LP3-LP4;10 (58,82%);14641
FSP055 English 2019/2020 LP1-LP2;7 (53,85%);15761
FSP055 English 2019/2020 LP3-LP4;10 (71,43%);16918
FSP055 English 2021/2022 LP1-LP2;4 (100,00%);20288
LSP505 Technical writing for master's studies 2018/2019 LP3-LP4;4 (40,00%);14637
LSP505 Technical writing for master's studies 2019/2020 LP3-LP4;4 (57,14%);16914
LSP530 Fiction for engineers 2018/2019 LP1-LP2;10 (37,04%);13677
LSP530 Fiction for engineers 2019/2020 LP1-LP2;12 (42,86%);15915
LSP530 Fiction for engineers 2020/2021 LP1-LP2;9 (34,62%);18349
LSP530 Fiction for engineers 2021/2022 LP1-LP2;8 (28,57%);20487
