programme;course_tag;report_id
TAFFK;BMT025;2668
TAFFK;BMT025;4543
TAFFK;BMT025;6722
TAFFK;ENM150;4213
TAFFK;ENM150;6405
TAFFK;LBT087;1573
TAFFK;LBT087;5203
TAFFK;LBT087;7390
TAFFK;LBT101;3374
TAFFK;LBT101;5756
TAFFK;LBT110;2488
TAFFK;LBT110;4271
TAFFK;LBT117;2768
TAFFK;LBT117;4461
TAFFK;LBT117;6658
TAFFK;LBT117;9077
TAFFK;LBT150;2736
TAFFK;LBT150;4399
TAFFK;LBT150;7124
TAFFK;LBT201;3308
TAFFK;LBT201;5612
TAFFK;LBT201;8048
TAFFK;LBT390;3358
TAFFK;LBT390;5748
TAFFK;LBT390;7930
TAFFK;LBT410;1471
TAFFK;LBT410;5069
TAFFK;LBT410;7642
TAFFK;LBT612;1990
TAFFK;LBT612;4049
TAFFK;LBT622;2484
TAFFK;LBT622;4267
TAFFK;LBT625;1938
TAFFK;LBT630;3162
TAFFK;LBT630;5894
TAFFK;LBT641;3132
TAFFK;LBT641;5866
TAFFK;LBT643;2452
TAFFK;LBT643;4767
TAFFK;LBT643;7090
TAFFK;LBT812;2198
TAFFK;LBT812;3903
TAFFK;LBT812;6111
TAFFK;LBT812;8537
TAFFK;LBT813;1992
TAFFK;LBT813;4051
TAFFK;LBT813;6541
TAFFK;LBT813;8767
TAFFK;LBT815;3296
TAFFK;LBT815;5604
TAFFK;LBT815;7802
TAFFK;LBT815;10107
TAFFK;LBT825;2458
TAFFK;LBT825;4771
TAFFK;LBT825;7094
TAFFK;LBT825;9193
TAFFK;LMA136;1443
TAFFK;LMA136;4991
TAFFK;LSP028;1473
TAFFK;LSP028;5275
TAFFK;LSP028;7718
TAFFK;LSP028;9905
TAFFK;LSP035;3396
TAFFK;LSP035;5680
TAFFK;TEK470;1851
TAFFK;TEK470;5355
TAFFK;TEK470;7520
TAFFK;TEK470;9867
