name;ans_freq;report_id
BMT025 Affärsjuridik 2013/2014 LP2-LP2;21 (55,26%);2668
BMT025 Affärsjuridik 2014/2015 LP2-LP2;22 (56,41%);4543
BMT025 Affärsjuridik 2015/2016 LP2-LP2;29 (60,42%);6722
ENM150 Miljöteknik för hållbar utveckling 2014/2015 LP1-LP1;53 (49,53%);4213
ENM150 Miljöteknik för hållbar utveckling 2015/2016 LP1-LP1;63 (53,85%);6405
LBT087 Virtuellt byggande 2013/2014 LP1-LP3;12 (37,50%);1573
LBT087 Virtuellt byggande 2014/2015 LP1-LP3;21 (53,85%);5203
LBT087 Virtuellt byggande 2015/2016 LP1-LP3;18 (47,37%);7390
LBT101 Byggnadsplanering 2013/2014 LP3-LP4;58 (42,96%);3374
LBT101 Byggnadsplanering 2014/2015 LP3-LP4;40 (29,41%);5756
LBT110 Byggnadsekonomi och byggnadsorganisation 2013/2014 LP2-LP2;55 (42,31%);2488
LBT110 Byggnadsekonomi och byggnadsorganisation 2014/2015 LP2-LP2;56 (44,09%);4271
LBT117 Fastighets- och entreprenadjuridik 2013/2014 LP2-LP2;20 (52,63%);2768
LBT117 Fastighets- och entreprenadjuridik 2014/2015 LP2-LP2;21 (60,00%);4461
LBT117 Fastighets- och entreprenadjuridik 2015/2016 LP2-LP2;24 (66,67%);6658
LBT117 Fastighets- och entreprenadjuridik 2016/2017 LP2-LP2;14 (35,90%);9077
LBT150 Samhällsplanering 2013/2014 LP1-LP2;51 (42,15%);2736
LBT150 Samhällsplanering 2014/2015 LP1-LP2;55 (46,61%);4399
LBT150 Samhällsplanering 2015/2016 LP1-LP2;41 (33,61%);7124
LBT201 Fastighetsutveckling 2013/2014 LP4-LP4;18 (54,55%);3308
LBT201 Fastighetsutveckling 2014/2015 LP4-LP4;25 (60,98%);5612
LBT201 Fastighetsutveckling 2015/2016 LP4-LP4;19 (48,72%);8048
LBT390 Ombyggnad och underhåll 2013/2014 LP4-LP4;16 (48,48%);3358
LBT390 Ombyggnad och underhåll 2014/2015 LP4-LP4;17 (47,22%);5748
LBT390 Ombyggnad och underhåll 2015/2016 LP4-LP4;17 (47,22%);7930
LBT410 Project and commercial management 2013/2014 LP3-LP3;15 (44,12%);1471
LBT410 Project and commercial management 2014/2015 LP3-LP3;20 (55,56%);5069
LBT410 Project and commercial management 2015/2016 LP3-LP3;23 (62,16%);7642
LBT612 Teknologi 2013/2014 LP1-LP1;23 (58,97%);1990
LBT612 Teknologi 2014/2015 LP1-LP1;28 (68,29%);4049
LBT622 Beteendevetenskap 2013/2014 LP1-LP2;21 (51,22%);2484
LBT622 Beteendevetenskap 2014/2015 LP1-LP2;24 (63,16%);4267
LBT625 Miljö och hållbar utveckling 2013/2014 LP1-LP1;71 (58,68%);1938
LBT630 Inomhusmiljö 2013/2014 LP4-LP4;24 (64,86%);3162
LBT630 Inomhusmiljö 2014/2015 LP4-LP4;10 (25,64%);5894
LBT641 Husbyggnadsteknik 2013/2014 LP3-LP4;25 (69,44%);3132
LBT641 Husbyggnadsteknik 2014/2015 LP3-LP4;12 (31,58%);5866
LBT643 Byggnadskonstruktion 2013/2014 LP2-LP2;17 (51,52%);2452
LBT643 Byggnadskonstruktion 2014/2015 LP2-LP2;23 (63,89%);4767
LBT643 Byggnadskonstruktion 2015/2016 LP2-LP2;20 (51,28%);7090
LBT812 Ledarskap och samarbete 2013/2014 LP1-LP1;20 (51,28%);2198
LBT812 Ledarskap och samarbete 2014/2015 LP1-LP1;23 (76,67%);3903
LBT812 Ledarskap och samarbete 2015/2016 LP1-LP1;25 (73,53%);6111
LBT812 Ledarskap och samarbete 2016/2017 LP1-LP1;17 (51,52%);8537
LBT813 Financial management 2013/2014 LP1-LP1;22 (64,71%);1992
LBT813 Financial management 2014/2015 LP1-LP1;24 (82,76%);4051
LBT813 Financial management 2015/2016 LP1-LP1;24 (68,57%);6541
LBT813 Financial management 2016/2017 LP1-LP1;19 (55,88%);8767
LBT815 Facilities management 2013/2014 LP4-LP4;23 (58,97%);3296
LBT815 Facilities management 2014/2015 LP4-LP4;15 (48,39%);5604
LBT815 Facilities management 2015/2016 LP4-LP4;13 (34,21%);7802
LBT815 Facilities management 2016/2017 LP4-LP4;27 (72,97%);10107
LBT825 Marknadsföring 2013/2014 LP2-LP2;24 (61,54%);2458
LBT825 Marknadsföring 2014/2015 LP2-LP2;21 (61,76%);4771
LBT825 Marknadsföring 2015/2016 LP2-LP2;24 (63,16%);7094
LBT825 Marknadsföring 2016/2017 LP2-LP2;31 (37,35%);9193
LMA136 Industriell matematik och statistik 2013/2014 LP2-LP3;23 (60,53%);1443
LMA136 Industriell matematik och statistik 2014/2015 LP2-LP3;21 (50,00%);4991
LSP028 Communication in English 2 2013/2014 LP3-LP3;28 (40,58%);1473
LSP028 Communication in English 2 2014/2015 LP3-LP3;31 (46,97%);5275
LSP028 Communication in English 2 2015/2016 LP3-LP3;33 (50,00%);7718
LSP028 Communication in English 2 2016/2017 LP3-LP3;20 (62,50%);9905
LSP035 Språk och kommunikation 2013/2014 LP1-LP4;22 (59,46%);3396
LSP035 Språk och kommunikation 2014/2015 LP1-LP4;16 (41,03%);5680
TEK470 Affärsutveckling 2013/2014 LP3-LP3;16 (47,06%);1851
TEK470 Affärsutveckling 2014/2015 LP3-LP3;16 (48,48%);5355
TEK470 Affärsutveckling 2015/2016 LP3-LP3;22 (61,11%);7520
TEK470 Affärsutveckling 2016/2017 LP3-LP3;21 (63,64%);9867
