programme;course_tag;report_id
TAFFS;ARK500;7740
TAFFS;ARK500;9931
TAFFS;ARK500;12009
TAFFS;ARK530;8871
TAFFS;ARK530;10925
TAFFS;ARK535;9535
TAFFS;ARK540;10567
TAFFS;ARK540;12585
TAFFS;ARK660;11750
TAFFS;ARK665;11105
TAFFS;ARK690;11746
TAFFS;BOM195;7220
TAFFS;BOM195;9451
TAFFS;BOM195;11498
TAFFS;BOM205;6557
TAFFS;BOM205;8797
TAFFS;BOM205;10853
TAFFS;BOM210;7734
TAFFS;BOM210;9949
TAFFS;BOM210;12077
TAFFS;BOM215;6559
TAFFS;BOM215;8799
TAFFS;BOM225;7224
TAFFS;BOM225;9455
TAFFS;BOM225;11592
TAFFS;BOM255;9533
TAFFS;BOM260;10569
TAFFS;BOM260;12719
TAFFS;BOM265;10013
TAFFS;BOM265;12013
TAFFS;BOM290;11103
TAFFS;BOM295;12275
TAFFS;CIU305;11776
TAFFS;ENM165;10027
TAFFS;ENM165;12161
TAFFS;MVE490;8885
TAFFS;MVE490;10933
TAFFS;TEK371;12391
TAFFS;TEK520;7736
TAFFS;TEK520;9951
TAFFS;TEK520;12079
TAFFS;TEK525;8308
TAFFS;TEK525;10491
TAFFS;TEK525;12637
TAFFS;TEK530;8310
TAFFS;TEK530;10493
TAFFS;TEK530;12613
TAFFS;TEK575;10637
TAFFS;ACE175;16361
TAFFS;ACE175;18471
TAFFS;ACE175;20663
TAFFS;ARK500;14499
TAFFS;ARK500;16778
TAFFS;ARK500;18925
TAFFS;ARK500;21197
TAFFS;ARK530;13106
TAFFS;ARK530;15358
TAFFS;ARK530;17591
TAFFS;ARK530;20208
TAFFS;ARK530;22264
TAFFS;ARK540;14839
TAFFS;ARK540;17047
TAFFS;ARK540;19406
TAFFS;ARK540;21765
TAFFS;ARK660;13865
TAFFS;ARK660;15863
TAFFS;ARK660;18163
TAFFS;ARK660;20865
TAFFS;ARK665;13342
TAFFS;ARK690;13991
TAFFS;BOM195;13697
TAFFS;BOM195;15927
TAFFS;BOM195;18229
TAFFS;BOM195;20311
TAFFS;BOM205;13086
TAFFS;BOM205;15442
TAFFS;BOM205;17913
TAFFS;BOM205;20156
TAFFS;BOM205;22632
TAFFS;BOM210;14465
TAFFS;BOM210;16748
TAFFS;BOM210;18917
TAFFS;BOM210;21189
TAFFS;BOM225;13735
TAFFS;BOM225;15963
TAFFS;BOM225;18535
TAFFS;BOM225;20343
TAFFS;BOM260;15065
TAFFS;BOM260;17315
TAFFS;BOM260;19542
TAFFS;BOM260;21705
TAFFS;BOM265;14255
TAFFS;BOM265;16596
TAFFS;BOM265;18899
TAFFS;BOM265;21153
TAFFS;BOM290;13340
TAFFS;BOM290;15630
TAFFS;BOM290;17595
TAFFS;BOM290;20212
TAFFS;BOM290;22268
TAFFS;BOM295;14507
TAFFS;BOM295;16600
TAFFS;BOM295;19119
TAFFS;BOM295;21423
TAFFS;CIU306;14131
TAFFS;CIU307;18115
TAFFS;CIU307;20787
TAFFS;CIU307;16101
TAFFS;ENM165;14335
TAFFS;ENM165;16538
TAFFS;ENM165;18931
TAFFS;ENM165;21203
TAFFS;MVE490;13114
TAFFS;MVE490;15336
TAFFS;MVE491;17969
TAFFS;MVE491;19938
TAFFS;MVE491;22434
TAFFS;TEK371;14674
TAFFS;TEK371;16973
TAFFS;TEK371;19520
TAFFS;TEK371;22079
TAFFS;TEK520;14303
TAFFS;TEK520;16714
TAFFS;TEK520;19011
TAFFS;TEK520;21073
TAFFS;TEK525;14875
TAFFS;TEK525;17069
TAFFS;TEK525;19340
TAFFS;TEK525;22091
TAFFS;TEK530;15059
TAFFS;TEK530;17267
TAFFS;TEK530;19446
TAFFS;TEK530;21783
TAFFS;TEK575;13324
TAFFS;TEK575;15574
TAFFS;TEK575;17743
TAFFS;TEK575;19958
TAFFS;TEK575;22478
