name;ans_freq;report_id
ARK500 Geografisk informationsbehandling 2015/2016 LP3-LP3;14 (37,84%);7740
ARK500 Geografisk informationsbehandling 2016/2017 LP3-LP3;21 (56,76%);9931
ARK500 Geografisk informationsbehandling 2017/2018 LP3-LP3;9 (25,71%);12009
ARK530 Fastighetsrätt och entreprenadjuridik 2016/2017 LP1-LP1;24 (66,67%);8871
ARK530 Fastighetsrätt och entreprenadjuridik 2017/2018 LP1-LP1;23 (60,53%);10925
ARK535 Den byggda miljöns värde 2016/2017 LP2-LP2;13 (36,11%);9535
ARK540 Samhällsplanering ur ett byggherreperspektiv 2016/2017 LP4-LP4;11 (30,56%);10567
ARK540 Samhällsplanering ur ett byggherreperspektiv 2017/2018 LP4-LP4;24 (70,59%);12585
ARK660 Den byggda miljöns värde 2017/2018 LP2-LP2;25 (69,44%);11750
ARK665 Ombyggnad och fastighetsutveckling 2017/2018 LP1-LP1;12 (32,43%);11105
ARK690 Fastighetsfinansiering 2017/2018 LP2-LP2;17 (48,57%);11746
BOM195 Byggnadsmaterial 2015/2016 LP2-LP2;111 (45,31%);7220
BOM195 Byggnadsmaterial 2016/2017 LP2-LP2;110 (38,60%);9451
BOM195 Byggnadsmaterial 2017/2018 LP2-LP2;141 (48,29%);11498
BOM205 Byggnaders funktioner och utformning 2015/2016 LP1-LP1;145 (55,77%);6557
BOM205 Byggnaders funktioner och utformning 2016/2017 LP1-LP1;129 (51,60%);8797
BOM205 Byggnaders funktioner och utformning 2017/2018 LP1-LP1;98 (40,50%);10853
BOM210 Urban space and functions 2015/2016 LP3-LP3;74 (32,17%);7734
BOM210 Urban space and functions 2016/2017 LP3-LP3;93 (38,91%);9949
BOM210 Urban space and functions 2017/2018 LP3-LP3;55 (24,89%);12077
BOM215 Grundläggande fysik, kemi och akustik 2015/2016 LP1-LP1;28 (63,64%);6559
BOM215 Grundläggande fysik, kemi och akustik 2016/2017 LP1-LP1;24 (57,14%);8799
BOM225 Ekonomi och organisation i byggsektorn 2015/2016 LP2-LP2;23 (56,10%);7224
BOM225 Ekonomi och organisation i byggsektorn 2016/2017 LP2-LP2;67 (31,02%);9455
BOM225 Ekonomi och organisation i byggsektorn 2017/2018 LP2-LP2;118 (49,58%);11592
BOM255 Fastighetsförvaltning 2016/2017 LP2-LP2;13 (36,11%);9533
BOM260 Ledarskap 2016/2017 LP4-LP4;10 (28,57%);10569
BOM260 Ledarskap 2017/2018 LP4-LP4;18 (52,94%);12719
BOM265 Byggnadsteknologi 2016/2017 LP3-LP3;97 (47,09%);10013
BOM265 Byggnadsteknologi 2017/2018 LP3-LP3;93 (39,08%);12013
BOM290 Grundläggande fysik, kemi och akustik 2017/2018 LP1-LP1;17 (45,95%);11103
BOM295 Byggproduktionsledning och logistik 2017/2018 LP3-LP3;24 (30,00%);12275
CIU305 Writing for academic purposes - writing process and research practice 2017/2018 LP2-LP2;15 (42,86%);11776
ENM165 Miljö- och resursanalys för hållbar samhällsbyggnad 2016/2017 LP3-LP3;78 (37,86%);10027
ENM165 Miljö- och resursanalys för hållbar samhällsbyggnad 2017/2018 LP3-LP3;92 (40,17%);12161
MVE490 Matematik, matematisk statistik med metoder 2016/2017 LP1-LP1;24 (68,57%);8885
MVE490 Matematik, matematisk statistik med metoder 2017/2018 LP1-LP1;22 (55,00%);10933
TEK371 Projektledning 2017/2018 LP4-LP4;43 (64,18%);12391
TEK520 Affärsjuridik 2015/2016 LP3-LP3;17 (48,57%);7736
TEK520 Affärsjuridik 2016/2017 LP3-LP3;21 (56,76%);9951
TEK520 Affärsjuridik 2017/2018 LP3-LP3;20 (55,56%);12079
TEK525 Ekonomi och organisation i byggsektorn fortsättning 2015/2016 LP4-LP4;15 (40,54%);8308
TEK525 Ekonomi och organisation i byggsektorn fortsättning 2016/2017 LP4-LP4;15 (38,46%);10491
TEK525 Ekonomi och organisation i byggsektorn fortsättning 2017/2018 LP4-LP4;16 (43,24%);12637
TEK530 Marknadsföring 2015/2016 LP4-LP4;11 (29,73%);8310
TEK530 Marknadsföring 2016/2017 LP4-LP4;12 (30,00%);10493
TEK530 Marknadsföring 2017/2018 LP4-LP4;19 (48,72%);12613
TEK575 Affärsutveckling och entreprenörskap 2017/2018 LP1-LP1;14 (40,00%);10637
ACE175 Fastighetsutvecklingens förutsättningar och spelregler 2019/2020 LP1-LP2;20 (68,97%);16361
ACE175 Fastighetsutvecklingens förutsättningar och spelregler 2020/2021 LP1-LP2;20 (50,00%);18471
ACE175 Fastighetsutvecklingens förutsättningar och spelregler 2021/2022 LP1-LP2;27 (79,41%);20663
ARK500 Geografisk informationsbehandling 2018/2019 LP3-LP3;27 (67,50%);14499
ARK500 Geografisk informationsbehandling 2019/2020 LP3-LP3;18 (47,37%);16778
ARK500 Geografisk informationsbehandling 2020/2021 LP3-LP3;14 (32,56%);18925
ARK500 Geografisk informationsbehandling 2021/2022 LP3-LP3;25 (50,00%);21197
