programme;course_tag;report_id
TIBYL;ARK545;8873
TIBYL;BMT025;2668
TIBYL;BMT025;4543
TIBYL;BMT025;6722
TIBYL;BOM155;3238
TIBYL;BOM155;5852
TIBYL;BOM155;8296
TIBYL;BOM160;2002
TIBYL;BOM160;3843
TIBYL;BOM160;6489
TIBYL;BOM230;10495
TIBYL;CIU295;7824
TIBYL;CIU295;10103
TIBYL;ENM115;2624
TIBYL;ENM115;4331
TIBYL;ENM115;6908
TIBYL;ENM115;9303
TIBYL;ENM150;4213
TIBYL;ENM150;6405
TIBYL;ENM150;8433
TIBYL;FFY371;2622
TIBYL;FFY371;4329
TIBYL;FFY371;6906
TIBYL;LBT024;2006
TIBYL;LBT024;4061
TIBYL;LBT032;3310
TIBYL;LBT032;5614
TIBYL;LBT042;2688
TIBYL;LBT042;4559
TIBYL;LBT053;1575
TIBYL;LBT053;5205
TIBYL;LBT053;7392
TIBYL;LBT071;2706
TIBYL;LBT071;4573
TIBYL;LBT071;6744
TIBYL;LBT101;3374
TIBYL;LBT101;5756
TIBYL;LBT110;2488
TIBYL;LBT110;4271
TIBYL;LBT110;6848
TIBYL;LBT121;1988
TIBYL;LBT121;4047
TIBYL;LBT121;6539
TIBYL;LBT131;3446
TIBYL;LBT131;5662
TIBYL;LBT150;2736
TIBYL;LBT150;4399
TIBYL;LBT150;7124
TIBYL;LBT161;3400
TIBYL;LBT161;5682
TIBYL;LBT161;8252
TIBYL;LBT222;2670
TIBYL;LBT222;4545
TIBYL;LBT222;6724
TIBYL;LBT222;9103
TIBYL;LBT241;3432
TIBYL;LBT241;5696
TIBYL;LBT241;7788
TIBYL;LBT241;10093
TIBYL;LBT242;3194
TIBYL;LBT242;5574
TIBYL;LBT242;7800
TIBYL;LBT242;10099
TIBYL;LBT243;3134
TIBYL;LBT243;5868
TIBYL;LBT243;7814
TIBYL;LBT243;10087
TIBYL;LBT290;1539
TIBYL;LBT290;5029
TIBYL;LBT311;2672
TIBYL;LBT311;4397
TIBYL;LBT311;7122
TIBYL;LBT311;9395
TIBYL;LBT340;2164
TIBYL;LBT340;3873
TIBYL;LBT340;6517
TIBYL;LBT340;8749
TIBYL;LBT345;1535
TIBYL;LBT345;5071
TIBYL;LBT345;7644
TIBYL;LBT502;2486
TIBYL;LBT502;4269
TIBYL;LBT502;6846
TIBYL;LBT502;9259
TIBYL;LBT625;1938
TIBYL;LBT822;1086
TIBYL;LBT822;4499
TIBYL;LBT822;6688
TIBYL;LBT822;9465
TIBYL;LBT825;2458
TIBYL;LBT825;4771
TIBYL;LBT825;7094
TIBYL;LBT825;9193
TIBYL;LMA033;1603
TIBYL;LMA033;5101
TIBYL;LMA120;3298
TIBYL;LMA120;5606
TIBYL;LMA120;8042
TIBYL;LSP020;2978
TIBYL;LSP020;4637
TIBYL;LSP021;1773
TIBYL;LSP021;5407
TIBYL;MVE085;1934
TIBYL;MVE085;3721
TIBYL;MVE085;6243
TIBYL;MVE115;5273
TIBYL;MVE115;7716
TIBYL;MVE270;9841
TIBYL;TMA044;8427
TIBYL;VHU501;2626
TIBYL;VHU501;4333
TIBYL;VSM045;3568
TIBYL;VSM045;3841
TIBYL;VSM045;6487
TIBYL;VSM045;8495
