programme;course_tag;report_id
TIDAL;DAT050;2752
TIDAL;DAT050;4407
TIDAL;DAT050;7130
TIDAL;DAT050;8497
TIDAL;DAT050;11051
TIDAL;DAT055;1595
TIDAL;DAT055;5093
TIDAL;DAT055;7668
TIDAL;DAT055;9873
TIDAL;DAT055;11971
TIDAL;DAT065;1397
TIDAL;DAT065;5329
TIDAL;DAT065;7604
TIDAL;DAT065;9911
TIDAL;DAT066;11778
TIDAL;DAT076;1942
TIDAL;DAT076;3727
TIDAL;DAT076;7462
TIDAL;DAT076;9831
TIDAL;DAT076;12139
TIDAL;DAT216;9995
TIDAL;DAT216;12681
TIDAL;DAT255;2012
TIDAL;DAT255;4067
TIDAL;DAT255;6553
TIDAL;DAT255;8831
TIDAL;DAT255;10875
TIDAL;EDA092;9389
TIDAL;EDA093;11117
TIDAL;EDA234;2592
TIDAL;EDA234;4301
TIDAL;EDA234;6878
TIDAL;EDA234;8344
TIDAL;EDA234;12657
TIDAL;EDA263;1381
TIDAL;EDA263;5313
TIDAL;EDA263;7590
TIDAL;EDA263;9643
TIDAL;EDA263;12185
TIDAL;EDA322;1865
TIDAL;EDA322;5349
TIDAL;EDA322;7624
TIDAL;EDA322;9759
TIDAL;EDA322;11895
TIDAL;FFR102;5932
TIDAL;FFR102;8100
TIDAL;FFR102;10437
TIDAL;FFR102;12709
TIDAL;FFR135;6543
TIDAL;FFR135;8769
TIDAL;FFR135;10785
TIDAL;LET375;3312
TIDAL;LET375;5618
TIDAL;LET375;8052
TIDAL;LET375;10405
TIDAL;LET375;12755
TIDAL;LET625;3644
TIDAL;LET625;5652
TIDAL;LET625;8086
TIDAL;LET626;10605
TIDAL;LET627;12419
TIDAL;LEU061;1940
TIDAL;LEU061;3725
TIDAL;LEU061;6247
TIDAL;LEU061;9829
TIDAL;LEU061;11939
TIDAL;LEU236;2998
TIDAL;LEU236;4655
TIDAL;LEU236;6824
TIDAL;LEU236;9245
TIDAL;LEU237;11760
TIDAL;LEU240;2980
TIDAL;LEU240;4639
TIDAL;LEU240;6810
TIDAL;LEU240;9235
TIDAL;LEU420;4401
TIDAL;LEU420;7126
TIDAL;LEU420;9045
TIDAL;LEU420;11694
TIDAL;LEU420;2448
TIDAL;LEU431;2678
TIDAL;LEU431;4405
TIDAL;LEU431;7128
TIDAL;LEU432;9531
TIDAL;LEU432;11436
TIDAL;LEU470;2676
TIDAL;LEU470;4549
TIDAL;LEU470;6726
TIDAL;LEU470;9105
TIDAL;LEU470;11194
TIDAL;LEU480;2490
TIDAL;LEU480;4403
TIDAL;LEU482;7230
TIDAL;LEU482;9417
TIDAL;LEU482;11466
TIDAL;LEU500;1659
TIDAL;LEU500;5155
TIDAL;LEU500;7350
TIDAL;LEU500;9959
TIDAL;LEU500;12089
TIDAL;LMA200;1655
TIDAL;LMA200;5151
TIDAL;LMA200;7346
TIDAL;LMA212;2186
TIDAL;LMA212;3891
TIDAL;LMA212;6099
TIDAL;LMA212;8525
TIDAL;LMA212;11069
TIDAL;LMA222;3526
TIDAL;LMU450;1379
TIDAL;LMU450;5311
TIDAL;LMU450;7812
TIDAL;LMU450;10085
TIDAL;LMU450;12375
TIDAL;LSP127;1797
TIDAL;LSP127;5219
TIDAL;LSP127;7406
TIDAL;LSP127;9789
TIDAL;LSP127;11909
TIDAL;LSP300;2348
TIDAL;LSP300;4627
TIDAL;LSP300;6800
TIDAL;LSP300;9181
TIDAL;LSP300;11254
TIDAL;LSP580;1541
TIDAL;LSP580;5616
TIDAL;LSP580;8050
TIDAL;LSP580;10323
TIDAL;LSP580;12463
TIDAL;MVE070;1533
TIDAL;MVE070;5073
TIDAL;MVE070;7646
TIDAL;MVE415;5996
TIDAL;MVE415;8186
TIDAL;MVE415;10201
TIDAL;MVE535;12295
TIDAL;MVE545;12879
TIDAL;SSY010;1944
TIDAL;SSY010;3729
TIDAL;SSY011;6581
TIDAL;SSY011;8785
TIDAL;SSY011;10911
TIDAL;SSY020;2060
TIDAL;SSY020;3783
TIDAL;SSY020;6289
TIDAL;SSY325;5988
TIDAL;SSY326;8334
TIDAL;SSY326;10477
TIDAL;SSY326;12623
TIDAL;TDA352;11494
TIDAL;TDA357;2534
TIDAL;TDA357;4697
TIDAL;TDA357;7198
TIDAL;TDA357;9385
TIDAL;TDA357;11402
TIDAL;TDA382;2228
TIDAL;TDA382;1673
TIDAL;TDA383;4225
TIDAL;TDA383;5439
TIDAL;TDA383;6439
TIDAL;TDA383;7564
TIDAL;TDA383;8849
TIDAL;TDA383;9627
TIDAL;TDA384;11155
TIDAL;TDA384;12321
TIDAL;TDA566;2436
TIDAL;TDA567;4873
TIDAL;TDA567;7022
TIDAL;TDA567;8979
TIDAL;TDA567;11636
TIDAL;TMV200;2958
TIDAL;TMV200;4617
TIDAL;TMV200;6790
TIDAL;TMV210;2346
TIDAL;TMV210;4009
TIDAL;TMV210;6213
TIDAL;TMV210;8637
TIDAL;TMV210;10709
TIDAL;CLS050;20965
TIDAL;DAT050;13208
TIDAL;DAT050;15270
TIDAL;DAT050;17697
TIDAL;DAT050;19890
TIDAL;DAT050;22384
TIDAL;DAT055;14221
TIDAL;DAT055;16610
TIDAL;DAT055;19125
TIDAL;DAT055;21455
TIDAL;DAT066;13993
TIDAL;DAT067;16389
TIDAL;DAT067;18071
TIDAL;DAT067;20727
TIDAL;DAT076;14325
TIDAL;DAT076;16612
TIDAL;DAT076;19127
TIDAL;DAT076;21056
TIDAL;DAT151;13833
TIDAL;DAT151;15835
TIDAL;DAT151;18153
TIDAL;DAT151;20855
TIDAL;DAT256;13444
TIDAL;DAT257;15746
TIDAL;DAT257;17637
TIDAL;DAT257;19772
TIDAL;DAT257;22500
TIDAL;DAT326;14483
TIDAL;DAT326;16614
TIDAL;DAT326;19129
TIDAL;DAT326;21457
TIDAL;DAT340;19131
TIDAL;DAT340;21459
TIDAL;DAT355;13877
TIDAL;DAT355;18513
TIDAL;DAT356;20991
TIDAL;DAT390;14623
TIDAL;DAT390;16618
TIDAL;DAT390;19039
TIDAL;DAT390;21131
TIDAL;DAT405;18665
TIDAL;DAT405;20649
TIDAL;DAT420;16898
TIDAL;DAT420;18867
TIDAL;DAT420;21107
TIDAL;DAT495;22137
TIDAL;EDA093;13334
TIDAL;EDA093;15502
TIDAL;EDA093;17463
TIDAL;EDA093;20030
TIDAL;EDA093;22532
TIDAL;EDA234;16129
TIDAL;EDA234;18323
TIDAL;EDA234;20469
TIDAL;EDA263;14355
TIDAL;EDA263;16552
TIDAL;EDA263;19061
TIDAL;EDA263;21165
TIDAL;EDA322;14567
TIDAL;EDA322;16620
TIDAL;EDA322;18933
TIDAL;EDA322;21225
TIDAL;EDA387;13372
TIDAL;EDA387;15654
TIDAL;EDA387;17803
TIDAL;EDA387;20020
TIDAL;EDA387;22300
TIDAL;FFR102;15073
TIDAL;FFR102;17183
TIDAL;FFR102;19522
TIDAL;FFR102;22081
TIDAL;FFR135;13028
TIDAL;FFR135;15296
TIDAL;LET375;14921
TIDAL;LET375;17201
TIDAL;LET375;19532
TIDAL;LET627;15047
TIDAL;LET627;17203
TIDAL;LET627;19560
TIDAL;LET627;21743
TIDAL;LEU061;16804
TIDAL;LEU061;14467
TIDAL;LEU062;19187
TIDAL;LEU062;21281
TIDAL;LEU237;13869
TIDAL;LEU237;16011
TIDAL;LEU237;18043
TIDAL;LEU237;20703
TIDAL;LEU420;13819
TIDAL;LEU420;15847
TIDAL;LEU432;13643
TIDAL;LEU432;15899
TIDAL;LEU432;18181
TIDAL;LEU432;20879
TIDAL;LEU470;14051
TIDAL;LEU470;16147
TIDAL;LEU470;18353
TIDAL;LEU470;20491
TIDAL;LEU482;13667
TIDAL;LEU483;16385
TIDAL;LEU483;18067
TIDAL;LEU483;20723
TIDAL;LMA017;17489
TIDAL;LMA017;20062
TIDAL;LMA017;22414
TIDAL;LMA201;14329
TIDAL;LMA201;16652
TIDAL;LMA201;19143
TIDAL;LMA201;21377
TIDAL;LMA212;13230
TIDAL;LMA212;15280
TIDAL;LMA212;17867
TIDAL;LMA212;19836
TIDAL;LMA521;13973
TIDAL;LMA521;16287
TIDAL;LMA521;18449
TIDAL;LMA521;20631
TIDAL;LMU450;14664
TIDAL;LMU450;16944
TIDAL;LMU450;21630
TIDAL;LSP127;14179
TIDAL;LSP127;16548
TIDAL;LSP127;19059
TIDAL;LSP127;21161
TIDAL;LSP300;13509
