name;ans_freq;report_id
DAT050 Objektorienterad programmering 2013/2014 LP2-LP2;21 (30,43%);2752
DAT050 Objektorienterad programmering 2014/2015 LP2-LP2;24 (32,88%);4407
DAT050 Objektorienterad programmering 2015/2016 LP2-LP2;19 (27,94%);7130
DAT050 Objektorienterad programmering 2016/2017 LP1-LP1;16 (30,77%);8497
DAT050 Objektorienterad programmering 2017/2018 LP1-LP1;16 (24,62%);11051
DAT055 Objektorienterade applikationer 2013/2014 LP3-LP3;17 (26,56%);1595
DAT055 Objektorienterade applikationer 2014/2015 LP3-LP3;22 (36,67%);5093
DAT055 Objektorienterade applikationer 2015/2016 LP3-LP3;14 (21,88%);7668
DAT055 Objektorienterade applikationer 2016/2017 LP3-LP3;11 (26,83%);9873
DAT055 Objektorienterade applikationer 2017/2018 LP3-LP3;9 (15,00%);11971
DAT065 Projekt 2013/2014 LP3-LP3;18 (33,33%);1397
DAT065 Projekt 2014/2015 LP3-LP3;17 (31,48%);5329
DAT065 Projekt 2015/2016 LP3-LP3;9 (20,45%);7604
DAT065 Projekt 2016/2017 LP3-LP3;14 (31,11%);9911
DAT066 Projekt 2017/2018 LP2-LP2;8 (20,51%);11778
DAT076 Web-applikationer 2013/2014 LP1-LP1;41 (37,96%);1942
DAT076 Web-applikationer 2014/2015 LP1-LP1;33 (41,77%);3727
DAT076 Web-applikationer 2015/2016 LP3-LP3;14 (28,00%);7462
DAT076 Web-applikationer 2016/2017 LP3-LP3;12 (31,58%);9831
DAT076 Web-applikationer 2017/2018 LP3-LP3;15 (24,19%);12139
DAT216 Design och konstruktion av grafiska gränssnitt 2016/2017 LP3-LP3;62 (56,36%);9995
DAT216 Design och konstruktion av grafiska gränssnitt 2017/2018 LP4-LP4;29 (23,77%);12681
DAT255 Software engineering project 2013/2014 LP1-LP1;43 (25,60%);2012
DAT255 Software engineering project 2014/2015 LP1-LP1;65 (37,57%);4067
DAT255 Software engineering project 2015/2016 LP1-LP1;60 (39,22%);6553
DAT255 Software engineering project 2016/2017 LP1-LP1;40 (32,79%);8831
DAT255 Software engineering project 2017/2018 LP1-LP1;53 (38,69%);10875
EDA092 Operating systems 2016/2017 LP2-LP2;38 (33,04%);9389
EDA093 Operating systems 2017/2018 LP1-LP1;43 (48,31%);11117
EDA234 Digital konstruktion, projektkurs 2013/2014 LP2-LP2;10 (37,04%);2592
EDA234 Digital konstruktion, projektkurs 2014/2015 LP2-LP2;19 (59,38%);4301
