programme;course_tag;report_id
TIDSL;DAT171;11897
TIDSL;LMA017;2146
TIDSL;LMA017;3855
TIDSL;LMA017;6501
TIDSL;LMA017;8735
TIDSL;LMA017;10763
TIDSL;LMA018;1950
TIDSL;LMA019;4237
TIDSL;LMA019;6389
TIDSL;LMA019;8419
TIDSL;LMA019;10995
TIDSL;LMA400;2782
TIDSL;LMA400;4473
TIDSL;LMA400;6668
TIDSL;LMA400;9083
TIDSL;LMA400;11726
TIDSL;LMA521;2822
TIDSL;LMA521;4509
TIDSL;LMA521;6698
TIDSL;LMA521;9125
TIDSL;LMA521;11208
TIDSL;LMT206;3464
TIDSL;LMT206;5716
TIDSL;LMT207;8328
TIDSL;LMT207;10475
TIDSL;LMT207;12745
TIDSL;LMT836;1755
TIDSL;LMT836;5391
TIDSL;LMT836;7572
TIDSL;LMT836;9767
TIDSL;LMT836;12171
TIDSL;LMT967;2902
TIDSL;LMT967;4867
TIDSL;LMT967;7064
TIDSL;LMT968;9183
TIDSL;LMT968;11256
TIDSL;LMU057;2754
TIDSL;LMU057;4453
TIDSL;LMU057;6648
TIDSL;LMU057;9073
TIDSL;LMU057;11470
TIDSL;LMU113;3000
TIDSL;LMU113;4657
TIDSL;LMU113;6826
TIDSL;LMU113;9247
TIDSL;LMU113;11308
TIDSL;LMU215;1948
TIDSL;LMU234;1385
TIDSL;LMU234;5317
TIDSL;LMU234;7594
TIDSL;LMU234;9645
TIDSL;LMU234;12217
TIDSL;LMU602;1663
TIDSL;LMU602;5159
TIDSL;LMU602;7352
TIDSL;LMU602;9961
TIDSL;LMU602;12091
TIDSL;LMU605;3152
TIDSL;LMU605;5886
TIDSL;LMU605;8202
TIDSL;LMU605;10213
TIDSL;LMU605;12799
TIDSL;LMU610;1623
TIDSL;LMU610;5123
TIDSL;LMU610;7636
TIDSL;LMU610;9915
TIDSL;LMU610;11999
TIDSL;LMU615;2232
TIDSL;LMU615;3847
TIDSL;LMU615;6493
TIDSL;LMU615;8501
TIDSL;LMU615;10917
TIDSL;LMU622;3590
TIDSL;LMU622;5798
TIDSL;LMU622;7970
TIDSL;LMU622;10357
TIDSL;LMU622;12491
TIDSL;LMU631;2078
TIDSL;LMU631;3797
TIDSL;LMU631;6305
TIDSL;LMU631;8707
TIDSL;LMU631;10751
TIDSL;MTT070;2150
TIDSL;MTT070;3859
TIDSL;MTT070;6505
TIDSL;MTT070;8615
TIDSL;MTT070;10693
TIDSL;PPU025;5778
TIDSL;PPU025;7796
TIDSL;PPU025;10097
TIDSL;PPU025;12365
TIDSL;PPU030;1677
TIDSL;PPU030;5167
TIDSL;PPU030;7360
TIDSL;PPU030;9725
TIDSL;PPU030;11869
TIDSL;PPU031;6461
TIDSL;PPU031;1908
TIDSL;PPU031;4107
TIDSL;PPU032;8911
TIDSL;PPU032;10947
TIDSL;PPU041;2620
TIDSL;PPU041;4327
TIDSL;PPU041;6904
TIDSL;PPU041;9301
TIDSL;PPU041;11342
TIDSL;PPU200;3632
TIDSL;PPU200;5934
TIDSL;PPU200;8102
TIDSL;PPU200;10327
TIDSL;PPU200;12467
TIDSL;TEK265;2132
TIDSL;TEK265;3819
TIDSL;TEK265;6321
TIDSL;TEK265;8719
TIDSL;TEK265;10753
TIDSL;TEK475;9039
TIDSL;TEK475;11688
TIDSL;TEK475;4793
TIDSL;TEK475;7114
TIDSL;TME270;3664
TIDSL;TME270;5930
TIDSL;TME270;8098
TIDSL;TME270;10537
TIDSL;TME270;12673
TIDSL;EEN060;16870
TIDSL;EEN060;18753
TIDSL;EEN060;21315
TIDSL;IMS040;16413
TIDSL;IMS040;18037
TIDSL;IMS040;20697
TIDSL;LMA017;13014
TIDSL;LMA017;15258
TIDSL;LMA017;17489
TIDSL;LMA017;20062
TIDSL;LMA017;22414
TIDSL;LMA019;13158
TIDSL;LMA400;13849
TIDSL;LMA521;13973
TIDSL;LMA521;16287
TIDSL;LMA521;18449
TIDSL;LMA521;20631
TIDSL;LMT207;14911
TIDSL;LMT207;17091
TIDSL;LMT207;19310
TIDSL;LMT207;22011
TIDSL;LMT836;14487
TIDSL;LMT968;13511
TIDSL;LMU057;13671
TIDSL;LMU113;13553
TIDSL;LMU113;16059
TIDSL;LMU113;18277
TIDSL;LMU113;20401
TIDSL;LMU234;14385
TIDSL;LMU234;16656
TIDSL;LMU234;19147
TIDSL;LMU234;21381
TIDSL;LMU602;14311
TIDSL;LMU602;16526
TIDSL;LMU602;18827
TIDSL;LMU602;21475
TIDSL;LMU605;14953
TIDSL;LMU605;17209
TIDSL;LMU605;19536
TIDSL;LMU605;21699
TIDSL;LMU610;14469
TIDSL;LMU610;16788
TIDSL;LMU610;18957
TIDSL;LMU610;21215
TIDSL;LMU615;13282
TIDSL;LMU615;15564
TIDSL;LMU615;17739
TIDSL;LMU615;19954
TIDSL;LMU615;22520
TIDSL;LMU622;14757
TIDSL;LMU622;17133
TIDSL;LMU622;19556
TIDSL;LMU622;21739
TIDSL;LMU631;13006
TIDSL;LMU631;15254
TIDSL;LMU631;17931
TIDSL;LMU631;20122
TIDSL;LMU631;22596
TIDSL;MTT070;12962
TIDSL;MTT070;15426
TIDSL;MTT070;17643
TIDSL;MTT070;19782
TIDSL;MTT071;22728
TIDSL;MVE570;16379
TIDSL;MVE570;18085
TIDSL;MVE570;20759
TIDSL;MVE575;15714
TIDSL;MVE575;17633
TIDSL;MVE575;19766
TIDSL;MVE575;22548
TIDSL;PPU025;18591
TIDSL;PPU025;20735
TIDSL;PPU025;14648
TIDSL;PPU025;16942
TIDSL;PPU030;14571
TIDSL;PPU030;16454
TIDSL;PPU030;18849
TIDSL;PPU030;21071
TIDSL;PPU032;13128
TIDSL;PPU032;15460
TIDSL;PPU032;17829
TIDSL;PPU032;19784
TIDSL;PPU032;22562
TIDSL;PPU041;13943
TIDSL;PPU041;16267
TIDSL;PPU041;21634
TIDSL;PPU196;19280
TIDSL;PPU196;21967
TIDSL;PPU200;14696
TIDSL;PPU201;16876
TIDSL;PPU201;18863
TIDSL;PPU201;21105
TIDSL;TDA143;14425
TIDSL;TEK266;13422
TIDSL;TEK266;15530
TIDSL;TEK266;17717
TIDSL;TEK266;19908
TIDSL;TEK266;22398
TIDSL;TEK475;13813
TIDSL;TEK700;18267
TIDSL;TEK700;20363
TIDSL;TEK700;15780
TIDSL;TEK720;16403
TIDSL;TEK720;18079
TIDSL;TEK720;20753
TIDSL;TME270;15115
TIDSL;TME271;17421
