name;ans_freq;report_id
DAT171 Object-oriented programming in Python 2017/2018 LP3-LP3;21 (31,82%);11897
LMA017 Matematisk analys i flera variabler 2013/2014 LP1-LP1;38 (35,85%);2146
LMA017 Matematisk analys i flera variabler 2014/2015 LP1-LP1;59 (46,09%);3855
LMA017 Matematisk analys i flera variabler 2015/2016 LP1-LP1;49 (33,79%);6501
LMA017 Matematisk analys i flera variabler 2016/2017 LP1-LP1;64 (39,26%);8735
LMA017 Matematisk analys i flera variabler 2017/2018 LP1-LP1;55 (32,54%);10763
LMA018 Algebra 2013/2014 LP1-LP1;65 (29,02%);1950
LMA019 Algebra 2014/2015 LP1-LP1;135 (59,73%);4237
LMA019 Algebra 2015/2016 LP1-LP1;95 (46,57%);6389
LMA019 Algebra 2016/2017 LP1-LP1;97 (47,09%);8419
LMA019 Algebra 2017/2018 LP1-LP1;111 (52,61%);10995
LMA400 Matematisk analys 2013/2014 LP2-LP2;84 (33,60%);2782
LMA400 Matematisk analys 2014/2015 LP2-LP2;102 (37,23%);4473
LMA400 Matematisk analys 2015/2016 LP2-LP2;70 (26,42%);6668
LMA400 Matematisk analys 2016/2017 LP2-LP2;65 (23,64%);9083
LMA400 Matematisk analys 2017/2018 LP2-LP2;48 (17,52%);11726
LMA521 Tillämpad matematisk statistik 2013/2014 LP2-LP2;32 (31,68%);2822
LMA521 Tillämpad matematisk statistik 2014/2015 LP2-LP2;25 (32,89%);4509
LMA521 Tillämpad matematisk statistik 2015/2016 LP2-LP2;24 (35,29%);6698
LMA521 Tillämpad matematisk statistik 2016/2017 LP2-LP2;25 (37,31%);9125
LMA521 Tillämpad matematisk statistik 2017/2018 LP2-LP2;24 (36,92%);11208
LMT206 Mekanik 2013/2014 LP4-LP4;14 (42,42%);3464
LMT206 Mekanik 2014/2015 LP4-LP4;15 (44,12%);5716
LMT207 Mekanik 2015/2016 LP4-LP4;13 (43,33%);8328
LMT207 Mekanik 2016/2017 LP4-LP4;17 (44,74%);10475
LMT207 Mekanik 2017/2018 LP4-LP4;9 (31,03%);12745
LMT836 Termodynamik och strömningsmekanik 2013/2014 LP3-LP3;15 (41,67%);1755
LMT836 Termodynamik och strömningsmekanik 2014/2015 LP3-LP3;19 (54,29%);5391
LMT836 Termodynamik och strömningsmekanik 2015/2016 LP3-LP3;11 (32,35%);7572
LMT836 Termodynamik och strömningsmekanik 2016/2017 LP3-LP3;9 (24,32%);9767
LMT836 Termodynamik och strömningsmekanik 2017/2018 LP3-LP3;5 (20,83%);12171
LMT967 Ekonomi och organisation 2013/2014 LP2-LP2;15 (55,56%);2902
LMT967 Ekonomi och organisation 2014/2015 LP2-LP2;11 (44,00%);4867
LMT967 Ekonomi och organisation 2015/2016 LP2-LP2;6 (42,86%);7064
LMT968 Industriell ekonomi och organisation 2016/2017 LP2-LP2;36 (25,90%);9183
LMT968 Industriell ekonomi och organisation 2017/2018 LP2-LP2;47 (25,27%);11256
LMU057 Ergonomi 2013/2014 LP2-LP2;15 (41,67%);2754
LMU057 Ergonomi 2014/2015 LP2-LP2;23 (71,88%);4453
LMU057 Ergonomi 2015/2016 LP2-LP2;18 (51,43%);6648
LMU057 Ergonomi 2016/2017 LP2-LP2;10 (34,48%);9073
LMU057 Ergonomi 2017/2018 LP2-LP2;15 (48,39%);11470
LMU113 Hållfasthetslära 2013/2014 LP2-LP2;40 (40,82%);3000
LMU113 Hållfasthetslära 2014/2015 LP2-LP2;33 (40,24%);4657
LMU113 Hållfasthetslära 2015/2016 LP2-LP2;27 (30,68%);6826
LMU113 Hållfasthetslära 2016/2017 LP2-LP2;30 (31,25%);9247
LMU113 Hållfasthetslära 2017/2018 LP2-LP2;28 (32,94%);11308
LMU215 Tekniskt ledarskap och entreprenörskap 2013/2014 LP1-LP1;30 (44,12%);1948
LMU234 Tillverkningsteknik 2013/2014 LP3-LP3;12 (37,50%);1385
LMU234 Tillverkningsteknik 2014/2015 LP3-LP3;19 (54,29%);5317
LMU234 Tillverkningsteknik 2015/2016 LP3-LP3;15 (40,54%);7594
LMU234 Tillverkningsteknik 2016/2017 LP3-LP3;18 (64,29%);9645
LMU234 Tillverkningsteknik 2017/2018 LP3-LP3;13 (37,14%);12217
LMU602 Ytmodellering och solidmodellering 2013/2014 LP2-LP3;17 (48,57%);1663
LMU602 Ytmodellering och solidmodellering 2014/2015 LP2-LP3;19 (47,50%);5159
LMU602 Ytmodellering och solidmodellering 2015/2016 LP2-LP3;6 (18,75%);7352
LMU602 Ytmodellering och solidmodellering 2016/2017 LP2-LP3;9 (23,08%);9961
LMU602 Ytmodellering och solidmodellering 2017/2018 LP2-LP3;7 (23,33%);12091
LMU605 Ytmodellering, fortsättningskurs 2013/2014 LP4-LP4;13 (38,24%);3152
LMU605 Ytmodellering, fortsättningskurs 2014/2015 LP4-LP4;16 (48,48%);5886
LMU605 Ytmodellering, fortsättningskurs 2015/2016 LP4-LP4;16 (50,00%);8202
LMU605 Ytmodellering, fortsättningskurs 2016/2017 LP4-LP4;13 (40,63%);10213
LMU605 Ytmodellering, fortsättningskurs 2017/2018 LP4-LP4;12 (38,71%);12799
LMU610 Design och kommunikation 2013/2014 LP2-LP3;17 (47,22%);1623
LMU610 Design och kommunikation 2014/2015 LP2-LP3;18 (47,37%);5123
LMU610 Design och kommunikation 2015/2016 LP2-LP3;7 (21,88%);7636
LMU610 Design och kommunikation 2016/2017 LP2-LP3;8 (21,05%);9915
LMU610 Design och kommunikation 2017/2018 LP2-LP3;7 (24,14%);11999
LMU615 Design och kommunikation, fk 2013/2014 LP1-LP1;10 (31,25%);2232
LMU615 Design och kommunikation, fk 2014/2015 LP1-LP1;21 (63,64%);3847
LMU615 Design och kommunikation, fk 2015/2016 LP1-LP1;15 (45,45%);6493
LMU615 Design och kommunikation, fortsättningskurs 2016/2017 LP1-LP1;15 (46,88%);8501
LMU615 Design och kommunikation, fortsättningskurs 2017/2018 LP1-LP1;17 (54,84%);10917
LMU622 Designmetodik 2013/2014 LP4-LP4;13 (38,24%);3590
LMU622 Designmetodik 2014/2015 LP4-LP4;13 (36,11%);5798
LMU622 Designmetodik 2015/2016 LP4-LP4;10 (29,41%);7970
LMU622 Designmetodik 2016/2017 LP4-LP4;7 (21,21%);10357
LMU622 Designmetodik 2017/2018 LP4-LP4;12 (42,86%);12491
LMU631 Designintroduktion 2013/2014 LP1-LP1;14 (38,89%);2078
LMU631 Designintroduktion 2014/2015 LP1-LP1;16 (41,03%);3797
LMU631 Designintroduktion 2015/2016 LP1-LP1;12 (37,50%);6305
LMU631 Designintroduktion 2016/2017 LP1-LP1;19 (51,35%);8707
LMU631 Designintroduktion 2017/2018 LP1-LP1;18 (60,00%);10751
MTT070 Materialteknik 2013/2014 LP1-LP1;12 (37,50%);2150
MTT070 Materialteknik 2014/2015 LP1-LP1;20 (66,67%);3859
MTT070 Materialteknik 2015/2016 LP1-LP1;19 (51,35%);6505
MTT070 Materialteknik 2016/2017 LP1-LP1;11 (37,93%);8615
MTT070 Materialteknik 2017/2018 LP1-LP1;16 (55,17%);10693
PPU025 Från numeriskt underlag till fysisk modell 2014/2015 LP4-LP4;10 (35,71%);5778
PPU025 Från numeriskt underlag till fysisk modell 2015/2016 LP4-LP4;6 (30,00%);7796
PPU025 Från numeriskt underlag till fysisk modell 2016/2017 LP4-LP4;7 (38,89%);10097
PPU025 Från numeriskt underlag till fysisk modell 2017/2018 LP4-LP4;6 (28,57%);12365
PPU030 Design och produktutveckling för uthållig utveckling 2013/2014 LP3-LP3;17 (56,67%);1677
PPU030 Design och produktutveckling för uthållig utveckling 2014/2015 LP3-LP3;18 (58,06%);5167
PPU030 Design och produktutveckling för uthållig utveckling 2015/2016 LP3-LP3;10 (47,62%);7360
PPU030 Design och produktutveckling för uthållig utveckling 2016/2017 LP3-LP3;17 (58,62%);9725
PPU030 Design och produktutveckling för uthållig utveckling 2017/2018 LP3-LP3;7 (26,92%);11869
PPU031 Användarstudier - Att förstå användaren och dess krav 2015/2016 LP1-LP1;14 (63,64%);6461
PPU031 Brukarcentrerad design 2013/2014 LP1-LP1;9 (60,00%);1908
PPU031 Brukarcentrerad design 2014/2015 LP1-LP1;13 (54,17%);4107
PPU032 Användarstudier - Att förstå användaren och dess krav 2016/2017 LP1-LP1;14 (46,67%);8911
PPU032 Användarstudier - Att förstå användaren och dess krav 2017/2018 LP1-LP1;14 (53,85%);10947
PPU041 Solidmodellering, fortsättningskurs 2013/2014 LP2-LP2;12 (48,00%);2620
PPU041 Solidmodellering, fortsättningskurs 2014/2015 LP2-LP2;8 (28,57%);4327
PPU041 Solidmodellering, fortsättningskurs 2015/2016 LP2-LP2;8 (53,33%);6904
PPU041 Solidmodellering, fortsättningskurs 2016/2017 LP2-LP2;10 (43,48%);9301
PPU041 Solidmodellering, fortsättningskurs 2017/2018 LP2-LP2;10 (55,56%);11342
PPU200 Konstruktion 2013/2014 LP3-LP4;55 (51,40%);3632
PPU200 Konstruktion 2014/2015 LP3-LP4;46 (42,59%);5934
PPU200 Konstruktion 2015/2016 LP3-LP4;46 (40,71%);8102
PPU200 Konstruktion 2016/2017 LP3-LP4;33 (30,84%);10327
PPU200 Konstruktion 2017/2018 LP3-LP4;39 (33,33%);12467
TEK265 Affärsdriven produktutveckling 2013/2014 LP1-LP1;18 (48,65%);2132
TEK265 Affärsdriven produktutveckling 2014/2015 LP1-LP1;22 (62,86%);3819
TEK265 Affärsdriven produktutveckling 2015/2016 LP1-LP1;14 (66,67%);6321
TEK265 Affärsdriven produktutveckling 2016/2017 LP1-LP1;15 (41,67%);8719
TEK265 Affärsdriven produktutveckling 2017/2018 LP1-LP1;13 (54,17%);10753
TEK475 Praktiskt ledar- och entreprenörskap 2016/2017 LP1-LP2;12 (54,55%);9039
TEK475 Praktiskt ledar- och entreprenörskap 2017/2018 LP1-LP2;16 (35,56%);11688
TEK475 Praktiskt ledarskap inom innovation 2014/2015 LP1-LP2;11 (32,35%);4793
TEK475 Praktiskt ledarskap inom innovation 2015/2016 LP1-LP2;9 (33,33%);7114
TME270 Produktutvecklingsprojekt 2013/2014 LP3-LP4;16 (51,61%);3664
TME270 Produktutvecklingsprojekt 2014/2015 LP3-LP4;17 (58,62%);5930
TME270 Produktutvecklingsprojekt 2015/2016 LP3-LP4;17 (53,13%);8098
TME270 Produktutvecklingsprojekt 2016/2017 LP3-LP4;9 (33,33%);10537
TME270 Produktutvecklingsprojekt 2017/2018 LP3-LP4;13 (41,94%);12673
EEN060 Applied object-oriented programming 2019/2020 LP3-LP3;36 (60,00%);16870
EEN060 Applied object-oriented programming 2020/2021 LP3-LP3;37 (50,00%);18753
EEN060 Applied object-oriented programming 2021/2022 LP3-LP3;37 (45,12%);21315
IMS040 Ergonomi 2019/2020 LP2-LP2;19 (55,88%);16413
IMS040 Ergonomi 2020/2021 LP2-LP2;12 (37,50%);18037
IMS040 Ergonomi 2021/2022 LP2-LP2;5 (17,86%);20697
LMA017 Matematisk analys i flera variabler 2018/2019 LP1-LP1;63 (35,20%);13014
LMA017 Matematisk analys i flera variabler 2019/2020 LP1-LP1;47 (24,61%);15258
LMA017 Mathematical analysis in several variables 2020/2021 LP1-LP1;35 (14,29%);17489
LMA017 Mathematical analysis in several variables 2021/2022 LP1-LP1;87 (40,09%);20062
LMA017 Mathematical analysis in several variables 2022/2023 LP1-LP1;68 (29,96%);22414
LMA019 Algebra 2018/2019 LP1-LP1;83 (36,40%);13158
LMA400 Matematisk analys 2018/2019 LP2-LP2;55 (19,64%);13849
LMA521 Tillämpad matematisk statistik 2018/2019 LP2-LP2;26 (33,77%);13973
LMA521 Tillämpad matematisk statistik 2019/2020 LP2-LP2;11 (14,86%);16287
LMA521 Tillämpad matematisk statistik 2020/2021 LP2-LP2;25 (28,41%);18449
LMA521 Tillämpad matematisk statistik 2021/2022 LP2-LP2;18 (27,69%);20631
LMT207 Mekanik 2018/2019 LP4-LP4;10 (31,25%);14911
LMT207 Mekanik 2019/2020 LP4-LP4;8 (22,86%);17091
LMT207 Mekanik 2020/2021 LP4-LP4;12 (36,36%);19310
LMT207 Mekanik 2021/2022 LP4-LP4;10 (32,26%);22011
LMT836 Termodynamik och strömningsmekanik 2018/2019 LP3-LP3;3 (37,50%);14487
LMT968 Industriell ekonomi och organisation 2018/2019 LP2-LP2;34 (25,56%);13511
LMU057 Ergonomi 2018/2019 LP2-LP2;17 (62,96%);13671
LMU113 Hållfasthetslära 2018/2019 LP2-LP2;22 (31,43%);13553
LMU113 Hållfasthetslära 2019/2020 LP2-LP2;28 (32,56%);16059
LMU113 Hållfasthetslära 2020/2021 LP2-LP2;25 (30,12%);18277
LMU113 Hållfasthetslära 2021/2022 LP2-LP2;6 (15,00%);20401
LMU234 Tillverkningsteknik 2018/2019 LP3-LP3;18 (51,43%);14385
LMU234 Tillverkningsteknik 2019/2020 LP3-LP3;13 (40,63%);16656
LMU234 Tillverkningsteknik 2020/2021 LP3-LP3;10 (33,33%);19147
LMU234 Tillverkningsteknik 2021/2022 LP3-LP3;3 (10,00%);21381
LMU602 Ytmodellering och solidmodellering 2018/2019 LP2-LP3;14 (46,67%);14311
LMU602 Ytmodellering och solidmodellering 2019/2020 LP2-LP3;9 (28,13%);16526
LMU602 Ytmodellering och solidmodellering 2020/2021 LP2-LP3;11 (34,38%);18827
LMU602 Ytmodellering och solidmodellering 2021/2022 LP2-LP3;7 (21,88%);21475
LMU605 Ytmodellering, fortsättningskurs 2018/2019 LP4-LP4;11 (39,29%);14953
LMU605 Ytmodellering, fortsättningskurs 2019/2020 LP4-LP4;13 (41,94%);17209
LMU605 Ytmodellering, fortsättningskurs 2020/2021 LP4-LP4;9 (29,03%);19536
LMU605 Ytmodellering, fortsättningskurs 2021/2022 LP4-LP4;4 (13,79%);21699
LMU610 Design och kommunikation 2018/2019 LP2-LP3;16 (53,33%);14469
LMU610 Design och kommunikation 2019/2020 LP2-LP3;10 (31,25%);16788
LMU610 Design och kommunikation 2020/2021 LP2-LP3;10 (32,26%);18957
LMU610 Design och kommunikation 2021/2022 LP2-LP3;8 (25,81%);21215
LMU615 Design och kommunikation, fortsättningskurs 2018/2019 LP1-LP1;15 (53,57%);13282
LMU615 Design och kommunikation, fortsättningskurs 2019/2020 LP1-LP1;13 (44,83%);15564
