name;ans_freq;report_id
DAT065 Projekt 2013/2014 LP3-LP3;18 (33,33%);1397
DAT065 Projekt 2014/2015 LP3-LP3;17 (31,48%);5329
DAT065 Projekt 2015/2016 LP3-LP3;9 (20,45%);7604
DAT065 Projekt 2016/2017 LP3-LP3;14 (31,11%);9911
DAT066 Projekt 2017/2018 LP2-LP2;8 (20,51%);11778
EDA234 Digital konstruktion, projektkurs 2013/2014 LP2-LP2;10 (37,04%);2592
EDA234 Digital konstruktion, projektkurs 2014/2015 LP2-LP2;19 (59,38%);4301
EDA234 Digital konstruktion, projektkurs 2015/2016 LP2-LP2;10 (40,00%);6878
EDA322 Digital design 2013/2014 LP3-LP3;35 (35,35%);1865
EDA322 Digital design 2014/2015 LP3-LP3;67 (37,85%);5349
EDA322 Digital design 2015/2016 LP3-LP3;48 (32,88%);7624
EDA322 Digital design 2016/2017 LP3-LP3;43 (30,50%);9759
EDA322 Digital design 2017/2018 LP3-LP3;50 (32,68%);11895
EEK565 Elkraftsteknik 2013/2014 LP4-LP4;17 (33,33%);3166
EEK565 Elkraftsteknik 2014/2015 LP4-LP4;19 (35,19%);5898
EEK565 Elkraftsteknik 2015/2016 LP4-LP4;16 (36,36%);8210
EEK565 Elkraftsteknik 2016/2017 LP4-LP4;10 (18,18%);10219
EEK565 Elkraftsteknik 2017/2018 LP4-LP4;14 (26,92%);12805
ENM050 Power system analysis 2013/2014 LP1-LP1;29 (50,00%);2068
ENM050 Power system analysis 2014/2015 LP1-LP1;35 (55,56%);3791
ENM050 Power system analysis 2015/2016 LP1-LP1;34 (48,57%);6299
ENM050 Power system analysis 2016/2017 LP1-LP1;38 (49,35%);8701
ENM050 Power system analysis 2017/2018 LP1-LP1;29 (33,33%);10747
ENM055 Electric drives 1 2013/2014 LP1-LP1;36 (61,02%);2170
ENM055 Electric drives 1 2014/2015 LP1-LP1;39 (56,52%);3877
ENM055 Electric drives 1 2015/2016 LP1-LP1;36 (45,57%);6521
ENM055 Electric drives 1 2016/2017 LP1-LP1;43 (47,25%);8753
ENM055 Electric drives 1 2017/2018 LP1-LP1;35 (43,75%);10775
ENM060 Power electronic converters 2013/2014 LP2-LP2;35 (42,68%);2890
ENM060 Power electronic converters 2014/2015 LP2-LP2;40 (56,34%);4857
ENM060 Power electronic converters 2015/2016 LP2-LP2;41 (39,42%);7050
ENM061 Power electronic converters 2016/2017 LP2-LP2;37 (45,12%);9553
ENM061 Power electronic converters 2017/2018 LP2-LP2;30 (30,30%);11578
