name;ans_freq;report_id
CIU275 Kommunikation 2013/2014 LP2-LP2;15 (41,67%);3060
CIU275 Kommunikation 2014/2015 LP2-LP2;15 (39,47%);4677
CIU275 Kommunikation 2015/2016 LP1-LP1;15 (37,50%);6529
CIU275 Kommunikation 2016/2017 LP1-LP1;16 (48,48%);8761
CIU275 Kommunikation 2017/2018 LP1-LP1;25 (73,53%);10779
IPE061 Risk management and safety 2013/2014 LP2-LP2;17 (30,91%);2766
IPE062 Risk management and safety 2014/2015 LP2-LP2;24 (40,68%);4915
LMA017 Matematisk analys i flera variabler 2013/2014 LP1-LP1;38 (35,85%);2146
LMA017 Matematisk analys i flera variabler 2014/2015 LP1-LP1;59 (46,09%);3855
LMA017 Matematisk analys i flera variabler 2015/2016 LP1-LP1;49 (33,79%);6501
LMA017 Matematisk analys i flera variabler 2016/2017 LP1-LP1;64 (39,26%);8735
LMA017 Matematisk analys i flera variabler 2017/2018 LP1-LP1;55 (32,54%);10763
LMA018 Algebra 2013/2014 LP1-LP1;65 (29,02%);1950
LMA019 Algebra 2014/2015 LP1-LP1;135 (59,73%);4237
LMA019 Algebra 2015/2016 LP1-LP1;95 (46,57%);6389
LMA019 Algebra 2016/2017 LP1-LP1;97 (47,09%);8419
LMA019 Algebra 2017/2018 LP1-LP1;111 (52,61%);10995
LMA224 Matematisk överbryggningskurs 2013/2014 LP3-LP3;21 (40,38%);1763
LMA224 Matematisk överbryggningskurs 2014/2015 LP3-LP3;40 (41,24%);5399
LMA224 Matematisk överbryggningskurs 2015/2016 LP3-LP3;22 (31,88%);7576
LMA224 Matematisk överbryggningskurs 2016/2017 LP3-LP3;20 (22,99%);9635
LMA224 Matematisk överbryggningskurs 2017/2018 LP3-LP3;23 (26,14%);12207
LMA400 Matematisk analys 2013/2014 LP2-LP2;84 (33,60%);2782
LMA400 Matematisk analys 2014/2015 LP2-LP2;102 (37,23%);4473
LMA400 Matematisk analys 2015/2016 LP2-LP2;70 (26,42%);6668
LMA400 Matematisk analys 2016/2017 LP2-LP2;65 (23,64%);9083
LMA400 Matematisk analys 2017/2018 LP2-LP2;48 (17,52%);11726
LMA521 Tillämpad matematisk statistik 2013/2014 LP2-LP2;32 (31,68%);2822
LMA521 Tillämpad matematisk statistik 2014/2015 LP2-LP2;25 (32,89%);4509
LMA521 Tillämpad matematisk statistik 2015/2016 LP2-LP2;24 (35,29%);6698
LMA521 Tillämpad matematisk statistik 2016/2017 LP2-LP2;25 (37,31%);9125
LMA521 Tillämpad matematisk statistik 2017/2018 LP2-LP2;24 (36,92%);11208
LMS588 Materialval- och tillverkningsmetoder 2013/2014 LP4-LP4;30 (34,09%);3218
LMS588 Materialval- och tillverkningsmetoder 2014/2015 LP4-LP4;32 (38,10%);5834
LMS588 Materialval- och tillverkningsmetoder 2015/2016 LP4-LP4;36 (34,29%);8274
LMS588 Materialval- och tillverkningsmetoder 2016/2017 LP4-LP4;19 (19,79%);10455
LMS588 Materialval- och tillverkningsmetoder 2017/2018 LP4-LP4;19 (20,00%);12561
LMT202 Mekanik 2013/2014 LP3-LP3;46 (29,49%);1795
LMT202 Mekanik 2014/2015 LP3-LP3;54 (36,24%);5081
LMT202 Mekanik 2015/2016 LP3-LP3;37 (28,68%);7654
LMT202 Mekanik 2016/2017 LP3-LP3;45 (33,83%);9679
LMT202 Mekanik 2017/2018 LP3-LP3;33 (23,40%);12245
LMT834 Termodynamik och strömningsmekanik 2013/2014 LP3-LP3;35 (22,73%);1813
LMT834 Termodynamik och strömningsmekanik 2014/2015 LP3-LP3;47 (27,98%);5231
LMT834 Termodynamik och strömningsmekanik 2015/2016 LP3-LP3;38 (27,14%);7418
LMT834 Termodynamik och strömningsmekanik 2016/2017 LP3-LP3;46 (32,62%);9799
LMT834 Termodynamik och strömningsmekanik 2017/2018 LP3-LP3;35 (24,14%);11917
LMT991 Kvalitet och driftsäkerhet 2013/2014 LP1-LP1;30 (68,18%);1982
LMT991 Kvalitet och driftsäkerhet 2014/2015 LP1-LP1;21 (46,67%);4041
LMT991 Kvalitet och driftsäkerhet 2015/2016 LP2-LP2;18 (40,91%);7192
LMT991 Kvalitet och driftsäkerhet 2016/2017 LP2-LP2;16 (44,44%);9407
LMT991 Kvalitet och driftsäkerhet 2017/2018 LP2-LP2;22 (55,00%);11472
LMU055 Människa - teknik 2013/2014 LP2-LP2;15 (34,09%);2764
LMU055 Människa - teknik 2014/2015 LP3-LP3;7 (30,43%);5135
LMU055 Människa - teknik 2015/2016 LP1-LP2;6 (33,33%);6656
LMU055 Människa - teknik 2016/2017 LP1-LP2;8 (33,33%);9459
LMU055 Människa - teknik 2017/2018 LP1-LP2;13 (35,14%);11606
LMU113 Hållfasthetslära 2015/2016 LP2-LP2;27 (30,68%);6826
LMU113 Hållfasthetslära 2016/2017 LP2-LP2;30 (31,25%);9247
LMU113 Hållfasthetslära 2017/2018 LP2-LP2;28 (32,94%);11308
LMU215 Tekniskt ledarskap och entreprenörskap 2013/2014 LP1-LP1;30 (44,12%);1948
MVE355 Programmering och numeriska beräkningar med Matlab 2013/2014 LP4-LP4;45 (31,03%);3200
MVE355 Programmering och numeriska beräkningar med Matlab 2014/2015 LP4-LP4;55 (35,26%);5578
MVE355 Programmering och numeriska beräkningar med Matlab 2015/2016 LP4-LP4;40 (29,63%);8008
MVE355 Programmering och numeriska beräkningar med Matlab 2016/2017 LP4-LP4;31 (21,99%);10381
MVE355 Programmering och numeriska beräkningar med Matlab 2017/2018 LP4-LP4;36 (26,67%);12507
PPU055 Virtuell produktion 2013/2014 LP2-LP2;36 (73,47%);2948
PPU055 Virtuell produktion 2014/2015 LP2-LP2;18 (50,00%);4609
PPU055 Virtuell produktion 2015/2016 LP2-LP2;10 (66,67%);6784
PPU055 Virtuell produktion 2016/2017 LP2-LP2;14 (51,85%);9215
PPU055 Virtuell produktion 2017/2018 LP2-LP2;17 (62,96%);11280
SJO955 Juridik för ingenjörer, arkitekter med flera i Chalmers utbildningsprogram 2017/2018 LP2-LP2;10 (47,62%);11794
TEK261 Business marketing and purchasing 2013/2014 LP2-LP2;31 (32,98%);3034
TEK261 Business marketing and purchasing 2014/2015 LP2-LP2;36 (31,03%);4379
TEK261 Business marketing and purchasing 2015/2016 LP2-LP2;33 (26,83%);6948
TEK261 Business marketing and purchasing 2016/2017 LP2-LP2;28 (27,72%);9335
TEK261 Business marketing and purchasing 2017/2018 LP2-LP2;23 (28,05%);11362
TEK280 Strategy creation and change 2013/2014 LP1-LP1;30 (44,78%);1966
TEK280 Strategy creation and change 2014/2015 LP1-LP1;54 (68,35%);3745
TEK280 Strategy creation and change 2015/2016 LP1-LP1;29 (44,62%);6259
TEK280 Strategy creation and change 2016/2017 LP1-LP1;40 (44,94%);8671
TEK280 Strategy creation and change 2017/2018 LP1-LP1;34 (42,50%);10961
TEK315 Strategic management and economics of intellectual property 2013/2014 LP1-LP1;16 (42,11%);2314
TEK315 Strategic management and economics of intellectual property 2014/2015 LP1-LP1;12 (54,55%);4185
TEK315 Strategic management and economics of intellectual property 2015/2016 LP1-LP1;8 (57,14%);6423
TEK315 Strategic management and economics of intellectual property 2016/2017 LP1-LP1;15 (44,12%);8447
TEK315 Strategic management and economics of intellectual property 2017/2018 LP1-LP1;12 (34,29%);11017
TEK330 Arbetsorganisation 2013/2014 LP2-LP2;26 (57,78%);2466
TEK330 Arbetsorganisation 2014/2015 LP2-LP2;19 (44,19%);4777
TEK330 Arbetsorganisation 2015/2016 LP2-LP2;22 (61,11%);7098
TEK330 Arbetsorganisation 2016/2017 LP2-LP2;22 (57,89%);9027
TEK330 Arbetsorganisation 2017/2018 LP2-LP2;15 (39,47%);11676
TEK335 Hållbar utveckling 2013/2014 LP3-LP3;22 (52,38%);1547
TEK335 Hållbar utveckling 2014/2015 LP3-LP3;16 (38,10%);5085
TEK335 Hållbar utveckling 2015/2016 LP3-LP3;17 (48,57%);7658
TEK335 Hållbar utveckling 2016/2017 LP3-LP3;19 (51,35%);9919
TEK336 Hållbar utveckling, etik och ingenjörens ansvar 2017/2018 LP3-LP3;22 (57,89%);12311
TEK341 Industriell ekonomi, externredovisning 2013/2014 LP1-LP1;16 (44,44%);2366
TEK341 Industriell ekonomi, externredovisning 2014/2015 LP1-LP1;23 (56,10%);4025
TEK341 Industriell ekonomi, externredovisning 2015/2016 LP1-LP1;15 (38,46%);6227
TEK341 Industriell ekonomi, externredovisning 2016/2017 LP1-LP1;14 (38,89%);8649
TEK341 Industriell ekonomi, externredovisning 2017/2018 LP1-LP1;28 (77,78%);10837
TEK345 Ingenjörssmetodik 2013/2014 LP1-LP1;21 (52,50%);2114
TEK345 Ingenjörssmetodik 2014/2015 LP1-LP1;27 (64,29%);3971
TEK345 Ingenjörssmetodik 2015/2016 LP1-LP1;26 (68,42%);6177
TEK345 Ingenjörssmetodik 2016/2017 LP1-LP1;18 (48,65%);8565
TEK345 Ingenjörssmetodik 2017/2018 LP1-LP1;20 (54,05%);10655
TEK371 Projektledning 2013/2014 LP4-LP4;10 (32,26%);3646
TEK371 Projektledning 2014/2015 LP4-LP4;20 (48,78%);5822
TEK371 Projektledning 2015/2016 LP4-LP4;24 (61,54%);7950
TEK371 Projektledning 2016/2017 LP4-LP4;14 (35,90%);10335
TEK371 Projektledning 2017/2018 LP4-LP4;43 (64,18%);12391
TEK375 Ekonomisk analys 2013/2014 LP4-LP4;21 (41,18%);3610
TEK375 Ekonomisk analys 2014/2015 LP4-LP4;18 (38,30%);5816
TEK375 Ekonomisk analys 2015/2016 LP4-LP4;17 (35,42%);7986
TEK375 Ekonomisk analys 2016/2017 LP4-LP4;13 (35,14%);10367
TEK375 Ekonomisk analys 2017/2018 LP4-LP4;33 (36,67%);12751
TEK380 Logistik 2013/2014 LP3-LP3;16 (43,24%);1627
TEK380 Logistik 2014/2015 LP3-LP3;18 (41,86%);5127
TEK380 Logistik 2015/2016 LP3-LP3;19 (46,34%);7326
TEK380 Logistik 2016/2017 LP3-LP3;22 (59,46%);9701
TEK380 Logistik 2017/2018 LP3-LP3;22 (62,86%);12259
TEK385 Integrerad produktionsorganisation 2013/2014 LP2-LP2;25 (69,44%);2560
TEK385 Integrerad produktionsorganisation 2014/2015 LP2-LP2;20 (60,61%);4413
TEK385 Integrerad produktionsorganisation 2015/2016 LP2-LP2;13 (32,50%);7136
TEK385 Integrerad produktionsorganisation 2016/2017 LP2-LP2;15 (41,67%);9047
TEK385 Integrerad produktionsorganisation 2017/2018 LP2-LP2;18 (56,25%);11696
TEK390 Ingenjören och samhället 2013/2014 LP4-LP4;18 (48,65%);3436
TEK390 Ingenjören och samhället 2014/2015 LP4-LP4;16 (48,48%);6034
TEK390 Ingenjören och samhället 2015/2016 LP4-LP4;24 (45,28%);7820
TEK390 Ingenjören och samhället 2016/2017 LP4-LP4;13 (27,66%);10091
TEK390 Ingenjören och samhället 2017/2018 LP4-LP4;14 (35,90%);12381
TEK396 Ekonomistyrning 2013/2014 LP3-LP3;16 (42,11%);1691
TEK396 Ekonomistyrning 2014/2015 LP3-LP3;13 (40,63%);5173
TEK396 Ekonomistyrning 2015/2016 LP3-LP3;16 (41,03%);7320
TEK396 Ekonomistyrning 2016/2017 LP3-LP3;16 (43,24%);9695
TEK396 Ekonomistyrning 2017/2018 LP3-LP3;13 (44,83%);12255
TEK400 Lean produktion 2013/2014 LP1-LP1;20 (57,14%);2022
TEK400 Lean produktion 2014/2015 LP1-LP1;14 (42,42%);4075
TEK400 Lean produktion 2015/2016 LP1-LP1;19 (47,50%);6087
TEK400 Lean produktion 2016/2017 LP1-LP1;15 (38,46%);8511
TEK400 Lean produktion 2017/2018 LP1-LP1;19 (59,38%);11057
TEK475 Praktiskt ledar- och entreprenörskap 2016/2017 LP1-LP2;12 (54,55%);9039
TEK475 Praktiskt ledar- och entreprenörskap 2017/2018 LP1-LP2;16 (35,56%);11688
TEK475 Praktiskt ledarskap inom innovation 2014/2015 LP1-LP2;11 (32,35%);4793
TEK475 Praktiskt ledarskap inom innovation 2015/2016 LP1-LP2;9 (33,33%);7114
DAT405 Introduction to data science and AI 2022/2023 LP1-LP1;54 (27,14%);22350
EEN065 Applied object-oriented programming 2021/2022 LP4-LP4;13 (25,49%);21973
EEN065 Tillämpad objektorienterad programmering 2019/2020 LP4-LP4;29 (51,79%);17433
EEN065 Tillämpad objektorienterad programmering 2020/2021 LP4-LP4;17 (29,31%);19288
IMS070 Material- och tillverkningsteknik 2020/2021 LP4-LP4;16 (30,19%);19728
IMS070 Material- och tillverkningsteknik 2021/2022 LP4-LP4;17 (32,08%);21833
LMA017 Matematisk analys i flera variabler 2018/2019 LP1-LP1;63 (35,20%);13014
LMA017 Matematisk analys i flera variabler 2019/2020 LP1-LP1;47 (24,61%);15258
LMA017 Mathematical analysis in several variables 2020/2021 LP1-LP1;35 (14,29%);17489
LMA017 Mathematical analysis in several variables 2021/2022 LP1-LP1;87 (40,09%);20062
LMA017 Mathematical analysis in several variables 2022/2023 LP1-LP1;68 (29,96%);22414
LMA019 Algebra 2018/2019 LP1-LP1;83 (36,40%);13158
LMA224 Matematisk överbryggningskurs 2018/2019 LP3-LP3;19 (20,65%);14379
LMA224 Matematisk överbryggningskurs 2019/2020 LP3-LP3;9 (8,11%);16558
LMA224 Matematisk överbryggningskurs 2020/2021 LP3-LP3;3 (4,69%);19063
LMA224 Matematisk överbryggningskurs 2021/2022 LP3-LP3;9 (16,67%);21169
LMA400 Matematisk analys 2018/2019 LP2-LP2;55 (19,64%);13849
LMA521 Tillämpad matematisk statistik 2018/2019 LP2-LP2;26 (33,77%);13973
LMA521 Tillämpad matematisk statistik 2019/2020 LP2-LP2;11 (14,86%);16287
LMA521 Tillämpad matematisk statistik 2020/2021 LP2-LP2;25 (28,41%);18449
LMA521 Tillämpad matematisk statistik 2021/2022 LP2-LP2;18 (27,69%);20631
LMS588 Materialval- och tillverkningsmetoder 2018/2019 LP4-LP4;29 (33,72%);14807
LMS588 Materialval- och tillverkningsmetoder 2019/2020 LP4-LP4;26 (25,24%);17207
LMT202 Mekanik 2018/2019 LP3-LP3;42 (28,77%);14407
LMT202 Mekanik 2019/2020 LP3-LP3;46 (31,94%);16786
LMT202 Mekanik 2020/2021 LP3-LP3;40 (27,78%);18861
LMT202 Mekanik 2021/2022 LP3-LP3;39 (28,06%);21103
LMT834 Termodynamik och strömningsmekanik 2018/2019 LP3-LP3;37 (26,62%);14187
LMT834 Termodynamik och strömningsmekanik 2019/2020 LP3-LP3;48 (32,88%);16768
LMT834 Termodynamik och strömningsmekanik 2020/2021 LP3-LP3;44 (28,76%);18945
LMT834 Termodynamik och strömningsmekanik 2021/2022 LP3-LP3;25 (16,89%);21205
LMT991 Kvalitet och driftsäkerhet 2018/2019 LP2-LP2;18 (50,00%);13673
LMT991 Kvalitet och driftsäkerhet 2019/2020 LP2-LP2;15 (27,78%);16157
LMT991 Kvalitet och driftsäkerhet 2020/2021 LP2-LP2;29 (56,86%);18457
LMT991 Kvalitet och driftsäkerhet 2021/2022 LP2-LP2;18 (35,29%);20639
LMU055 Man and technology 2020/2021 LP1-LP1;7 (15,56%);17707
LMU055 Man and technology 2021/2022 LP1-LP1;10 (26,32%);19898
LMU055 Man and technology 2022/2023 LP1-LP1;16 (34,04%);22464
LMU055 Människa - teknik 2018/2019 LP1-LP2;16 (36,36%);13749
LMU055 Människa - teknik 2019/2020 LP1-LP1;11 (22,92%);15374
LMU113 Hållfasthetslära 2018/2019 LP2-LP2;22 (31,43%);13553
LMU113 Hållfasthetslära 2019/2020 LP2-LP2;28 (32,56%);16059
LMU113 Hållfasthetslära 2020/2021 LP2-LP2;25 (30,12%);18277
LMU113 Hållfasthetslära 2021/2022 LP2-LP2;6 (15,00%);20401
MVE355 Programmering och numeriska beräkningar med Matlab 2018/2019 LP4-LP4;21 (14,19%);14676
MVE570 Linjär algebra och differentialekvationer 2019/2020 LP2-LP2;28 (32,94%);16379
MVE570 Linjär algebra och differentialekvationer 2020/2021 LP2-LP2;41 (47,67%);18085
MVE570 Linjär algebra och differentialekvationer 2021/2022 LP2-LP2;22 (25,58%);20759
MVE575 Matematisk analys 2019/2020 LP1-LP1;36 (37,11%);15714
MVE575 Matematisk analys 2020/2021 LP1-LP1;41 (43,16%);17633
MVE575 Matematisk analys 2021/2022 LP1-LP1;36 (39,56%);19766
MVE575 Matematisk analys 2022/2023 LP1-LP1;28 (35,44%);22548
PPU032 Användarstudier - Att förstå användaren och dess krav 2020/2021 LP1-LP1;24 (72,73%);17829
PPU032 Användarstudier - Att förstå användaren och dess krav 2021/2022 LP1-LP1;13 (41,94%);19784
PPU032 Användarstudier - Att förstå användaren och dess krav 2022/2023 LP1-LP1;12 (38,71%);22562
PPU055 Virtual production 2019/2020 LP2-LP2;28 (38,89%);16167
PPU055 Virtual production 2020/2021 LP2-LP2;21 (31,34%);18309
PPU055 Virtual production 2021/2022 LP2-LP2;29 (42,65%);20427
PPU055 Virtuell produktion 2018/2019 LP2-LP2;14 (50,00%);13531
SJO955 Juridisk introduktionskurs 2018/2019 LP2-LP2;9 (34,62%);13999
SJO955 Juridisk introduktionskurs 2019/2020 LP2-LP2;18 (41,86%);16309
SJO955 Juridisk introduktionskurs 2020/2021 LP2-LP2;9 (39,13%);18213
SJO955 Juridisk introduktionskurs 2021/2022 LP2-LP2;13 (34,21%);20931
SSY295 El- och reglerteknik 2019/2020 LP1-LP1;7 (8,24%);15424
SSY295 El- och reglerteknik 2020/2021 LP1-LP1;29 (36,71%);17493
SSY295 El- och reglerteknik 2021/2022 LP1-LP1;21 (27,63%);20064
SSY295 El- och reglerteknik 2022/2023 LP1-LP1;18 (22,50%);22332
TEK261 Business marketing and purchasing 2018/2019 LP2-LP2;19 (26,76%);13929
TEK280 Strategy creation and change 2018/2019 LP1-LP1;39 (44,83%);13138
TEK280 Strategy creation and change 2019/2020 LP1-LP1;13 (27,66%);15548
TEK330 Arbetsorganisation 2018/2019 LP2-LP2;16 (31,37%);13803
TEK336 Hållbar utveckling, etik och ingenjörens ansvar 2018/2019 LP3-LP3;18 (32,73%);14513
TEK336 Hållbar utveckling, etik och ingenjörens ansvar 2019/2020 LP3-LP3;20 (37,74%);16824
TEK336 Hållbar utveckling, etik och ingenjörens ansvar 2020/2021 LP3-LP3;21 (38,89%);18877
TEK336 Hållbar utveckling, etik och ingenjörens ansvar 2021/2022 LP3-LP3;21 (40,38%);21117
TEK341 Finansiell analys och värdering 2019/2020 LP1-LP1;30 (30,93%);15550
TEK341 Finansiell analys och värdering 2020/2021 LP1-LP1;47 (48,45%);17639
TEK341 Finansiell analys och värdering 2021/2022 LP1-LP1;32 (29,63%);19776
TEK341 Finansiell analys och värdering 2022/2023 LP1-LP1;48 (42,86%);22556
TEK341 Industriell ekonomi, externredovisning 2018/2019 LP1-LP1;34 (40,48%);13068
TEK345 Ingenjörsmetodik 2020/2021 LP1-LP1;20 (37,04%);17741
TEK345 Ingenjörsmetodik 2021/2022 LP1-LP1;26 (44,83%);19956
TEK345 Ingenjörsmetodik 2022/2023 LP1-LP1;14 (27,45%);22522
TEK345 Ingenjörssmetodik 2018/2019 LP1-LP1;28 (58,33%);13308
