programme;course_tag;report_id
TIKEL;CIU200;3262
TIKEL;CIU200;5664
TIKEL;CIU200;8236
TIKEL;CIU200;10237
TIKEL;CIU200;12819
TIKEL;CTE031;5261
TIKEL;CTE031;7704
TIKEL;CTE031;9899
TIKEL;CTE031;12131
TIKEL;FSP011;2058
TIKEL;FSP011;3781
TIKEL;FSP011;6287
TIKEL;FSP011;8691
TIKEL;FSP011;10833
TIKEL;KAM021;1555
TIKEL;KAM021;5041
TIKEL;KAM021;7494
TIKEL;KAM021;9855
TIKEL;KAM021;11957
TIKEL;KBT011;2338
TIKEL;KBT011;4003
TIKEL;KBT011;6205
TIKEL;KBT011;8629
TIKEL;KBT011;10703
TIKEL;KBT015;1946
TIKEL;KBT015;3731
TIKEL;KBT015;6249
TIKEL;KBT016;8893
TIKEL;KBT016;10799
TIKEL;KBT020;2628
TIKEL;KBT020;4335
TIKEL;KBT020;6910
TIKEL;KBT020;9305
TIKEL;KBT020;11344
TIKEL;KBT095;1625
TIKEL;KBT095;5125
TIKEL;KBT095;7324
TIKEL;KBT095;9699
TIKEL;KBT095;12257
TIKEL;KBT145;1523
TIKEL;KBT145;5015
TIKEL;KBT145;7482
TIKEL;KBT145;9985
TIKEL;KBT145;12107
TIKEL;KBT200;1559
TIKEL;KBT200;5045
TIKEL;KBT200;7498
TIKEL;KBT201;10015
TIKEL;KBT201;12023
TIKEL;KBT240;2378
TIKEL;KBT240;4121
TIKEL;KBT241;6579
TIKEL;KBT241;8783
TIKEL;KBT241;10797
TIKEL;KBT245;5425
TIKEL;KBT245;7568
TIKEL;KBT245;9631
TIKEL;KBT285;7754
TIKEL;KFK176;1517
TIKEL;KFK176;5009
TIKEL;KFK176;7478
TIKEL;KFK176;9843
TIKEL;KFK176;11947
TIKEL;KPO040;5269
TIKEL;KPO040;7712
TIKEL;KPO040;9929
TIKEL;KPO040;12007
TIKEL;KPO045;5215
TIKEL;KPO045;7400
TIKEL;KPO045;9783
TIKEL;KPO045;11905
TIKEL;LKT032;2296
TIKEL;LKT032;4169
TIKEL;LKT032;6371
TIKEL;LKT032;8405
TIKEL;LKT032;10983
TIKEL;LKT053;3378
TIKEL;LKT053;5760
TIKEL;LKT053;7940
TIKEL;LKT053;10325
TIKEL;LKT053;12465
TIKEL;LKT084;3314
TIKEL;LKT084;5495
TIKEL;LKT084;8054
TIKEL;LKT084;10407
TIKEL;LKT084;12525
TIKEL;LKT105;1483
TIKEL;LKT105;5285
TIKEL;LKT105;7728
TIKEL;LKT105;9981
TIKEL;LKT105;12103
TIKEL;LKT280;2964
TIKEL;LKT280;4623
