name;ans_freq;report_id
CIU200 Teknisk kommunikation 1 2013/2014 LP4-LP4;15 (44,12%);3262
CIU200 Teknisk kommunikation 1 2014/2015 LP4-LP4;11 (33,33%);5664
CIU200 Teknisk kommunikation 1 2015/2016 LP4-LP4;7 (24,14%);8236
CIU200 Teknisk kommunikation 1 2016/2017 LP4-LP4;9 (34,62%);10237
CIU200 Teknisk kommunikation 1 2017/2018 LP4-LP4;8 (25,81%);12819
CTE031 Teknikhistoria 2014/2015 LP3-LP3;77 (44,00%);5261
CTE031 Teknikhistoria 2015/2016 LP3-LP3;68 (35,23%);7704
CTE031 Teknikhistoria 2016/2017 LP3-LP3;51 (40,16%);9899
CTE031 Teknikhistoria 2017/2018 LP3-LP3;29 (29,59%);12131
FSP011 Technical communication 3 2013/2014 LP1-LP1;16 (50,00%);2058
FSP011 Technical communication 3 2014/2015 LP1-LP1;10 (40,00%);3781
FSP011 Technical communication 3 2015/2016 LP1-LP1;14 (53,85%);6287
FSP011 Technical communication 3 2016/2017 LP1-LP1;15 (53,57%);8691
FSP011 Technical communication 3 2017/2018 LP1-LP1;5 (23,81%);10833
KAM021 Advanced analytical chemistry 2013/2014 LP3-LP3;17 (53,13%);1555
KAM021 Advanced analytical chemistry 2014/2015 LP3-LP3;22 (53,66%);5041
KAM021 Advanced analytical chemistry 2015/2016 LP3-LP3;22 (53,66%);7494
KAM021 Advanced analytical chemistry 2016/2017 LP3-LP3;33 (62,26%);9855
KAM021 Advanced analytical chemistry 2017/2018 LP3-LP3;32 (57,14%);11957
KBT011 Separationsteknik 2 2013/2014 LP1-LP1;19 (48,72%);2338
KBT011 Separationsteknik 2 2014/2015 LP1-LP1;13 (35,14%);4003
KBT011 Separationsteknik 2 2015/2016 LP1-LP1;18 (47,37%);6205
KBT011 Separationsteknik 2 2016/2017 LP1-LP1;17 (42,50%);8629
KBT011 Separationsteknik 2 2017/2018 LP1-LP1;8 (29,63%);10703
KBT015 Biokemi 2013/2014 LP1-LP1;23 (62,16%);1946
KBT015 Biokemi 2014/2015 LP1-LP1;17 (51,52%);3731
KBT015 Biokemi 2015/2016 LP1-LP1;18 (51,43%);6249
KBT016 Biokemi och bioteknik 2016/2017 LP1-LP1;7 (25,00%);8893
KBT016 Biokemi och bioteknik 2017/2018 LP1-LP1;10 (35,71%);10799
KBT020 Kemisk miljövetenskap 2013/2014 LP2-LP2;18 (52,94%);2628
KBT020 Kemisk miljövetenskap 2014/2015 LP2-LP2;11 (33,33%);4335
KBT020 Kemisk miljövetenskap 2015/2016 LP2-LP2;14 (40,00%);6910
KBT020 Kemisk miljövetenskap 2016/2017 LP2-LP2;11 (31,43%);9305
KBT020 Kemisk miljövetenskap 2017/2018 LP2-LP2;9 (25,71%);11344
KBT095 Corrosion 2013/2014 LP3-LP3;27 (51,92%);1625
KBT095 Corrosion 2014/2015 LP3-LP3;30 (68,18%);5125
KBT095 Corrosion 2015/2016 LP3-LP3;15 (50,00%);7324
KBT095 Corrosion 2016/2017 LP3-LP3;9 (36,00%);9699
KBT095 Corrosion 2017/2018 LP3-LP3;20 (47,62%);12257
KBT145 Biorefinery 2013/2014 LP3-LP3;12 (46,15%);1523
KBT145 Biorefinery 2014/2015 LP3-LP3;14 (45,16%);5015
KBT145 Biorefinery 2015/2016 LP3-LP3;16 (51,61%);7482
KBT145 Biorefinery 2016/2017 LP3-LP3;14 (56,00%);9985
KBT145 Biorefinery 2017/2018 LP3-LP3;20 (57,14%);12107
KBT200 Produkter och processer i ett hållbart samhälle 2013/2014 LP3-LP3;24 (51,06%);1559
KBT200 Produkter och processer i ett hållbart samhälle 2014/2015 LP3-LP3;18 (40,00%);5045
KBT200 Produkter och processer i ett hållbart samhälle 2015/2016 LP3-LP3;24 (42,11%);7498
KBT201 Produkter och processer i ett hållbart samhälle 2016/2017 LP3-LP3;32 (60,38%);10015
KBT201 Produkter och processer i ett hållbart samhälle 2017/2018 LP3-LP3;19 (54,29%);12023
KBT240 Analytisk kemi 2013/2014 LP1-LP1;17 (54,84%);2378
KBT240 Analytisk kemi 2014/2015 LP1-LP1;10 (43,48%);4121
KBT241 Analytisk kemi 2015/2016 LP1-LP1;16 (64,00%);6579
KBT241 Analytisk kemi 2016/2017 LP1-LP1;17 (58,62%);8783
KBT241 Analytisk kemi 2017/2018 LP1-LP1;6 (26,09%);10797
KBT245 Green chemistry 2014/2015 LP3-LP3;3 (30,00%);5425
KBT245 Green chemistry 2015/2016 LP3-LP3;12 (63,16%);7568
KBT245 Green chemistry 2016/2017 LP3-LP3;7 (50,00%);9631
KBT285 Näringslivssamverkan - Arbetslivsintegrerad praktik inom kemiteknik 2015/2016 LP3-LP3;5 (100,00%);7754
KFK176 Kolloid- och ytkemi 2013/2014 LP3-LP3;34 (46,58%);1517
KFK176 Kolloid- och ytkemi 2014/2015 LP3-LP3;39 (60,00%);5009
KFK176 Kolloid- och ytkemi 2015/2016 LP3-LP3;38 (51,35%);7478
KFK176 Kolloid- och ytkemi 2016/2017 LP3-LP3;26 (40,63%);9843
KFK176 Kolloid- och ytkemi 2017/2018 LP3-LP3;37 (53,62%);11947
KPO040 Surface engineering 2014/2015 LP3-LP3;22 (57,89%);5269
KPO040 Surface engineering 2015/2016 LP3-LP3;21 (47,73%);7712
KPO040 Surface engineering 2016/2017 LP3-LP3;24 (51,06%);9929
KPO040 Surface engineering 2017/2018 LP3-LP3;25 (62,50%);12007
KPO045 Biological materials 2014/2015 LP3-LP3;9 (56,25%);5215
KPO045 Biological materials 2015/2016 LP3-LP3;9 (45,00%);7400
KPO045 Biological materials 2016/2017 LP3-LP3;9 (50,00%);9783
KPO045 Biological materials 2017/2018 LP3-LP3;14 (42,42%);11905
LKT032 Allmän och oorganisk kemi 2013/2014 LP1-LP1;22 (68,75%);2296
LKT032 Allmän och oorganisk kemi 2014/2015 LP1-LP1;22 (61,11%);4169
LKT032 Allmän och oorganisk kemi 2015/2016 LP1-LP1;16 (48,48%);6371
LKT032 Allmän och oorganisk kemi 2016/2017 LP1-LP1;15 (44,12%);8405
LKT032 Allmän och oorganisk kemi 2017/2018 LP1-LP1;15 (44,12%);10983
LKT053 Fysikalisk kemi 2013/2014 LP3-LP4;16 (45,71%);3378
LKT053 Fysikalisk kemi 2014/2015 LP3-LP4;14 (38,89%);5760
LKT053 Fysikalisk kemi 2015/2016 LP3-LP4;9 (27,27%);7940
LKT053 Fysikalisk kemi 2016/2017 LP3-LP4;8 (27,59%);10325
LKT053 Fysikalisk kemi 2017/2018 LP3-LP4;9 (29,03%);12465
LKT084 Industriell kemi 2013/2014 LP4-LP4;16 (44,44%);3314
LKT084 Industriell kemi 2014/2015 LP4-LP4;13 (33,33%);5495
LKT084 Industriell kemi 2015/2016 LP4-LP4;7 (22,58%);8054
LKT084 Industriell kemi 2016/2017 LP4-LP4;9 (29,03%);10407
LKT084 Industriell kemi 2017/2018 LP4-LP4;8 (24,24%);12525
LKT105 Organisk kemi 2013/2014 LP2-LP3;12 (41,38%);1483
LKT105 Organisk kemi 2014/2015 LP2-LP3;19 (55,88%);5285
LKT105 Organisk kemi 2015/2016 LP2-LP3;8 (27,59%);7728
LKT105 Organisk kemi 2016/2017 LP2-LP3;19 (63,33%);9981
LKT105 Organisk kemi 2017/2018 LP2-LP3;12 (33,33%);12103
LKT280 Materiallära 2013/2014 LP2-LP2;18 (54,55%);2964
LKT280 Materiallära 2014/2015 LP2-LP2;8 (28,57%);4623
LKT280 Materiallära 2015/2016 LP2-LP2;10 (33,33%);6796
LKT280 Materiallära 2016/2017 LP2-LP2;9 (32,14%);9225
LKT280 Materiallära 2017/2018 LP2-LP2;6 (23,08%);11290
LKT317 Projektorganisation 2013/2014 LP2-LP2;11 (40,74%);2680
LKT317 Projektorganisation 2014/2015 LP2-LP2;12 (40,00%);4551
LKT317 Projektorganisation 2015/2016 LP2-LP2;12 (40,00%);6728
LKT317 Projektorganisation 2016/2017 LP2-LP2;7 (25,93%);9107
LKT317 Projektorganisation 2017/2018 LP2-LP2;10 (41,67%);11196
LKT320 Teknisk termodynamik 2013/2014 LP3-LP3;12 (33,33%);1821
LKT320 Teknisk termodynamik 2014/2015 LP3-LP3;14 (41,18%);5239
LKT320 Teknisk termodynamik 2015/2016 LP3-LP3;13 (35,14%);7426
LKT320 Teknisk termodynamik 2016/2017 LP3-LP3;8 (22,86%);9809
LKT320 Teknisk termodynamik 2017/2018 LP3-LP3;13 (38,24%);12055
LKT325 Matematisk statistik 2013/2014 LP2-LP2;11 (35,48%);2884
LKT325 Matematisk statistik 2014/2015 LP2-LP2;12 (28,57%);4851
LKT325 Matematisk statistik 2015/2016 LP2-LP2;15 (38,46%);7002
LKT325 Matematisk statistik 2016/2017 LP2-LP2;6 (17,65%);8971
LKT325 Matematisk statistik 2017/2018 LP2-LP2;11 (33,33%);11468
LKT331 Reaktorprocesser 2013/2014 LP3-LP3;13 (43,33%);1715
LKT331 Reaktorprocesser 2014/2015 LP3-LP3;13 (44,83%);5195
LKT331 Reaktorprocesser 2015/2016 LP3-LP3;16 (40,00%);7380
LKT331 Reaktorprocesser 2016/2017 LP3-LP3;6 (16,67%);9741
LKT331 Reaktorprocesser 2017/2018 LP3-LP3;13 (40,63%);11879
LKT335 Separationsteknik 1 2013/2014 LP4-LP4;10 (23,81%);3300
LKT335 Separationsteknik 1 2014/2015 LP4-LP4;9 (21,95%);5666
LKT335 Separationsteknik 1 2015/2016 LP4-LP4;16 (34,78%);8238
LKT335 Separationsteknik 1 2016/2017 LP4-LP4;8 (18,60%);10239
LKT335 Separationsteknik 1 2017/2018 LP4-LP4;8 (20,00%);12821
LKT340 Strömnings- och energiteknik 2013/2014 LP4-LP4;11 (29,73%);3140
LKT340 Strömnings- och energiteknik 2014/2015 LP4-LP4;7 (19,44%);5872
LKT340 Strömnings- och energiteknik 2015/2016 LP4-LP4;15 (40,54%);8192
LKT340 Strömnings- och energiteknik 2016/2017 LP4-LP4;6 (16,67%);10553
LKT340 Strömnings- och energiteknik 2017/2018 LP4-LP4;6 (16,22%);12693
LKT400 Tillämpad matematik i kemitekniken 2013/2014 LP2-LP2;12 (46,15%);2966
LKT400 Tillämpad matematik i kemitekniken 2014/2015 LP2-LP2;10 (37,04%);4625
LKT400 Tillämpad matematik i kemitekniken 2015/2016 LP2-LP2;12 (41,38%);6798
LKT400 Tillämpad matematik i kemitekniken 2016/2017 LP2-LP2;9 (32,14%);9227
LKT400 Tillämpad matematik i kemitekniken 2017/2018 LP2-LP2;10 (41,67%);11292
LMA515 Matematik 2013/2014 LP1-LP3;16 (33,33%);1543
LMA515 Matematik 2014/2015 LP1-LP3;22 (40,00%);5031
