name;ans_freq;report_id
LMA017 Matematisk analys i flera variabler 2013/2014 LP1-LP1;38 (35,85%);2146
LMA017 Matematisk analys i flera variabler 2014/2015 LP1-LP1;59 (46,09%);3855
LMA017 Matematisk analys i flera variabler 2015/2016 LP1-LP1;49 (33,79%);6501
LMA017 Matematisk analys i flera variabler 2016/2017 LP1-LP1;64 (39,26%);8735
LMA017 Matematisk analys i flera variabler 2017/2018 LP1-LP1;55 (32,54%);10763
LMA018 Algebra 2013/2014 LP1-LP1;65 (29,02%);1950
LMA019 Algebra 2014/2015 LP1-LP1;135 (59,73%);4237
LMA019 Algebra 2015/2016 LP1-LP1;95 (46,57%);6389
LMA019 Algebra 2016/2017 LP1-LP1;97 (47,09%);8419
LMA019 Algebra 2017/2018 LP1-LP1;111 (52,61%);10995
LMA224 Matematisk överbryggningskurs 2013/2014 LP3-LP3;21 (40,38%);1763
LMA224 Matematisk överbryggningskurs 2014/2015 LP3-LP3;40 (41,24%);5399
LMA224 Matematisk överbryggningskurs 2015/2016 LP3-LP3;22 (31,88%);7576
LMA224 Matematisk överbryggningskurs 2016/2017 LP3-LP3;20 (22,99%);9635
LMA224 Matematisk överbryggningskurs 2017/2018 LP3-LP3;23 (26,14%);12207
LMA400 Matematisk analys 2013/2014 LP2-LP2;84 (33,60%);2782
LMA400 Matematisk analys 2014/2015 LP2-LP2;102 (37,23%);4473
LMA400 Matematisk analys 2015/2016 LP2-LP2;70 (26,42%);6668
LMA400 Matematisk analys 2016/2017 LP2-LP2;65 (23,64%);9083
LMA400 Matematisk analys 2017/2018 LP2-LP2;48 (17,52%);11726
LMA521 Tillämpad matematisk statistik 2013/2014 LP2-LP2;32 (31,68%);2822
LMA521 Tillämpad matematisk statistik 2013/2014 LP3-LP3;21 (20,79%);1849
LMA521 Tillämpad matematisk statistik 2014/2015 LP3-LP3;24 (24,00%);5061
LMA521 Tillämpad matematisk statistik 2015/2016 LP3-LP3;23 (26,74%);7512
LMA521 Tillämpad matematisk statistik 2016/2017 LP3-LP3;23 (27,06%);9989
LMA521 Tillämpad matematisk statistik 2017/2018 LP3-LP3;17 (19,10%);12111
LMS586 Materialteknik, fortsättningskurs 2013/2014 LP4-LP4;4 (33,33%);3196
LMS586 Materialteknik, fortsättningskurs 2014/2015 LP3-LP3;17 (65,38%);5079
LMS586 Materialteknik, fortsättningskurs 2015/2016 LP3-LP3;11 (37,93%);7652
LMS586 Materialteknik, fortsättningskurs 2016/2017 LP3-LP3;6 (30,00%);9677
LMS586 Materialteknik, fortsättningskurs 2017/2018 LP3-LP3;8 (30,77%);12243
LMS589 Materialteknik 2013/2014 LP1-LP1;17 (19,54%);2398
LMS589 Materialteknik 2014/2015 LP1-LP1;27 (36,99%);4127
LMS589 Materialteknik 2015/2016 LP1-LP1;27 (34,62%);6475
LMS589 Materialteknik 2016/2017 LP1-LP1;25 (37,31%);8483
LMS589 Materialteknik 2017/2018 LP1-LP1;22 (29,33%);11039
LMS893 Energi och hållbar utveckling 2013/2014 LP4-LP4;43 (28,86%);3418
LMS893 Energi och hållbar utveckling 2014/2015 LP4-LP4;37 (28,03%);5668
LMS893 Energi och hållbar utveckling 2015/2016 LP4-LP4;39 (29,32%);8240
LMS893 Energi och hållbar utveckling 2016/2017 LP4-LP4;30 (24,19%);10241
LMS893 Energi och hållbar utveckling 2017/2018 LP4-LP4;32 (25,40%);12823
LMT106 Automatiseringsteknik 2013/2014 LP1-LP1;5 (26,32%);2076
LMT107 Automatiseringsteknik 2014/2015 LP1-LP2;16 (55,17%);4901
LMT108 Automatiseringsteknik 2015/2016 LP1-LP2;5 (31,25%);7268
LMT108 Automatiseringsteknik 2016/2017 LP1-LP2;8 (40,00%);9141
LMT108 Automatiseringsteknik 2017/2018 LP1-LP2;10 (47,62%);11220
LMT202 Mekanik 2013/2014 LP3-LP3;46 (29,49%);1795
LMT202 Mekanik 2014/2015 LP3-LP3;54 (36,24%);5081
LMT202 Mekanik 2015/2016 LP3-LP3;37 (28,68%);7654
LMT202 Mekanik 2016/2017 LP3-LP3;45 (33,83%);9679
LMT202 Mekanik 2017/2018 LP3-LP3;33 (23,40%);12245
LMT211 Mekanik, fortsättningskurs 2013/2014 LP1-LP1;8 (24,24%);1912
LMT211 Mekanik, fortsättningskurs 2014/2015 LP2-LP2;14 (30,43%);4409
LMT211 Mekanik, fortsättningskurs 2015/2016 LP2-LP2;17 (33,33%);7132
LMT211 Mekanik, fortsättningskurs 2016/2017 LP2-LP2;14 (26,42%);9397
LMT211 Mekanik, fortsättningskurs 2017/2018 LP2-LP2;10 (21,74%);11406
LMT732 Driftsäkerhetsstyrning 2013/2014 LP3-LP3;8 (22,86%);1439
LMT834 Termodynamik och strömningsmekanik 2013/2014 LP3-LP3;35 (22,73%);1813
LMT834 Termodynamik och strömningsmekanik 2014/2015 LP3-LP3;47 (27,98%);5231
LMT834 Termodynamik och strömningsmekanik 2015/2016 LP3-LP3;38 (27,14%);7418
LMT834 Termodynamik och strömningsmekanik 2016/2017 LP3-LP3;46 (32,62%);9799
LMT834 Termodynamik och strömningsmekanik 2017/2018 LP3-LP3;35 (24,14%);11917
LMT968 Industriell ekonomi och organisation 2013/2014 LP2-LP2;68 (37,99%);2810
LMT968 Industriell ekonomi och organisation 2014/2015 LP2-LP2;33 (27,50%);4497
LMT968 Industriell ekonomi och organisation 2015/2016 LP2-LP2;23 (18,25%);6686
LMT968 Industriell ekonomi och organisation 2016/2017 LP2-LP2;36 (25,90%);9183
LMT968 Industriell ekonomi och organisation 2017/2018 LP2-LP2;47 (25,27%);11256
LMT991 Kvalitet och driftsäkerhet 2013/2014 LP1-LP1;30 (68,18%);1982
LMT992 Kvalitet och driftsäkerhet 2014/2015 LP1-LP2;18 (62,07%);4899
LMT994 Kvalitet och driftsäkerhet 2015/2016 LP3-LP3;4 (36,36%);7766
LMT994 Kvalitet och driftsäkerhet 2016/2017 LP3-LP3;3 (25,00%);9775
LMT994 Kvalitet och driftsäkerhet 2017/2018 LP3-LP3;4 (30,77%);11901
LMU055 Människa - teknik 2013/2014 LP2-LP2;15 (34,09%);2764
LMU055 Människa - teknik 2014/2015 LP3-LP3;7 (30,43%);5135
LMU055 Människa - teknik 2015/2016 LP1-LP2;6 (33,33%);6656
LMU055 Människa - teknik 2016/2017 LP1-LP2;8 (33,33%);9459
LMU055 Människa - teknik 2017/2018 LP1-LP2;13 (35,14%);11606
LMU092 Verktygsmaskiner och datorstödd beredning 2014/2015 LP1-LP1;16 (48,48%);4195
LMU092 Verktygsmaskiner och datorstödd beredning 2015/2016 LP1-LP1;6 (37,50%);6387
LMU092 Verktygsmaskiner och datorstödd beredning 2016/2017 LP1-LP1;9 (47,37%);8417
LMU092 Verktygsmaskiner och datorstödd beredning 2017/2018 LP1-LP1;8 (33,33%);10993
LMU101 Konstruktion, fortsättningskurs 2013/2014 LP2-LP2;10 (33,33%);2758
LMU101 Konstruktion, fortsättningskurs 2014/2015 LP2-LP2;16 (34,04%);4411
LMU101 Konstruktion, fortsättningskurs 2015/2016 LP2-LP2;18 (32,14%);7134
LMU101 Konstruktion, fortsättningskurs 2016/2017 LP2-LP2;16 (28,07%);9399
LMU101 Konstruktion, fortsättningskurs 2017/2018 LP2-LP2;11 (22,45%);11408
LMU111 Hållfasthetslära, fortsättningskurs 2013/2014 LP1-LP1;6 (40,00%);2370
LMU111 Hållfasthetslära, fortsättningskurs 2015/2016 LP4-LP4;4 (14,81%);7798
LMU111 Hållfasthetslära, fortsättningskurs 2016/2017 LP4-LP4;5 (16,13%);10105
LMU111 Hållfasthetslära, fortsättningskurs 2017/2018 LP4-LP4;4 (15,38%);12377
LMU120 FEM-modellering 2014/2015 LP1-LP1;25 (54,35%);3845
LMU120 FEM-modellering 2015/2016 LP1-LP1;21 (39,62%);6491
LMU120 FEM-modellering 2016/2017 LP1-LP1;15 (30,00%);8499
LMU120 FEM-modellering 2017/2018 LP1-LP1;22 (53,66%);10835
LMU172 Integrerade tillverkningssystem 2013/2014 LP3-LP3;3 (30,00%);1801
LMU215 Tekniskt ledarskap och entreprenörskap 2013/2014 LP1-LP1;30 (44,12%);1948
LMU233 Avancerad tillverkningsteknik 2013/2014 LP4-LP4;4 (28,57%);3580
LMU235 Tillverkningsteknik 2013/2014 LP2-LP2;37 (45,68%);3032
LMU235 Tillverkningsteknik 2014/2015 LP2-LP2;20 (26,67%);4799
LMU235 Tillverkningsteknik 2015/2016 LP2-LP2;21 (27,27%);6956
LMU235 Tillverkningsteknik 2016/2017 LP2-LP2;21 (28,00%);9497
LMU235 Tillverkningsteknik 2017/2018 LP2-LP2;22 (27,50%);11526
LMU305 Produktionslogistik 2013/2014 LP2-LP2;9 (33,33%);2530
LMU305 Produktionslogistik 2014/2015 LP2-LP2;18 (52,94%);4693
LMU305 Produktionslogistik 2015/2016 LP2-LP2;9 (45,00%);7194
LMU305 Produktionslogistik 2016/2017 LP2-LP2;10 (41,67%);9381
LMU305 Produktionslogistik 2017/2018 LP2-LP2;11 (47,83%);11400
LMU421 Datorstödd maskinkonstruktion 2013/2014 LP1-LP2;29 (32,95%);2792
LMU421 Datorstödd maskinkonstruktion 2014/2015 LP1-LP2;35 (39,77%);4481
LMU421 Datorstödd maskinkonstruktion 2015/2016 LP1-LP2;19 (24,68%);6674
LMU421 Datorstödd maskinkonstruktion 2016/2017 LP1-LP2;24 (28,92%);9463
LMU421 Datorstödd maskinkonstruktion 2017/2018 LP1-LP2;19 (22,89%);11556
MTT125 Additiv tillverkning 2016/2017 LP4-LP4;4 (40,00%);10081
MTT125 Additiv tillverkning 2017/2018 LP4-LP4;3 (27,27%);12389
MVE255 Matematisk analys i flera variabler 2014/2015 LP4-LP4;58 (26,48%);5972
MVE255 Matematisk analys i flera variabler 2015/2016 LP4-LP4;54 (24,32%);8182
MVE255 Matematisk analys i flera variabler 2016/2017 LP4-LP4;34 (15,89%);10549
MVE255 Matematisk analys i flera variabler 2017/2018 LP4-LP4;56 (22,76%);12689
MVE355 Programmering och numeriska beräkningar med Matlab 2013/2014 LP4-LP4;45 (31,03%);3200
MVE355 Programmering och numeriska beräkningar med Matlab 2014/2015 LP4-LP4;55 (35,26%);5578
MVE355 Programmering och numeriska beräkningar med Matlab 2015/2016 LP4-LP4;40 (29,63%);8008
MVE355 Programmering och numeriska beräkningar med Matlab 2016/2017 LP4-LP4;31 (21,99%);10381
MVE355 Programmering och numeriska beräkningar med Matlab 2017/2018 LP4-LP4;36 (26,67%);12507
PPU126 Introduktion till maskinteknik 2013/2014 LP1-LP2;34 (40,96%);2806
PPU126 Introduktion till maskinteknik 2014/2015 LP1-LP2;36 (45,00%);4493
PPU126 Introduktion till maskinteknik 2015/2016 LP1-LP2;17 (22,97%);6684
PPU126 Introduktion till maskinteknik 2016/2017 LP1-LP2;23 (29,49%);9097
PPU126 Introduktion till maskinteknik 2017/2018 LP1-LP2;16 (20,78%);11738
PPU195 Produktutvecklingsprojekt 2013/2014 LP3-LP4;38 (50,00%);3630
PPU195 Produktutvecklingsprojekt 2014/2015 LP3-LP4;32 (43,84%);5648
PPU195 Produktutvecklingsprojekt 2015/2016 LP3-LP4;31 (47,69%);8084
PPU195 Produktutvecklingsprojekt 2016/2017 LP3-LP4;21 (33,87%);10429
PPU195 Produktutvecklingsprojekt 2017/2018 LP3-LP4;25 (35,21%);12543
PPU200 Konstruktion 2013/2014 LP3-LP4;55 (51,40%);3632
PPU200 Konstruktion 2014/2015 LP3-LP4;46 (42,59%);5934
PPU200 Konstruktion 2015/2016 LP3-LP4;46 (40,71%);8102
PPU200 Konstruktion 2016/2017 LP3-LP4;33 (30,84%);10327
PPU200 Konstruktion 2017/2018 LP3-LP4;39 (33,33%);12467
SSY295 El- och reglerteknik 2013/2014 LP1-LP1;22 (24,18%);2400
SSY295 El- och reglerteknik 2014/2015 LP1-LP1;38 (46,34%);4119
SSY295 El- och reglerteknik 2015/2016 LP1-LP1;25 (32,89%);6469
SSY295 El- och reglerteknik 2016/2017 LP1-LP1;30 (40,00%);8613
SSY295 El- och reglerteknik 2017/2018 LP1-LP1;29 (34,94%);10691
TEK265 Affärsdriven produktutveckling 2013/2014 LP1-LP1;18 (48,65%);2132
TME255 Hållfasthetslära 2013/2014 LP4-LP4;25 (26,88%);3456
TME255 Hållfasthetslära 2014/2015 LP4-LP4;27 (29,67%);5670
