name;ans_freq;report_id
FSP016 English - mechatronic project 2013/2014 LP1-LP1;18 (32,14%);2374
LEU029 Givare och don 2013/2014 LP3-LP3;16 (37,21%);1749
LEU029 Givare och don 2014/2015 LP3-LP3;10 (22,73%);5387
LEU029 Givare och don 2015/2016 LP3-LP3;19 (35,85%);7548
LEU029 Givare och don 2016/2017 LP3-LP3;12 (25,00%);9615
LEU029 Givare och don 2017/2018 LP3-LP3;17 (36,96%);12137
LEU075 Styrprojekt 2013/2014 LP4-LP4;15 (32,61%);3384
LEU076 Styrprojekt 2015/2016 LP2-LP2;19 (39,58%);7034
LEU076 Styrprojekt 2016/2017 LP2-LP2;7 (16,28%);9511
LEU076 Styrprojekt 2017/2018 LP2-LP2;19 (45,24%);11534
LEU236 Dynamiska system med reglerteknik 2013/2014 LP2-LP2;60 (37,04%);2998
LEU236 Dynamiska system med reglerteknik 2014/2015 LP2-LP2;48 (29,45%);4655
LEU236 Dynamiska system med reglerteknik 2015/2016 LP2-LP2;48 (30,77%);6824
LEU236 Dynamiska system med reglerteknik 2016/2017 LP2-LP2;36 (24,49%);9245
LEU236 Dynamiska system med reglerteknik 2017/2018 LP2-LP2;32 (28,57%);11306
LEU340 Industriella styr och övervakningssystem 2013/2014 LP3-LP3;11 (31,43%);1791
LEU340 Industriella styr och övervakningssystem 2014/2015 LP3-LP3;7 (43,75%);5075
LEU340 Industriella styr och övervakningssystem 2015/2016 LP3-LP3;18 (51,43%);7648
LEU340 Industriella styr och övervakningssystem 2016/2017 LP3-LP3;6 (37,50%);9917
LEU340 Industriella styr och övervakningssystem 2017/2018 LP3-LP3;6 (31,58%);12001
LEU431 Digital och datorteknik 2013/2014 LP1-LP2;67 (36,41%);2678
LEU431 Digital och datorteknik 2014/2015 LP1-LP2;62 (36,05%);4405
LEU431 Digital och datorteknik 2015/2016 LP1-LP2;53 (29,44%);7128
LEU432 Grundläggande datorteknik 2016/2017 LP1-LP2;53 (34,87%);9531
LEU432 Grundläggande datorteknik 2017/2018 LP1-LP2;46 (27,38%);11436
LEU470 Elektriska kretsar 2013/2014 LP3-LP3;16 (33,33%);1745
LEU470 Elektriska kretsar 2014/2015 LP3-LP3;24 (35,29%);5385
LEU471 Elektriska kretsar 2015/2016 LP3-LP3;16 (30,19%);7764
LEU471 Elektriska kretsar 2016/2017 LP3-LP3;11 (24,44%);9777
LEU471 Elektriska kretsar 2017/2018 LP3-LP3;15 (31,91%);11903
LEU480 Programutveckling 2013/2014 LP2-LP2;94 (50,00%);2490
LEU480 Programutveckling 2014/2015 LP2-LP2;64 (36,36%);4403
LEU481 Programutveckling 2014/2015 LP4-LP4;16 (25,00%);5974
LEU481 Programutveckling 2015/2016 LP4-LP4;15 (26,79%);8302
LEU481 Programutveckling 2016/2017 LP4-LP4;14 (25,93%);10525
LEU481 Programutveckling 2017/2018 LP4-LP4;16 (25,40%);12615
LEU500 Maskinorienterad programmering 2013/2014 LP3-LP3;58 (34,32%);1659
LEU500 Maskinorienterad programmering 2014/2015 LP3-LP3;50 (31,65%);5155
LEU500 Maskinorienterad programmering 2015/2016 LP3-LP3;50 (29,24%);7350
LEU500 Maskinorienterad programmering 2016/2017 LP3-LP3;41 (22,78%);9959
LEU500 Maskinorienterad programmering 2017/2018 LP3-LP3;54 (26,09%);12089
LMA017 Matematisk analys i flera variabler 2013/2014 LP1-LP1;38 (35,85%);2146
LMA017 Matematisk analys i flera variabler 2014/2015 LP1-LP1;59 (46,09%);3855
LMA017 Matematisk analys i flera variabler 2015/2016 LP1-LP1;49 (33,79%);6501
LMA017 Matematisk analys i flera variabler 2016/2017 LP1-LP1;64 (39,26%);8735
LMA017 Matematisk analys i flera variabler 2017/2018 LP1-LP1;55 (32,54%);10763
LMA018 Algebra 2013/2014 LP1-LP1;65 (29,02%);1950
LMA019 Algebra 2014/2015 LP1-LP1;135 (59,73%);4237
LMA019 Algebra 2015/2016 LP1-LP1;95 (46,57%);6389
LMA019 Algebra 2016/2017 LP1-LP1;97 (47,09%);8419
LMA019 Algebra 2017/2018 LP1-LP1;111 (52,61%);10995
LMA224 Matematisk överbryggningskurs 2013/2014 LP3-LP3;21 (40,38%);1763
LMA224 Matematisk överbryggningskurs 2014/2015 LP3-LP3;40 (41,24%);5399
LMA224 Matematisk överbryggningskurs 2015/2016 LP3-LP3;22 (31,88%);7576
LMA224 Matematisk överbryggningskurs 2016/2017 LP3-LP3;20 (22,99%);9635
LMA224 Matematisk överbryggningskurs 2017/2018 LP3-LP3;23 (26,14%);12207
LMA400 Matematisk analys 2013/2014 LP2-LP2;84 (33,60%);2782
LMA400 Matematisk analys 2014/2015 LP2-LP2;102 (37,23%);4473
LMA400 Matematisk analys 2015/2016 LP2-LP2;70 (26,42%);6668
LMA400 Matematisk analys 2016/2017 LP2-LP2;65 (23,64%);9083
LMA400 Matematisk analys 2017/2018 LP2-LP2;48 (17,52%);11726
LMA521 Tillämpad matematisk statistik 2013/2014 LP3-LP3;21 (20,79%);1849
LMA521 Tillämpad matematisk statistik 2014/2015 LP3-LP3;24 (24,00%);5061
LMA521 Tillämpad matematisk statistik 2015/2016 LP3-LP3;23 (26,74%);7512
LMA521 Tillämpad matematisk statistik 2016/2017 LP3-LP3;23 (27,06%);9989
LMA521 Tillämpad matematisk statistik 2017/2018 LP3-LP3;17 (19,10%);12111
LMS588 Materialval- och tillverkningsmetoder 2013/2014 LP4-LP4;30 (34,09%);3218
LMS588 Materialval- och tillverkningsmetoder 2014/2015 LP4-LP4;32 (38,10%);5834
LMS588 Materialval- och tillverkningsmetoder 2015/2016 LP4-LP4;36 (34,29%);8274
