programme;course_tag;report_id
TISAM;ARK545;8873
TISAM;ARK545;10803
TISAM;ARK670;12385
TISAM;ARK675;11754
TISAM;ATH100;12497
TISAM;BOM195;7220
TISAM;BOM195;9451
TISAM;BOM195;11498
TISAM;BOM200;8304
TISAM;BOM200;10487
TISAM;BOM200;12633
TISAM;BOM205;6557
TISAM;BOM205;8797
TISAM;BOM205;10853
TISAM;BOM210;7734
TISAM;BOM210;9949
TISAM;BOM210;12077
TISAM;BOM220;7222
TISAM;BOM220;9453
TISAM;BOM221;11812
TISAM;BOM225;9455
TISAM;BOM225;11592
TISAM;BOM235;7738
TISAM;BOM235;9953
TISAM;BOM235;12081
TISAM;BOM240;8314
TISAM;BOM240;10499
TISAM;BOM240;12643
TISAM;BOM265;10013
TISAM;BOM265;12013
TISAM;BOM270;10573
TISAM;BOM270;12593
TISAM;BOM275;10607
TISAM;BOM275;12621
TISAM;BOM295;12275
TISAM;BOM305;11752
TISAM;BOM310;12279
TISAM;BOM315;11758
TISAM;BOM320;11764
TISAM;BOM325;11768
TISAM;BOM330;11119
TISAM;BOM340;12277
TISAM;BOM345;11756
TISAM;BOM350;12867
TISAM;BOM355;11107
TISAM;BOM380;12383
TISAM;BOM580;9551
TISAM;BOM580;11576
TISAM;ENM165;10027
TISAM;ENM165;12161
TISAM;MVE450;7228
TISAM;MVE450;9415
TISAM;MVE450;11416
TISAM;MVE475;6555
TISAM;MVE475;8795
TISAM;MVE475;10851
TISAM;MVE480;9947
TISAM;MVE480;12075
TISAM;MVE480;7732
TISAM;MVE495;8879
TISAM;MVE495;10929
TISAM;TME275;8306
TISAM;TME275;10489
TISAM;TME275;12635
TISAM;TME295;8889
TISAM;TME295;10935
TISAM;ACE180;17429
TISAM;ACE180;19286
TISAM;ACE180;21644
TISAM;ACE185;17431
TISAM;ACE185;19248
TISAM;ACE185;21917
TISAM;ARK545;13044
TISAM;ARK545;15306
TISAM;ARK545;17485
TISAM;ARK545;20058
TISAM;ARK545;22328
TISAM;ARK670;14670
TISAM;ARK675;14013
TISAM;ARK675;16141
TISAM;ARK675;18235
TISAM;ARK675;20317
TISAM;ATH100;14666
TISAM;ATH100;16936
TISAM;ATH100;21650
TISAM;BOM195;13697
TISAM;BOM195;15927
TISAM;BOM195;18229
TISAM;BOM195;20311
TISAM;BOM200;14871
TISAM;BOM200;17157
TISAM;BOM200;19626
TISAM;BOM200;22045
TISAM;BOM205;13086
TISAM;BOM205;15442
TISAM;BOM205;17913
TISAM;BOM205;20156
TISAM;BOM205;22632
TISAM;BOM210;14465
TISAM;BOM210;16748
TISAM;BOM210;18917
TISAM;BOM210;21189
TISAM;BOM221;14003
TISAM;BOM221;16313
TISAM;BOM221;18503
TISAM;BOM221;20891
TISAM;BOM225;13735
TISAM;BOM225;15963
TISAM;BOM225;18535
TISAM;BOM225;20343
TISAM;BOM235;14305
TISAM;BOM235;16746
TISAM;BOM235;18915
TISAM;BOM235;21187
TISAM;BOM240;14881
TISAM;BOM240;17073
TISAM;BOM240;19342
TISAM;BOM240;22093
TISAM;BOM265;14255
TISAM;BOM265;16596
TISAM;BOM265;18899
TISAM;BOM265;21153
TISAM;BOM270;14845
TISAM;BOM270;17289
TISAM;BOM270;19462
TISAM;BOM270;21813
TISAM;BOM275;14867
TISAM;BOM280;14531
TISAM;BOM280;16598
TISAM;BOM280;18941
TISAM;BOM280;21171
TISAM;BOM295;14507
TISAM;BOM295;16600
TISAM;BOM295;19119
TISAM;BOM295;21423
TISAM;BOM305;13975
TISAM;BOM305;16291
TISAM;BOM305;18417
TISAM;BOM305;20577
TISAM;BOM310;14517
TISAM;BOM310;16780
TISAM;BOM310;18955
TISAM;BOM315;13867
TISAM;BOM315;15865
TISAM;BOM315;18165
TISAM;BOM315;20867
TISAM;BOM320;13871
TISAM;BOM320;18041
TISAM;BOM320;20701
TISAM;BOM325;13705
TISAM;BOM325;15949
TISAM;BOM325;18525
TISAM;BOM325;20337
TISAM;BOM330;13246
TISAM;BOM330;15294
TISAM;BOM330;17665
TISAM;BOM330;19820
TISAM;BOM330;22622
TISAM;BOM340;14437
TISAM;BOM340;16486
TISAM;BOM340;18805
TISAM;BOM340;21435
TISAM;BOM345;13977
TISAM;BOM345;16293
TISAM;BOM345;18451
TISAM;BOM345;20633
TISAM;BOM350;15087
TISAM;BOM355;13244
TISAM;BOM355;15292
TISAM;BOM355;17565
TISAM;BOM355;20168
TISAM;BOM356;22706
TISAM;BOM380;14672
TISAM;BOM380;16938
TISAM;BOM380;
TISAM;BOM580;13721
TISAM;BOM580;15957
TISAM;BOM580;18369
TISAM;BOM580;20507
TISAM;ENM165;14335
TISAM;ENM165;16538
TISAM;ENM165;18931
TISAM;ENM165;21203
TISAM;MVE450;13927
TISAM;MVE450;16219
TISAM;MVE450;18365
TISAM;MVE450;20503
TISAM;MVE475;13084
TISAM;MVE480;14301
TISAM;MVE480;16678
TISAM;MVE480;19079
TISAM;MVE480;21327
TISAM;MVE495;13110
TISAM;MVE495;15456
TISAM;MVE495;17919
TISAM;MVE495;20112
TISAM;MVE495;22588
TISAM;MVE595;15732
TISAM;MVE595;17513
TISAM;MVE595;20098
TISAM;MVE595;22366
TISAM;TME275;14873
TISAM;TME275;17067
TISAM;TME275;19338
TISAM;TME275;22089
TISAM;TME295;13116
TISAM;TME295;15638
TISAM;TME295;17791
TISAM;TME295;20006
TISAM;TME295;22282
