name;ans_freq;report_id
LET683 Kvalificerad elpraktik 2014/2015 LP3-LP4;17 (36,96%);5463
LET683 Kvalificerad elpraktik 2015/2016 LP3-LP3;9 (20,93%);7526
LET683 Kvalificerad elpraktik 2016/2017 LP3-LP3;9 (28,13%);10003
LET684 Kvalificerad elpraktik 2017/2018 LP3-LP4;12 (48,00%);12925
LEU743 Computerbased control systems 2017/2018 LP2-LP2;15 (31,91%);11716
LEU743 Styr- och reglersystem 2013/2014 LP2-LP2;23 (53,49%);2836
LEU743 Styr- och reglersystem 2014/2015 LP2-LP2;19 (33,93%);4521
LEU743 Styr- och reglersystem 2015/2016 LP2-LP2;15 (31,25%);6642
LEU743 Styr- och reglersystem 2016/2017 LP2-LP2;14 (34,15%);9069
LEU751 Reglerteknik 2013/2014 LP4-LP4;20 (34,48%);3260
LEU751 Reglerteknik 2014/2015 LP4-LP4;15 (25,86%);5674
LEU751 Reglerteknik 2015/2016 LP4-LP4;13 (26,53%);8246
LEU751 Reglerteknik 2016/2017 LP4-LP4;10 (20,83%);10245
LEU751 Reglerteknik 2017/2018 LP4-LP4;14 (38,89%);12827
LNB484 Underhållsteknik 2013/2014 LP1-LP1;19 (36,54%);2218
LNB484 Underhållsteknik 2014/2015 LP1-LP1;20 (38,46%);3919
LNB660 Praktisk verkstads- och motorteknik 2016/2017 LP4-LP4;14 (42,42%);10331
LNB660 Praktisk verkstads- och motorteknik 2017/2018 LP3-LP4;11 (40,74%);12471
LNB660 Verkstads/motorteknik 2014/2015 LP3-LP4;18 (39,13%);5461
LNB660 Verkstads/motorteknik 2015/2016 LP4-LP4;12 (28,57%);8266
LNB726 Avancerad elteknik 2013/2014 LP1-LP1;29 (50,88%);2214
LNB726 Avancerad elteknik 2014/2015 LP1-LP1;20 (40,00%);3915
LNB726 Avancerad elteknik 2015/2016 LP1-LP1;14 (31,82%);6121
LNB726 Avancerad elteknik 2016/2017 LP1-LP1;24 (57,14%);8543
LNB726 Avancerad elteknik 2017/2018 LP1-LP1;10 (28,57%);11079
LNB802 Mekanik och hållfasthetslära 2013/2014 LP3-LP3;24 (42,86%);1767
LNB802 Mekanik och hållfasthetslära 2014/2015 LP3-LP3;19 (35,85%);5257
LNB802 Mekanik och hållfasthetslära 2015/2016 LP3-LP3;17 (34,00%);7700
LNB802 Mekanik och hållfasthetslära 2016/2017 LP3-LP3;15 (28,85%);9925
LNB802 Mekanik och hållfasthetslära 2017/2018 LP3-LP3;22 (38,60%);12005
LSP193 Marinteknisk engelska 2013/2014 LP2-LP2;30 (53,57%);3062
LSP193 Marinteknisk engelska 2014/2015 LP2-LP2;21 (40,38%);4807
LSP193 Marinteknisk engelska 2015/2016 LP2-LP2;24 (45,28%);6964
LSP193 Marinteknisk engelska 2016/2017 LP2-LP2;17 (47,22%);9341
LSP193 Marinteknisk engelska 2017/2018 LP2-LP2;11 (40,74%);11370
MVE335 Matematik 1 2013/2014 LP1-LP1;26 (35,14%);2192
MVE335 Matematik 1 2014/2015 LP1-LP1;23 (27,71%);3897
MVE335 Matematik 1 2015/2016 LP1-LP1;36 (50,70%);6105
MVE335 Matematik 1 2016/2017 LP1-LP1;23 (39,66%);8531
MVE335 Matematik 1 2017/2018 LP1-LP1;14 (20,00%);10841
MVE340 Matematik 2 2013/2014 LP4-LP4;18 (20,22%);3472
MVE340 Matematik 2 2014/2015 LP4-LP4;19 (24,36%);5724
MVE340 Matematik 2 2015/2016 LP4-LP4;24 (32,43%);7908
MVE340 Matematik 2 2016/2017 LP4-LP4;10 (20,41%);10283
MVE340 Matematik 2 2017/2018 LP4-LP4;11 (23,91%);12431
SJO061 Ång- och kylanläggningar 2013/2014 LP2-LP2;29 (41,43%);2494
SJO061 Ång- och kylanläggningar 2014/2015 LP2-LP2;17 (29,82%);4275
SJO062 Ång- och kylanläggningar 2015/2016 LP2-LP2;12 (27,27%);7240
SJO062 Ång- och kylanläggningar 2016/2017 LP2-LP2;17 (44,74%);9447
SJO062 Ång- och kylanläggningar 2017/2018 LP2-LP2;10 (37,04%);11590
SJO112 Grundläggande säkerhet 2013/2014 LP2-LP2;16 (27,59%);2702
SJO114 Grundläggande säkerhet 2014/2015 LP2-LP2;8 (12,70%);4919
SJO114 Grundläggande säkerhet 2015/2016 LP2-LP2;13 (34,21%);7278
SJO114 Grundläggande säkerhet 2016/2017 LP2-LP2;10 (28,57%);9575
SJO114 Grundläggande säkerhet 2017/2018 LP2-LP2;7 (18,42%);11664
SJO127 Sjötransport av kondenserade gaser 2013/2014 LP3-LP3;10 (83,33%);1857
SJO127 Sjötransport av kondenserade gaser 2014/2015 LP3-LP3;9 (50,00%);5357
SJO127 Sjötransport av kondenserade gaser 2015/2016 LP4-LP4;6 (24,00%);7804
SJO127 Sjötransport av kondenserade gaser 2016/2017 LP4-LP4;5 (31,25%);10101
SJO132 Juridisk och ekonomisk översiktskurs 2013/2014 LP1-LP1;23 (57,50%);2414
SJO132 Juridisk och ekonomisk översiktskurs 2014/2015 LP1-LP1;32 (60,38%);4129
SJO132 Juridisk och ekonomisk översiktskurs 2015/2016 LP1-LP1;18 (37,50%);6333
SJO132 Juridisk och ekonomisk översiktskurs 2016/2017 LP1-LP1;23 (48,94%);8727
SJO132 Juridisk och ekonomisk översiktskurs 2017/2018 LP1-LP1;31 (40,79%);10909
SJO168 Combustion engineering 2016/2017 LP1-LP2;17 (42,50%);9187
SJO168 Combustion engineering 2017/2018 LP1-LP2;12 (21,82%);11260
SJO168 Förbränningsmotorteknik 2013/2014 LP1-LP2;21 (53,85%);3028
SJO168 Förbränningsmotorteknik 2014/2015 LP1-LP2;16 (29,63%);4669
SJO168 Förbränningsmotorteknik 2015/2016 LP1-LP2;17 (31,48%);6768
SJO178 Nautisk översiktskurs: Navigation 2013/2014 LP3-LP3;29 (50,88%);1705
SJO178 Nautisk översiktskurs: Navigation 2014/2015 LP3-LP3;32 (47,76%);5187
SJO178 Nautisk översiktskurs: Navigation 2015/2016 LP3-LP3;31 (46,27%);7372
SJO178 Nautisk översiktskurs: Navigation 2016/2017 LP3-LP3;34 (48,57%);9735
SJO178 Nautisk översiktskurs: Navigation 2017/2018 LP3-LP3;19 (34,55%);11875
SJO291 Marine risks and insurance 2013/2014 LP3-LP3;26 (49,06%);1853
SJO292 Marine risks and insurance 2014/2015 LP3-LP3;21 (45,65%);5431
SJO292 Marine risks and insurance 2015/2016 LP3-LP3;14 (51,85%);7308
SJO293 Marine risks and insurance 2016/2017 LP3-LP3;15 (45,45%);9617
SJO294 Marine risks and insurance 2017/2018 LP3-LP3;13 (40,63%);12303
SJO546 Skepps- och lastsäkerhet 2013/2014 LP3-LP3;23 (42,59%);1639
SJO547 Skepps- och lastsäkerhet 2014/2015 LP3-LP3;21 (39,62%);5409
SJO547 Skepps- och lastsäkerhet 2015/2016 LP3-LP3;15 (30,61%);7310
SJO547 Skepps- och lastsäkerhet 2016/2017 LP3-LP3;11 (25,00%);9685
SJO547 Skepps- och lastsäkerhet 2017/2018 LP3-LP3;17 (47,22%);12251
SJO555 Grundläggande fartygsmaskinteknik 2013/2014 LP1-LP1;22 (32,84%);1906
SJO555 Grundläggande fartygsmaskinteknik 2014/2015 LP1-LP1;24 (35,29%);4105
SJO555 Grundläggande fartygsmaskinteknik 2015/2016 LP1-LP1;32 (68,09%);6459
SJO555 Grundläggande fartygsmaskinteknik 2016/2017 LP1-LP1;20 (50,00%);8469
