programme;course_tag;report_id
TKARK;AFO190;12933
TKARK;AFT042;1998
TKARK;AFT043;8413
TKARK;AFT043;10991
TKARK;AFT043;4221
TKARK;AFT043;6383
TKARK;AFT061;3248
TKARK;AFT062;6008
TKARK;AFT062;8188
TKARK;AFT062;10068
TKARK;AFT062;12358
TKARK;AFT077;1421
TKARK;AFT077;5345
TKARK;AFT077;7620
TKARK;AFT077;9755
TKARK;AFT077;11891
TKARK;AFT081;9481
TKARK;AFT081;11514
TKARK;AFT081;2556
TKARK;AFT081;4715
TKARK;AFT081;7212
TKARK;AIP017;1845
TKARK;AIP018;5419
TKARK;AKA082;1491
TKARK;AKA082;5291
TKARK;AKA082;7312
TKARK;AKA082;9687
TKARK;AKA083;12319
TKARK;AMA010;12931
TKARK;ARK025;8078
TKARK;ARK062;2004
TKARK;ARK062;4059
TKARK;ARK063;2558
TKARK;ARK063;4717
TKARK;ARK063;7214
TKARK;ARK063;9483
TKARK;ARK063;11516
TKARK;ARK064;8597
TKARK;ARK064;10971
TKARK;ARK064;6597
TKARK;ARK252;1665
TKARK;ARK252;5161
TKARK;ARK253;7768
TKARK;ARK253;9771
TKARK;ARK253;11899
TKARK;ARK430;10155
TKARK;ARK445;3520
TKARK;ARK446;6010
TKARK;ARK446;8140
TKARK;ARK446;10543
TKARK;ARK446;12683
TKARK;ARK450;3444
TKARK;ARK451;6012
TKARK;ARK451;8154
TKARK;ARK451;10547
TKARK;ARK451;12687
TKARK;ARK455;3250
TKARK;ARK456;6014
TKARK;ARK480;2396
TKARK;ARK481;4913
TKARK;ARK481;7044
TKARK;ARK481;8995
TKARK;ARK481;11650
TKARK;ARK505;7772
TKARK;ARK505;10050
TKARK;ARK505;12334
TKARK;ARK510;8342
TKARK;ARK510;10070
TKARK;ARK511;12360
TKARK;ARK515;6595
TKARK;ARK515;8595
TKARK;ARK515;10677
TKARK;ARK560;10613
TKARK;ARK561;12929
TKARK;ARK570;10041
TKARK;ARK570;12019
TKARK;ASB158;3026
TKARK;ASB159;4217
TKARK;AST133;3624
TKARK;AST134;6024
TKARK;ATH061;2928
TKARK;ATH061;4593
TKARK;ATH061;6764
TKARK;ATH061;9199
TKARK;ATH062;11834
TKARK;ATH100;3284
TKARK;ATH100;5023
TKARK;ATH100;
TKARK;ATH100;7990
TKARK;ATH100;12497
TKARK;AFO190;15206
TKARK;AFT043;13456
TKARK;AFT043;15233
TKARK;AFT043;17457
TKARK;AFT043;20276
TKARK;AFT043;22196
TKARK;AFT062;14947
TKARK;AFT062;16960
TKARK;AFT062;19572
TKARK;AFT062;21779
TKARK;AFT077;14485
TKARK;AFT077;16568
TKARK;AFT077;19103
TKARK;AFT077;21407
TKARK;AFT081;13488
TKARK;AFT081;15785
TKARK;AFT081;18711
TKARK;AFT081;21001
TKARK;AKA083;14631
TKARK;AKA083;16450
TKARK;AKA084;19185
TKARK;AKA084;21279
TKARK;ARK063;14023
TKARK;ARK063;16335
TKARK;ARK063;18487
TKARK;ARK063;20677
TKARK;ARK064;13144
TKARK;ARK064;15378
TKARK;ARK064;17883
TKARK;ARK064;19862
TKARK;ARK064;22318
TKARK;ARK253;14629
TKARK;ARK253;16698
TKARK;ARK253;19091
TKARK;ARK253;21339
TKARK;ARK446;15125
TKARK;ARK447;17439
TKARK;ARK447;19206
TKARK;ARK447;21657
TKARK;ARK451;15129
TKARK;ARK452;17441
TKARK;ARK452;19294
TKARK;ARK452;21977
TKARK;ARK481;13777
TKARK;ARK481;15985
TKARK;ARK481;18581
TKARK;ARK481;20451
TKARK;ARK505;14635
TKARK;ARK505;16588
TKARK;ARK505;19618
TKARK;ARK505;21621
TKARK;ARK512;15195
TKARK;ARK513;17443
TKARK;ARK513;19252
TKARK;ARK513;21627
TKARK;ARK516;13458
TKARK;ARK516;15750
TKARK;ARK516;17601
TKARK;ARK516;20278
TKARK;ARK516;22192
TKARK;ARK561;14765
TKARK;ARK570;14261
TKARK;ARK570;16590
TKARK;ARK570;18751
TKARK;ARK570;21313
TKARK;ASB130;15208
TKARK;ATH062;13893
TKARK;ATH062;16229
TKARK;ATH062;18021
TKARK;ATH062;20685
