name;ans_freq;report_id
AFO190 Berlin: Exkursion 2017/2018 LP4-LP4;20 (34,48%);12933
AFT042 Arkitektur: utbildning, metod, arbetsfält 2013/2014 LP1-LP1;26 (29,55%);1998
AFT043 Arkitektur - en introduktion 2016/2017 LP1-LP1;29 (36,71%);8413
AFT043 Arkitektur - en introduktion 2017/2018 LP1-LP1;42 (47,19%);10991
AFT043 Arkitektur: utbildning, metod, arbetsfält 2014/2015 LP1-LP1;43 (48,86%);4221
AFT043 Arkitektur: utbildning, metod, arbetsfält 2015/2016 LP1-LP1;46 (52,87%);6383
AFT061 Boendets rum 2013/2014 LP4-LP4;20 (25,00%);3248
AFT062 Boendets rum 2014/2015 LP4-LP4;23 (26,74%);6008
AFT062 Boendets rum 2015/2016 LP4-LP4;27 (32,93%);8188
AFT062 Boendets rum 2016/2017 LP4-LP4;16 (20,78%);10068
AFT062 Boendets rum 2017/2018 LP4-LP4;40 (48,19%);12358
AFT077 Form och teknik 2013/2014 LP3-LP3;37 (45,68%);1421
AFT077 Form och teknik 2014/2015 LP3-LP3;43 (50,59%);5345
AFT077 Form och teknik 2015/2016 LP3-LP3;38 (47,50%);7620
AFT077 Form och teknik 2016/2017 LP3-LP3;39 (50,00%);9755
AFT077 Form och teknik 2017/2018 LP3-LP3;67 (80,72%);11891
AFT081 Arkitektur och rumsgestaltning 2016/2017 LP2-LP2;23 (29,11%);9481
AFT081 Arkitektur och rumsgestaltning 2017/2018 LP2-LP2;69 (79,31%);11514
AFT081 Rum och rumskonfigurationer 2013/2014 LP2-LP2;44 (51,16%);2556
AFT081 Rum och rumskonfigurationer 2014/2015 LP2-LP2;36 (41,38%);4715
AFT081 Rum och rumskonfigurationer 2015/2016 LP2-LP2;38 (45,24%);7212
AIP017 Arbetets rum 2013/2014 LP3-LP3;21 (25,61%);1845
AIP018 Arbetets rum 2014/2015 LP3-LP3;35 (44,87%);5419
AKA082 Arkitektur: teori och text 2013/2014 LP3-LP3;19 (30,16%);1491
AKA082 Arkitektur: teori och text 2014/2015 LP3-LP3;30 (37,97%);5291
AKA082 Arkitektur: teori och text 2015/2016 LP3-LP3;26 (33,33%);7312
AKA082 Arkitektur: teori och text 2016/2017 LP3-LP3;20 (25,64%);9687
AKA083 Arkitektur: teori och text 2017/2018 LP3-LP3;38 (48,10%);12319
AMA010 Paris: Exkursion 2017/2018 LP4-LP4;20 (34,48%);12931
ARK025 Arkitektur: Aktuella frågor 2015/2016 LP3-LP4;9 (20,93%);8078
ARK062 Ombyggnad och stadsförnyelse 2013/2014 LP1-LP1;38 (46,34%);2004
ARK062 Ombyggnad och stadsförnyelse 2014/2015 LP1-LP1;51 (62,20%);4059
ARK063 Stadsbostaden 2013/2014 LP2-LP2;30 (37,50%);2558
ARK063 Stadsbostaden 2014/2015 LP2-LP2;47 (56,63%);4717
ARK063 Stadsbostaden 2015/2016 LP2-LP2;32 (37,65%);7214
ARK063 Stadsbostaden 2016/2017 LP1-LP2;36 (42,35%);9483
ARK063 Stadsbostaden 2017/2018 LP2-LP2;51 (73,91%);11516
ARK064 Bevarande och omvandling 2016/2017 LP1-LP1;36 (42,86%);8597
ARK064 Bevarande och omvandling 2017/2018 LP1-LP1;36 (52,94%);10971
ARK064 Ombyggnad och stadsförnyelse 2015/2016 LP1-LP1;40 (48,19%);6597
ARK252 Arkitektur, miljö och hållbar utveckling 2013/2014 LP3-LP3;39 (46,99%);1665
ARK252 Arkitektur, miljö och hållbar utveckling 2014/2015 LP3-LP3;43 (50,59%);5161
ARK253 Arkitektur, miljö och hållbar utveckling 2015/2016 LP3-LP3;36 (45,00%);7768
ARK253 Arkitektur, miljö och hållbar utveckling 2016/2017 LP3-LP3;34 (45,33%);9771
ARK253 Arkitektur, miljö och hållbar utveckling 2017/2018 LP3-LP3;67 (81,71%);11899
ARK430 Datorvisualisering i 3 dimensioner 2016/2017 LP3-LP4;6 (18,18%);10155
ARK445 Att undersöka arkitektur 1 2013/2014 LP4-LP4;19 (23,46%);3520
ARK446 Att undersöka arkitektur 1 2014/2015 LP4-LP4;21 (25,00%);6010
ARK446 Att undersöka arkitektur 1 2015/2016 LP4-LP4;22 (27,16%);8140
ARK446 Att undersöka arkitektur 1 2016/2017 LP4-LP4;9 (12,00%);10543
ARK446 Att undersöka arkitektur 1 2017/2018 LP4-LP4;27 (32,93%);12683
ARK450 Att undersöka arkitektur 2 2013/2014 LP4-LP4;16 (19,75%);3444
ARK451 Att undersöka arkitektur 2 2014/2015 LP4-LP4;21 (26,92%);6012
ARK451 Att undersöka arkitektur 2 2015/2016 LP4-LP4;19 (22,62%);8154
ARK451 Att undersöka arkitektur 2 2016/2017 LP4-LP4;19 (23,17%);10547
ARK451 Att undersöka arkitektur 2 2017/2018 LP4-LP4;14 (21,21%);12687
ARK455 Att undersöka arkitektur 3 2013/2014 LP4-LP4;12 (19,05%);3250
ARK456 Att undersöka arkitektur 3 2014/2015 LP4-LP4;13 (16,67%);6014
ARK480 Byggnaden som system 2013/2014 LP1-LP1;42 (60,00%);2396
ARK481 Byggnaden som system 2014/2015 LP2-LP2;40 (47,62%);4913
ARK481 Byggnaden som system 2015/2016 LP2-LP2;42 (50,60%);7044
ARK481 Byggnaden som system 2016/2017 LP2-LP2;45 (54,88%);8995
