name;ans_freq;report_id
AFO170 Kropp, rum, bilder 2017/2018 LP3-LP4;11 (34,38%);12559
ARK092 Digitala verktyg 2013/2014 LP3-LP3;16 (37,21%);1871
ARK092 Digitala verktyg 2014/2015 LP3-LP3;17 (48,57%);5251
ARK092 Digitala verktyg 2015/2016 LP3-LP3;15 (42,86%);7436
ARK093 Digitala verktyg 2016/2017 LP3-LP3;16 (48,48%);10019
ARK093 Digitala verktyg 2017/2018 LP3-LP3;27 (64,29%);12153
ARK096 Rum och människa 2013/2014 LP1-LP2;23 (53,49%);3068
ARK096 Rum och människa 2014/2015 LP1-LP2;24 (66,67%);4385
ARK096 Rum och människa 2015/2016 LP1-LP2;13 (36,11%);6894
ARK096 Rum och människa 2016/2017 LP1-LP2;18 (51,43%);9293
ARK096 Rum och människa 2017/2018 LP1-LP2;29 (72,50%);11336
ARK101 Rum och geometri 2013/2014 LP3-LP4;16 (36,36%);3594
ARK101 Rum och geometri 2014/2015 LP3-LP4;19 (54,29%);5802
ARK102 Rum och geometri 2015/2016 LP3-LP4;15 (42,86%);8348
ARK103 Rum och geometri 2016/2017 LP3-LP4;14 (43,75%);10577
ARK103 Rum och geometri 2017/2018 LP3-LP4;15 (34,88%);12721
ARK200 Arkitektur och teknikhistoria 2013/2014 LP3-LP4;14 (42,42%);3532
ARK201 Arkitektur och teknikhistoria 2014/2015 LP3-LP4;25 (58,14%);5473
ARK201 Arkitektur och teknikhistoria 2015/2016 LP3-LP4;10 (33,33%);7775
ARK201 Arkitektur och teknikhistoria 2016/2017 LP3-LP4;14 (35,90%);10054
ARK201 Arkitektur och teknikhistoria 2017/2018 LP3-LP4;13 (39,39%);12679
ARK205 Byggnad och klimat 2013/2014 LP3-LP4;16 (51,61%);3330
ARK205 Byggnad och klimat 2014/2015 LP3-LP4;15 (34,88%);5632
ARK206 Byggnad och klimat 2015/2016 LP3-LP4;9 (31,03%);8350
ARK206 Byggnad och klimat 2016/2017 LP3-LP4;10 (31,25%);10303
ARK207 Byggnad och klimat 2017/2018 LP3-LP4;14 (41,18%);12915
ARK211 Modellering, visualisering och kommunikation 2013/2014 LP1-LP1;9 (25,71%);2128
ARK211 Modellering, visualisering och kommunikation 2014/2015 LP1-LP1;15 (34,09%);3815
ARK211 Modellering, visualisering och kommunikation 2015/2016 LP1-LP1;14 (41,18%);6317
ARK211 Modellering, visualisering och kommunikation 2016/2017 LP1-LP1;8 (23,53%);8715
ARK215 Byggnad och struktur 2013/2014 LP1-LP2;19 (57,58%);2442
ARK215 Byggnad och struktur 2014/2015 LP1-LP2;24 (54,55%);4252
ARK216 Byggnad och struktur 2015/2016 LP1-LP2;13 (40,63%);6611
ARK216 Byggnad och struktur 2016/2017 LP1-LP2;13 (39,39%);8934
ARK217 Byggnad och struktur 2017/2018 LP1-LP2;17 (51,52%);11818
ARK225 Material- och rumslaborationer 2013/2014 LP1-LP2;17 (51,52%);2640
ARK225 Material- och rumslaborationer 2014/2015 LP1-LP2;18 (40,91%);4347
ARK225 Material- och rumslaborationer 2015/2016 LP1-LP2;10 (30,30%);6918
ARK225 Material- och rumslaborationer 2016/2017 LP1-LP2;8 (23,53%);9311
ARK226 Material- och rumslaborationer 2017/2018 LP3-LP3;22 (64,71%);12317
ARK296 Arkitektur och optimerade strukturer 2013/2014 LP2-LP2;15 (53,57%);3072
ARK296 Arkitektur och optimerade strukturer 2014/2015 LP2-LP2;17 (60,71%);4801
ARK296 Arkitektur och optimerade strukturer 2015/2016 LP2-LP2;21 (48,84%);6958
ARK296 Arkitektur och optimerade strukturer 2016/2017 LP2-LP2;12 (50,00%);9167
ARK296 Arkitektur och optimerade strukturer 2017/2018 LP2-LP2;17 (47,22%);11244
ARK325 Samhällsplanering 2013/2014 LP4-LP4;11 (39,29%);3434
ARK325 Samhällsplanering 2014/2015 LP4-LP4;16 (53,33%);5469
ARK325 Samhällsplanering 2015/2016 LP4-LP4;14 (34,15%);7882
ARK325 Samhällsplanering 2016/2017 LP4-LP4;7 (28,00%);10052
ARK325 Samhällsplanering 2017/2018 LP4-LP4;8 (22,86%);12835
ARK490 Konstlaborationer 2013/2014 LP3-LP3;16 (37,21%);1869
ARK490 Konstlaborationer 2014/2015 LP3-LP3;19 (54,29%);5351
ARK490 Konstlaborationer 2015/2016 LP3-LP3;13 (36,11%);7626
ARK491 Konstlaborationer 2016/2017 LP3-LP4;6 (18,18%);10064
ARK491 Konstlaborationer 2017/2018 LP3-LP4;6 (14,29%);12363
ARK561 Arkitektur och genus 2017/2018 LP3-LP4;9 (36,00%);12929
ARK695 Digitala verktyg - parametrisk design 2017/2018 LP2-LP2;20 (60,61%);11792
ATH061 Arkitekturhistoria 2013/2014 LP1-LP2;66 (49,25%);2928
ATH061 Arkitekturhistoria 2014/2015 LP1-LP2;68 (55,28%);4593
ATH061 Arkitekturhistoria 2015/2016 LP1-LP2;66 (55,93%);6764
ATH061 Arkitekturhistoria 2016/2017 LP1-LP2;49 (42,24%);9199
ATH062 Arkitekturhistoria 2017/2018 LP1-LP2;99 (76,74%);11834
BMT015 Bärande konstruktioner 2014/2015 LP2-LP2;53 (38,41%);4749
BMT015 Bärande konstruktioner 2015/2016 LP2-LP2;55 (32,16%);7072
BMT015 Bärande konstruktioner 2016/2017 LP2-LP2;46 (32,17%);9513
BMT015 Bärande konstruktioner 2017/2018 LP2-LP2;19 (41,30%);11536
BOM160 Bärande konstruktioner 2013/2014 LP1-LP1;44 (35,48%);2002
BOM195 Byggnadsmaterial 2016/2017 LP2-LP2;110 (38,60%);9451
BOM195 Byggnadsmaterial 2017/2018 LP2-LP2;141 (48,29%);11498
BOM335 Bärande konstruktioner 2017/2018 LP1-LP2;17 (53,13%);11832
ENM086 Klimatsystem 2013/2014 LP3-LP4;9 (31,03%);3160
ENM086 Klimatsystem 2014/2015 LP3-LP4;11 (39,29%);5892
ENM086 Klimatsystem 2015/2016 LP3-LP4;13 (30,95%);8208
ENM086 Klimatsystem 2016/2017 LP3-LP4;10 (40,00%);10217
ENM086 Klimatsystem 2017/2018 LP3-LP4;10 (29,41%);12803
MME180 Mekanik 2013/2014 LP4-LP4;72 (33,18%);3294
MME180 Mekanik 2014/2015 LP4-LP4;56 (29,79%);5656
MME180 Mekanik 2015/2016 LP4-LP4;20 (25,00%);8234
MVE115 Matematisk analys i flera variabler 2013/2014 LP3-LP3;16 (33,33%);1469
MVE115 Matematisk analys i flera variabler 2014/2015 LP3-LP3;24 (39,34%);5273
MVE115 Matematisk analys i flera variabler 2015/2016 LP3-LP3;19 (35,85%);7716
MVE275 Linjär algebra 2013/2014 LP1-LP1;13 (43,33%);2130
MVE275 Linjär algebra 2014/2015 LP1-LP1;18 (62,07%);3817
MVE275 Linjär algebra 2015/2016 LP1-LP1;21 (47,73%);6319
MVE275 Linjär algebra 2016/2017 LP1-LP1;14 (58,33%);8717
MVE275 Linjär algebra 2017/2018 LP1-LP1;15 (40,54%);10969
MVE400 Matematiskt skissande 2013/2014 LP3-LP4;19 (44,19%);3670
MVE400 Matematiskt skissande 2014/2015 LP3-LP4;15 (42,86%);5471
MVE400 Matematiskt skissande 2015/2016 LP3-LP4;11 (31,43%);7777
MVE450 Beräkningsmatematik 2016/2017 LP2-LP2;100 (41,32%);9415
MVE450 Beräkningsmatematik 2017/2018 LP2-LP2;115 (46,94%);11416
MVE475 Inledande matematisk analys 2016/2017 LP1-LP1;111 (42,21%);8795
MVE475 Inledande matematisk analys 2017/2018 LP1-LP1;96 (29,00%);10851
MVE480 Linjär algebra 2016/2017 LP3-LP3;94 (40,00%);9947
