programme;course_tag;report_id
TKAUT;DAT037;4925
TKAUT;DAT037;7020
TKAUT;DAT037;8977
TKAUT;DAT037;11634
TKAUT;EDA092;4701
TKAUT;EDA092;7200
TKAUT;EDA092;9389
TKAUT;EDA217;1711
TKAUT;EDA217;5191
TKAUT;EDA217;7376
TKAUT;EDA217;9737
TKAUT;EDA217;11877
TKAUT;EDA322;5349
TKAUT;EDA322;7624
TKAUT;EDA322;9759
TKAUT;EDA322;11895
TKAUT;EDA343;5588
TKAUT;EDA343;8024
TKAUT;EDA343;10391
TKAUT;EDA343;12515
TKAUT;EDA486;3476
TKAUT;EDA486;5728
TKAUT;EDA486;7878
TKAUT;EDA487;10597
TKAUT;EDA487;12733
TKAUT;ENM025;4607
TKAUT;ENM025;6782
TKAUT;ENM025;9213
TKAUT;ENM025;11278
TKAUT;ETI146;5610
TKAUT;ETI146;8046
TKAUT;ETI146;10531
TKAUT;ETI146;12667
TKAUT;KAA060;4425
TKAUT;KAA060;7146
TKAUT;KAA060;9353
TKAUT;KAA060;11376
TKAUT;MHA021;2898
TKAUT;MHA021;4947
TKAUT;MHA021;7060
TKAUT;MHA021;9007
TKAUT;MHA021;11658
TKAUT;MMF092;2664
TKAUT;MMF092;4539
TKAUT;MMF092;6720
TKAUT;MMF092;9101
TKAUT;MMF092;11192
TKAUT;MMK073;2390
TKAUT;MMK073;4123
TKAUT;MMK073;6471
TKAUT;MMK073;8479
TKAUT;MMK073;11035
TKAUT;MPP085;2776
TKAUT;MPP085;4467
TKAUT;MTF042;5281
TKAUT;MTF042;7724
TKAUT;MTF042;9977
TKAUT;MTF042;12101
TKAUT;MTF114;5065
TKAUT;MTF114;7638
TKAUT;MTF114;9673
TKAUT;MTF115;12291
TKAUT;MTT110;1827
TKAUT;MTT110;5243
TKAUT;MTT110;7430
TKAUT;MTT110;9813
TKAUT;MTT110;11925
TKAUT;MVE041;3348
TKAUT;MVE041;5644
TKAUT;MVE041;8080
TKAUT;MVE041;10425
TKAUT;MVE041;12711
TKAUT;MVE090;2290
TKAUT;MVE090;3622
TKAUT;MVE090;5956
TKAUT;MVE090;10157
TKAUT;MVE090;12769
TKAUT;MVE170;4631
TKAUT;MVE170;6804
TKAUT;MVE170;9231
TKAUT;MVE170;11294
TKAUT;MVE290;4989
TKAUT;MVE290;7460
TKAUT;MVE290;9827
TKAUT;MVE290;11937
TKAUT;PPU060;1463
TKAUT;PPU061;5445
TKAUT;PPU061;9623
TKAUT;PPU061;12199
TKAUT;PPU205;3014
TKAUT;PPU205;4823
TKAUT;PPU206;7260
TKAUT;PPU206;9439
TKAUT;PPU206;11490
TKAUT;PPU210;4665
TKAUT;PPU210;6834
TKAUT;PPU210;9477
TKAUT;PPU210;11510
TKAUT;PPU235;8352
TKAUT;PPU235;10305
TKAUT;PPU235;12453
TKAUT;RRY135;3020
TKAUT;RRY135;4789
TKAUT;RRY135;7110
TKAUT;RRY135;9035
TKAUT;RRY135;11684
TKAUT;RRY140;3024
TKAUT;RRY140;4791
TKAUT;RRY140;7112
TKAUT;RRY140;9037
TKAUT;RRY140;11686
TKAUT;SSY042;1835
TKAUT;SSY042;5245
TKAUT;SSY042;7432
TKAUT;SSY042;9757
TKAUT;SSY042;11893
TKAUT;SSY046;1980
TKAUT;SSY047;3620
TKAUT;SSY047;5916
TKAUT;SSY047;8226
TKAUT;SSY047;10233
TKAUT;SSY048;12885
TKAUT;SSY051;3759
TKAUT;SSY051;6269
TKAUT;SSY051;8821
TKAUT;SSY051;10869
TKAUT;SSY066;2832
TKAUT;SSY066;4517
TKAUT;SSY066;6638
TKAUT;SSY066;9067
TKAUT;SSY066;11714
TKAUT;SSY305;11965
TKAUT;SSY330;7254
TKAUT;SSY330;9433
TKAUT;SSY330;11484
TKAUT;TDA540;9169
TKAUT;TDA540;2748
TKAUT;TDA540;4449
TKAUT;TDA540;6644
TKAUT;TDA540;11246
TKAUT;TEK071;2852
TKAUT;TEK075;3564
TKAUT;TEK075;5780
TKAUT;TEK075;7402
TKAUT;TEK075;9785
TKAUT;TEK075;11907
TKAUT;TEK125;5343
TKAUT;TEK125;7618
TKAUT;TEK125;9663
TKAUT;TEK125;12231
TKAUT;TEK225;4699
TKAUT;TEK225;4977
TKAUT;TEK225;6036
TKAUT;TEK225;7280
TKAUT;TEK225;7446
TKAUT;TEK225;8354
TKAUT;TEK225;9387
