name;ans_freq;report_id
DAT037 Data structures 2014/2015 LP2-LP2;72 (47,37%);4925
DAT037 Datastrukturer 2015/2016 LP2-LP2;54 (34,18%);7020
DAT037 Datastrukturer 2016/2017 LP2-LP2;60 (38,22%);8977
DAT037 Datastrukturer 2017/2018 LP2-LP2;58 (29,90%);11634
EDA092 Operating systems 2014/2015 LP2-LP2;40 (40,40%);4701
EDA092 Operating systems 2015/2016 LP2-LP2;33 (30,56%);7200
EDA092 Operating systems 2016/2017 LP2-LP2;38 (33,04%);9389
EDA217 Grundläggande datorteknik 2013/2014 LP3-LP3;36 (34,29%);1711
EDA217 Grundläggande datorteknik 2014/2015 LP3-LP3;29 (37,66%);5191
EDA217 Grundläggande datorteknik 2015/2016 LP3-LP3;33 (37,50%);7376
EDA217 Grundläggande datorteknik 2016/2017 LP3-LP3;49 (53,26%);9737
EDA217 Grundläggande datorteknik 2017/2018 LP3-LP3;34 (37,78%);11877
EDA322 Digital design 2014/2015 LP3-LP3;67 (37,85%);5349
EDA322 Digital design 2015/2016 LP3-LP3;48 (32,88%);7624
EDA322 Digital design 2016/2017 LP3-LP3;43 (30,50%);9759
EDA322 Digital design 2017/2018 LP3-LP3;50 (32,68%);11895
EDA343 Datakommunikation 2014/2015 LP4-LP4;86 (35,98%);5588
EDA343 Datakommunikation 2015/2016 LP4-LP4;47 (26,70%);8024
EDA343 Datakommunikation 2016/2017 LP4-LP4;41 (25,63%);10391
EDA343 Datakommunikation 2017/2018 LP4-LP4;46 (26,44%);12515
EDA486 Programmering av inbyggda system 2013/2014 LP4-LP4;42 (40,38%);3476
EDA486 Programmering av inbyggda system 2014/2015 LP4-LP4;22 (27,85%);5728
EDA486 Programmering av inbyggda system 2015/2016 LP4-LP4;53 (49,53%);7878
EDA487 Maskinorienterad programmering 2016/2017 LP4-LP4;34 (37,78%);10597
EDA487 Maskinorienterad programmering 2017/2018 LP4-LP4;28 (28,87%);12733
ENM025 Energiomvandling 2014/2015 LP2-LP2;10 (55,56%);4607
ENM025 Energiomvandling 2015/2016 LP2-LP2;14 (46,67%);6782
ENM025 Energiomvandling 2016/2017 LP2-LP2;7 (63,64%);9213
ENM025 Energiomvandling 2017/2018 LP2-LP2;15 (55,56%);11278
ETI146 Elektronik 2014/2015 LP3-LP4;48 (39,67%);5610
ETI146 Elektronik 2015/2016 LP3-LP4;44 (44,90%);8046
ETI146 Elektronik 2016/2017 LP3-LP4;30 (32,26%);10531
ETI146 Elektronik 2017/2018 LP3-LP4;11 (12,94%);12667
KAA060 Transportprocesser 2014/2015 LP2-LP2;105 (44,12%);4425
KAA060 Transportprocesser 2015/2016 LP2-LP2;74 (36,63%);7146
KAA060 Transportprocesser 2016/2017 LP2-LP2;56 (27,86%);9353
KAA060 Transportprocesser 2017/2018 LP2-LP2;67 (33,17%);11376
MHA021 Finit elementmetod (FEM) 2013/2014 LP2-LP2;39 (50,65%);2898
MHA021 Finit elementmetod (FEM) 2014/2015 LP2-LP2;55 (52,88%);4947
MHA021 Finit elementmetod (FEM) 2015/2016 LP2-LP2;30 (37,50%);7060
MHA021 Finit elementmetod (FEM) 2016/2017 LP2-LP2;38 (41,76%);9007
MHA021 Finit elementmetod (FEM) 2017/2018 LP2-LP2;32 (38,55%);11658
MMF092 Maskinkonstruktion 2013/2014 LP2-LP2;31 (58,49%);2664
MMF092 Maskinkonstruktion 2014/2015 LP2-LP2;26 (36,62%);4539
MMF092 Maskinkonstruktion 2015/2016 LP2-LP2;22 (26,51%);6720
MMF092 Maskinkonstruktion 2016/2017 LP2-LP2;21 (27,63%);9101
MMF092 Maskinkonstruktion 2017/2018 LP2-LP2;21 (31,82%);11192
MMK073 Materials and manufacturing technology 2013/2014 LP1-LP1;25 (24,51%);2390
MMK073 Materials and manufacturing technology 2014/2015 LP1-LP1;44 (43,14%);4123
MMK073 Materials engineering 2015/2016 LP1-LP1;34 (50,00%);6471
MMK073 Materials engineering 2016/2017 LP1-LP1;22 (25,58%);8479
MMK073 Materials engineering 2017/2018 LP1-LP1;34 (45,95%);11035
MPP085 Introduktion till automation och mekatronik 2013/2014 LP1-LP2;54 (50,47%);2776
MPP085 Introduktion till automation och mekatronik 2014/2015 LP1-LP2;36 (46,15%);4467
MTF042 Termodynamik med energiteknik 2014/2015 LP3-LP3;65 (33,33%);5281
MTF042 Termodynamik med energiteknik 2015/2016 LP3-LP3;82 (44,32%);7724
MTF042 Termodynamik med energiteknik 2016/2017 LP3-LP3;69 (35,38%);9977
MTF042 Termodynamik med energiteknik 2017/2018 LP3-LP3;47 (26,86%);12101
MTF114 Värmeöverföring 2014/2015 LP3-LP3;16 (59,26%);5065
MTF114 Värmeöverföring 2015/2016 LP3-LP3;15 (65,22%);7638
MTF114 Värmeöverföring 2016/2017 LP3-LP3;7 (53,85%);9673
MTF115 Värmeöverföring 2017/2018 LP3-LP3;10 (50,00%);12291
MTT110 Tillverkningsprocesser 2013/2014 LP3-LP3;35 (36,84%);1827
MTT110 Tillverkningsprocesser 2014/2015 LP3-LP3;44 (42,31%);5243
MTT110 Tillverkningsprocesser 2015/2016 LP3-LP3;21 (29,58%);7430
MTT110 Tillverkningsprocesser 2016/2017 LP3-LP3;36 (44,44%);9813
MTT110 Tillverkningsprocesser 2017/2018 LP3-LP3;23 (31,51%);11925
MVE041 Flervariabelmatematik 2013/2014 LP4-LP4;50 (38,76%);3348
MVE041 Flervariabelmatematik 2014/2015 LP4-LP4;22 (24,18%);5644
MVE041 Flervariabelmatematik 2015/2016 LP4-LP4;37 (35,24%);8080
MVE041 Flervariabelmatematik 2016/2017 LP4-LP4;36 (29,75%);10425
MVE041 Flervariabelmatematik 2017/2018 LP4-LP4;24 (21,05%);12711
MVE090 Matematisk statistik 2013/2014 LP1-LP1;28 (33,73%);2290
MVE090 Matematisk statistik 2013/2014 LP4-LP4;37 (35,58%);3622
MVE090 Matematisk statistik 2014/2015 LP4-LP4;41 (35,96%);5956
MVE090 Matematisk statistik 2016/2017 LP4-LP4;16 (19,28%);10157
MVE090 Matematisk statistik 2017/2018 LP4-LP4;20 (23,53%);12769
MVE170 Basic stochastic processes 2014/2015 LP2-LP2;45 (34,62%);4631
MVE170 Basic stochastic processes 2015/2016 LP2-LP2;34 (26,77%);6804
MVE170 Basic stochastic processes 2016/2017 LP2-LP2;30 (22,39%);9231
MVE170 Basic stochastic processes 2017/2018 LP2-LP2;23 (24,47%);11294
MVE290 Fouriermetoder 2014/2015 LP3-LP3;26 (43,33%);4989
MVE290 Fouriermetoder 2015/2016 LP3-LP3;28 (33,73%);7460
MVE290 Fouriermetoder 2016/2017 LP3-LP3;18 (37,50%);9827
MVE290 Fouriermetoder 2017/2018 LP3-LP3;27 (55,10%);11937
PPU060 Människa maskinsystem 2013/2014 LP3-LP3;28 (37,33%);1463
PPU061 Människa maskinsystem 2014/2015 LP3-LP3;15 (50,00%);5445
PPU061 Människa maskinsystem 2016/2017 LP3-LP3;20 (57,14%);9623
PPU061 Människa maskinsystem 2017/2018 LP3-LP3;6 (23,08%);12199
PPU205 Hållbara produkter och produktionssystem 2013/2014 LP1-LP2;48 (48,48%);3014
PPU205 Hållbara produkter och produktionssystem 2014/2015 LP1-LP2;43 (41,75%);4823
PPU206 Hållbara produkter och produktionssystem 2015/2016 LP1-LP2;20 (30,30%);7260
PPU206 Hållbara produkter och produktionssystem 2016/2017 LP1-LP2;32 (40,51%);9439
PPU206 Hållbara produkter och produktionssystem 2017/2018 LP1-LP2;32 (43,24%);11490
PPU210 Maskinelement 2014/2015 LP2-LP2;68 (41,98%);4665
PPU210 Maskinelement 2015/2016 LP2-LP2;60 (37,27%);6834
PPU210 Maskinelement 2016/2017 LP2-LP2;53 (30,11%);9477
PPU210 Maskinelement 2017/2018 LP2-LP2;40 (26,14%);11510
PPU235 Automatisering av produktionssystem 2015/2016 LP4-LP4;24 (32,43%);8352
PPU235 Automatisering av produktionssystem 2016/2017 LP4-LP4;33 (42,86%);10305
PPU235 Automatisering av produktionssystem 2017/2018 LP4-LP4;38 (54,29%);12453
RRY135 Elektriska kretsar och elenergi 2013/2014 LP2-LP2;45 (46,88%);3020
RRY135 Elektriska kretsar och elenergi 2014/2015 LP2-LP2;43 (40,19%);4789
RRY135 Elektriska kretsar och elenergi 2015/2016 LP2-LP2;20 (24,39%);7110
