programme;course_tag;report_id
TKBIO;EEM065;3414
TKBIO;EEM065;5690
TKBIO;EEM066;8332
TKBIO;EEM066;10479
TKBIO;EEM066;12625
TKBIO;FTF195;5586
TKBIO;FTF195;8018
TKBIO;FTF195;10515
TKBIO;FTF195;12605
TKBIO;FTF195;3266
TKBIO;IEK415;9633
TKBIO;IEK415;12205
TKBIO;KAA051;3336
TKBIO;KAA051;5638
TKBIO;KAA052;8324
TKBIO;KAA052;10471
TKBIO;KAA052;12577
TKBIO;KAA060;2724
TKBIO;KAA060;4425
TKBIO;KAA060;7146
TKBIO;KAA060;9353
TKBIO;KAA060;11376
TKBIO;KAA150;3268
TKBIO;KAA150;8020
TKBIO;KBT120;2278
TKBIO;KBT120;4153
TKBIO;KBT120;6357
TKBIO;KBT120;8391
TKBIO;KBT120;10973
TKBIO;KBT250;5421
TKBIO;KBT250;7566
TKBIO;KBT250;9629
TKBIO;KBT250;12203
TKBIO;KFK162;1892
TKBIO;KFK162;4091
TKBIO;KFK163;6575
TKBIO;KFK163;8779
TKBIO;KFK163;10793
TKBIO;KFK176;1517
TKBIO;KFK176;5009
TKBIO;KFK176;7478
TKBIO;KFK176;9843
TKBIO;KFK176;11947
TKBIO;KKM080;3448
TKBIO;KKM080;5704
TKBIO;KKM081;8336
TKBIO;KKM081;10481
TKBIO;KKM081;12627
TKBIO;KKR090;2786
TKBIO;KKR090;4475
TKBIO;KKR091;7258
TKBIO;KKR091;9437
TKBIO;KKR091;11488
TKBIO;KLI060;2476
TKBIO;KLI060;4785
TKBIO;KLI060;7106
TKBIO;KLI060;9033
TKBIO;KLI060;11682
TKBIO;KMB041;3606
TKBIO;KMB041;5812
TKBIO;KMB041;7982
TKBIO;KMB041;10507
TKBIO;KMB041;12651
TKBIO;KMB056;2538
TKBIO;KMB056;4389
TKBIO;KMB056;6952
TKBIO;KMB056;9495
TKBIO;KMB056;11524
TKBIO;KMG042;3614
TKBIO;KMG042;5646
TKBIO;KMG042;7508
TKBIO;KMG042;9987
TKBIO;KMG042;12109
TKBIO;KMG050;1607
TKBIO;KMG050;5105
TKBIO;KMG050;7678
TKBIO;KMG050;9881
TKBIO;KMG050;12183
TKBIO;KOK081;1661
TKBIO;KOK081;5157
TKBIO;KOK081;7894
TKBIO;KOK081;10261
TKBIO;KOK081;12843
TKBIO;KOO041;1805
TKBIO;LMT967;1537
TKBIO;LMT967;5027
TKBIO;LMT967;7484
TKBIO;MVE370;3518
TKBIO;MVE370;5486
TKBIO;MVE370;8126
TKBIO;MVE370;10153
TKBIO;MVE370;12767
TKBIO;MVE460;6585
TKBIO;MVE460;8789
TKBIO;MVE460;10847
TKBIO;MVE465;7252
TKBIO;MVE465;9457
TKBIO;MVE465;11500
TKBIO;MVE470;7750
TKBIO;MVE470;9937
TKBIO;MVE470;12067
TKBIO;TEK075;9785
TKBIO;TEK075;11907
TKBIO;TMA682;2106
TKBIO;TMA682;3963
TKBIO;TMA683;7264
TKBIO;TMA683;9443
TKBIO;TMA683;11452
TKBIO;TMA982;1499
TKBIO;TMA982;5297
TKBIO;TMA982;7316
TKBIO;TMA982;9691
TKBIO;TMA982;12253
TKBIO;TMS145;2718
TKBIO;TMS145;4419
TKBIO;TMS146;6587
TKBIO;TMS146;8801
TKBIO;TMS146;10855
TKBIO;TMV036;1781
TKBIO;TMV036;5209
TKBIO;UCM010;3230
TKBIO;UCM010;5846
TKBIO;UCM010;10465
TKBIO;UCM010;12573
TKBIO;EEM066;14869
TKBIO;EEM066;17175
TKBIO;EEM066;19368
TKBIO;EEM066;21693
TKBIO;FTF195;14825
TKBIO;FTF195;17039
TKBIO;FTF195;19408
TKBIO;IEK415;14377
TKBIO;IEK415;16638
TKBIO;IEK415;19135
TKBIO;IEK415;21371
TKBIO;KAA052;14833
TKBIO;KAA052;17193
TKBIO;KAA052;19644
TKBIO;KAA052;21991
TKBIO;KAA060;13589
TKBIO;KAA060;15817
TKBIO;KAA060;18645
TKBIO;KAA061;20971
TKBIO;KBT120;13146
TKBIO;KBT120;15380
TKBIO;KBT120;17787
TKBIO;KBT120;20002
TKBIO;KBT121;22684
TKBIO;KBT250;14375
TKBIO;KBT250;16762
TKBIO;KBT250;18891
TKBIO;KBT250;21147
TKBIO;KFK163;13038
TKBIO;KFK163;15304
TKBIO;KFK163;17831
TKBIO;KFK163;19786
TKBIO;KFK163;22564
TKBIO;KFK176;14209
TKBIO;KFK176;16458
TKBIO;KFK176;18745
TKBIO;KFK176;21307
TKBIO;KKM081;15031
TKBIO;KKM081;17341
TKBIO;KKM081;19544
TKBIO;KKM081;21707
TKBIO;KKR091;13687
TKBIO;KKR091;15923
TKBIO;KKR091;18193
TKBIO;KKR091;20909
TKBIO;KLI060;13917
TKBIO;KLI060;16251
TKBIO;KLI060;18011
TKBIO;KLI060;20294
TKBIO;KMB041;14855
TKBIO;KMB041;17057
TKBIO;KMB041;19246
TKBIO;KMB041;21915
TKBIO;KMB056;18317
TKBIO;KMB056;20463
TKBIO;KMB056;14031
TKBIO;KMB056;16337
TKBIO;KMG042;14547
TKBIO;KMG042;16836
TKBIO;KMG042;18995
TKBIO;KMG042;21271
TKBIO;KMG050;14353
TKBIO;KMG050;16550
TKBIO;KMG050;18855
TKBIO;KMG050;21097
TKBIO;KOK081;14985
TKBIO;KOK081;17199
TKBIO;KOK081;19648
TKBIO;KOK081;21995
TKBIO;MMS225;21678
TKBIO;MVE370;14931
TKBIO;MVE370;17225
TKBIO;MVE370;19578
TKBIO;MVE370;21945
TKBIO;MVE460;13078
TKBIO;MVE460;15492
TKBIO;MVE460;17673
TKBIO;MVE460;19872
TKBIO;MVE460;22408
TKBIO;MVE465;13925
TKBIO;MVE465;16217
TKBIO;MVE465;18407
TKBIO;MVE465;20567
TKBIO;MVE470;14293
TKBIO;MVE470;16520
TKBIO;MVE470;18723
TKBIO;MVE470;21287
TKBIO;TEK075;14477
TKBIO;TEK710;16946
TKBIO;TEK710;19306
TKBIO;TIF370;22171
TKBIO;TMA683;13649
TKBIO;TMA683;16275
TKBIO;TMA683;18271
TKBIO;TMA683;20395
TKBIO;TMA982;14411
TKBIO;TMA982;16720
TKBIO;TMA982;18905
TKBIO;TMA982;21177
TKBIO;TMS146;13300
TKBIO;TMS146;15640
TKBIO;TMS146;17793
TKBIO;TMS146;20008
TKBIO;TMS146;22284
TKBIO;UCM010;14829
TKBIO;UCM010;17043
TKBIO;UCM010;19328
TKBIO;UCM010;22057
