name;ans_freq;report_id
EEM065 Medicinska signaler och system med elektricitetslära 2013/2014 LP4-LP4;34 (49,28%);3414
EEM065 Medicinska signaler och system med elektricitetslära 2014/2015 LP4-LP4;28 (43,75%);5690
EEM066 Medicinska signaler och system med elektricitetslära 2015/2016 LP4-LP4;32 (52,46%);8332
EEM066 Medicinska signaler och system med elektricitetslära 2016/2017 LP4-LP4;21 (42,86%);10479
EEM066 Medicinska signaler och system med elektricitetslära 2017/2018 LP4-LP4;28 (49,12%);12625
FTF195 Mekanik 2014/2015 LP4-LP4;35 (46,67%);5586
FTF195 Mekanik 2015/2016 LP4-LP4;21 (31,82%);8018
FTF195 Mekanik 2016/2017 LP4-LP4;32 (42,11%);10515
FTF195 Mekanik 2017/2018 LP4-LP4;38 (51,35%);12605
FTF195 Mekanik med biologiska exempel 2013/2014 LP4-LP4;32 (47,06%);3266
IEK415 Industriell ekonomi 2016/2017 LP3-LP3;26 (36,62%);9633
IEK415 Industriell ekonomi 2017/2018 LP3-LP3;22 (34,92%);12205
KAA051 Matematisk modellering 2013/2014 LP4-LP4;24 (52,17%);3336
KAA051 Matematisk modellering 2014/2015 LP4-LP4;28 (52,83%);5638
KAA052 Matematisk modellering i kemitekniken 2015/2016 LP4-LP4;20 (34,48%);8324
KAA052 Matematisk modellering i kemitekniken 2016/2017 LP4-LP4;15 (38,46%);10471
KAA052 Matematisk modellering i kemitekniken 2017/2018 LP4-LP4;16 (44,44%);12577
KAA060 Transportprocesser 2013/2014 LP2-LP2;86 (41,35%);2724
KAA060 Transportprocesser 2014/2015 LP2-LP2;105 (44,12%);4425
KAA060 Transportprocesser 2015/2016 LP2-LP2;74 (36,63%);7146
KAA060 Transportprocesser 2016/2017 LP2-LP2;56 (27,86%);9353
KAA060 Transportprocesser 2017/2018 LP2-LP2;67 (33,17%);11376
KAA150 Bioseparationsteknik 2013/2014 LP4-LP4;8 (47,06%);3268
KAA150 Separationsteknik 2015/2016 LP4-LP4;6 (54,55%);8020
KBT120 Design and analysis of experiments 2013/2014 LP1-LP1;35 (44,87%);2278
KBT120 Design and analysis of experiments 2014/2015 LP1-LP1;48 (52,17%);4153
KBT120 Design and analysis of experiments 2015/2016 LP1-LP1;53 (57,61%);6357
KBT120 Design and analysis of experiments 2016/2017 LP1-LP1;45 (45,92%);8391
KBT120 Design and analysis of experiments 2017/2018 LP1-LP1;26 (34,21%);10973
KBT250 Kemi med biokemi 2014/2015 LP1-LP3;41 (58,57%);5421
KBT250 Kemi med biokemi 2015/2016 LP1-LP3;23 (35,94%);7566
KBT250 Kemi med biokemi 2016/2017 LP1-LP3;37 (49,33%);9629
KBT250 Kemi med biokemi 2017/2018 LP1-LP3;44 (56,41%);12203
KFK162 Fysikalisk kemi 2013/2014 LP1-LP1;23 (33,33%);1892
KFK162 Fysikalisk kemi 2014/2015 LP1-LP1;31 (50,82%);4091
KFK163 Fysikalisk kemi 2015/2016 LP1-LP1;42 (71,19%);6575
KFK163 Fysikalisk kemi 2016/2017 LP1-LP1;22 (39,29%);8779
KFK163 Fysikalisk kemi 2017/2018 LP1-LP1;37 (52,86%);10793
KFK176 Kolloid- och ytkemi 2013/2014 LP3-LP3;34 (46,58%);1517
KFK176 Kolloid- och ytkemi 2014/2015 LP3-LP3;39 (60,00%);5009
KFK176 Kolloid- och ytkemi 2015/2016 LP3-LP3;38 (51,35%);7478
KFK176 Kolloid- och ytkemi 2016/2017 LP3-LP3;26 (40,63%);9843
KFK176 Kolloid- och ytkemi 2017/2018 LP3-LP3;37 (53,62%);11947
KKM080 Biokemisk miljövetenskap 2013/2014 LP4-LP4;28 (45,16%);3448
KKM080 Biokemisk miljövetenskap 2014/2015 LP4-LP4;29 (50,88%);5704
KKM081 Biokemisk miljövetenskap 2015/2016 LP4-LP4;32 (52,46%);8336
KKM081 Biokemisk miljövetenskap 2016/2017 LP4-LP4;22 (44,00%);10481
KKM081 Biokemisk miljövetenskap 2017/2018 LP4-LP4;27 (45,00%);12627
KKR090 Bioreaktionsteknik 2013/2014 LP2-LP2;29 (47,54%);2786
KKR090 Bioreaktionsteknik 2014/2015 LP2-LP2;34 (50,75%);4475
KKR091 Bioreaktionsteknik 2015/2016 LP2-LP2;24 (48,98%);7258
KKR091 Bioreaktionsteknik 2016/2017 LP2-LP2;28 (48,28%);9437
KKR091 Bioreaktionsteknik 2017/2018 LP2-LP2;19 (38,00%);11488
KLI060 Bioteknik: Introduktion 2013/2014 LP1-LP2;44 (62,86%);2476
KLI060 Bioteknik: Introduktion 2014/2015 LP1-LP2;46 (64,79%);4785
KLI060 Bioteknik: Introduktion 2015/2016 LP1-LP2;30 (45,45%);7106
KLI060 Bioteknik: Introduktion 2016/2017 LP1-LP2;25 (34,72%);9033
KLI060 Bioteknik: Introduktion 2017/2018 LP1-LP2;21 (28,00%);11682
KMB041 Metabolism och teknisk mikrobiologi 2013/2014 LP3-LP4;31 (45,59%);3606
KMB041 Metabolism och teknisk mikrobiologi 2014/2015 LP3-LP4;30 (51,72%);5812
KMB041 Metabolism och teknisk mikrobiologi 2015/2016 LP3-LP4;38 (56,72%);7982
KMB041 Metabolism och teknisk mikrobiologi 2016/2017 LP3-LP4;21 (37,50%);10507
KMB041 Metabolism och teknisk mikrobiologi 2017/2018 LP3-LP4;25 (40,98%);12651
KMB056 Molekylär bioteknik 2013/2014 LP1-LP2;23 (37,10%);2538
KMB056 Molekylär bioteknik 2014/2015 LP1-LP2;29 (47,54%);4389
KMB056 Molekylär bioteknik 2015/2016 LP1-LP2;23 (40,35%);6952
KMB056 Molekylär bioteknik 2016/2017 LP1-LP2;23 (37,10%);9495
KMB056 Molekylär bioteknik 2017/2018 LP1-LP2;15 (26,79%);11524
KMG042 Methods in molecular biology 2013/2014 LP4-LP4;16 (50,00%);3614
KMG042 Methods in molecular biology 2014/2015 LP4-LP4;20 (44,44%);5646
KMG042 Methods in molecular biology 2015/2016 LP3-LP3;16 (59,26%);7508
KMG042 Methods in molecular biology 2016/2017 LP3-LP3;9 (47,37%);9987
KMG042 Model organisms in molecular biology 2017/2018 LP3-LP3;8 (44,44%);12109
KMG050 Cell and molecular biology 2 2013/2014 LP3-LP3;27 (45,00%);1607
KMG050 Cell and molecular biology 2 2014/2015 LP3-LP3;37 (66,07%);5105
KMG050 Cell and molecular biology 2 2015/2016 LP3-LP3;33 (52,38%);7678
KMG050 Cell and molecular biology 2 2016/2017 LP3-LP3;23 (46,00%);9881
KMG050 Cell and molecular biology 2 2017/2018 LP3-LP3;33 (53,23%);12183
KOK081 Oorganisk och organisk kemi 2013/2014 LP3-LP3;27 (31,03%);1661
KOK081 Oorganisk och organisk kemi 2014/2015 LP3-LP3;47 (39,17%);5157
KOK081 Oorganisk och organisk kemi 2015/2016 LP4-LP4;37 (36,63%);7894
KOK081 Oorganisk och organisk kemi 2016/2017 LP4-LP4;56 (41,48%);10261
KOK081 Oorganisk och organisk kemi 2017/2018 LP4-LP4;42 (39,62%);12843
KOO041 Kemi med biokemi 2013/2014 LP1-LP3;27 (39,13%);1805
LMT967 Ekonomi och organisation 2013/2014 LP3-LP3;14 (60,87%);1537
LMT967 Ekonomi och organisation 2014/2015 LP3-LP3;9 (69,23%);5027
LMT967 Ekonomi och organisation 2015/2016 LP3-LP3;12 (75,00%);7484
MVE370 Matematik och samhälle 2013/2014 LP3-LP4;27 (58,70%);3518
MVE370 Matematik och samhälle 2014/2015 LP3-LP4;26 (70,27%);5486
MVE370 Matematik och samhälle 2015/2016 LP3-LP4;22 (41,51%);8126
MVE370 Matematik och samhälle 2016/2017 LP3-LP4;15 (39,47%);10153
MVE370 Matematik och samhälle 2017/2018 LP3-LP4;11 (25,00%);12767
MVE460 Envariabelanalys och analytisk geometri 2015/2016 LP1-LP1;101 (59,41%);6585
MVE460 Envariabelanalys och analytisk geometri 2016/2017 LP1-LP1;90 (47,12%);8789
MVE460 Envariabelanalys och analytisk geometri 2017/2018 LP1-LP1;108 (54,27%);10847
MVE465 Linjär algebra och analys fortsättning 2015/2016 LP2-LP2;84 (51,85%);7252
MVE465 Linjär algebra och analys fortsättning 2016/2017 LP2-LP2;95 (50,26%);9457
MVE465 Linjär algebra och analys fortsättning 2017/2018 LP2-LP2;89 (43,63%);11500
MVE470 Flervariabelanalys 2015/2016 LP3-LP3;59 (40,14%);7750
MVE470 Flervariabelanalys 2016/2017 LP3-LP3;75 (45,73%);9937
MVE470 Flervariabelanalys 2017/2018 LP3-LP3;104 (55,91%);12067
TEK075 Arbetsorganisation 2016/2017 LP3-LP3;22 (64,71%);9785
TEK075 Arbetsorganisation 2017/2018 LP3-LP3;10 (58,82%);11907
TMA682 Tillämpad matematik 2013/2014 LP1-LP1;44 (29,33%);2106
TMA682 Tillämpad matematik 2014/2015 LP1-LP1;62 (39,74%);3963
TMA683 Tillämpad matematik 2015/2016 LP2-LP2;61 (53,51%);7264
TMA683 Tillämpad matematik 2016/2017 LP2-LP2;38 (37,62%);9443
TMA683 Tillämpad matematik 2017/2018 LP2-LP2;50 (37,31%);11452
TMA982 Linjära system och transformer 2013/2014 LP3-LP3;41 (34,17%);1499
TMA982 Linjära system och transformer 2014/2015 LP3-LP3;42 (36,52%);5297
TMA982 Linjära system och transformer 2015/2016 LP3-LP3;47 (43,93%);7316
TMA982 Linjära system och transformer 2016/2017 LP3-LP3;46 (41,07%);9691
TMA982 Linjära system och transformer 2017/2018 LP3-LP3;26 (24,30%);12253
TMS145 Grundkurs i matematisk statistik och bioinformatik 2013/2014 LP2-LP2;33 (46,48%);2718
TMS145 Grundkurs i matematisk statistik och bioinformatik 2014/2015 LP2-LP2;40 (61,54%);4419
TMS146 Grundkurs i matematisk statistik 2015/2016 LP1-LP1;43 (70,49%);6587
TMS146 Grundkurs i matematisk statistik 2016/2017 LP1-LP1;22 (37,29%);8801
TMS146 Grundkurs i matematisk statistik 2017/2018 LP1-LP1;32 (49,23%);10855
TMV036 Analys och linjär algebra 2013/2014 LP1-LP3;82 (41,84%);1781
TMV036 Analys och linjär algebra 2014/2015 LP1-LP3;82 (45,81%);5209
UCM010 Introduction to cell and molecular biology 2013/2014 LP4-LP4;48 (60,00%);3230
UCM010 Introduction to cell and molecular biology 2014/2015 LP4-LP4;46 (45,54%);5846
UCM010 Introduction to cell and molecular biology 2016/2017 LP4-LP4;38 (39,58%);10465
UCM010 Introduction to cell and molecular biology 2017/2018 LP4-LP4;47 (44,76%);12573
EEM066 Elektricitetslära med biomedicinsk teknik 2018/2019 LP4-LP4;30 (45,45%);14869
