programme;course_tag;report_id
TKDAT;CTE031;1571
TKDAT;CTE031;5261
TKDAT;CTE031;7704
TKDAT;CTE031;9899
TKDAT;CTE031;12131
TKDAT;DAT026;3322
TKDAT;DAT026;5624
TKDAT;DAT026;8060
TKDAT;DAT026;10413
TKDAT;DAT026;12529
TKDAT;DAT036;2460
TKDAT;DAT037;4925
TKDAT;DAT037;7020
TKDAT;DAT037;8977
TKDAT;DAT037;11634
TKDAT;DAT043;1699
TKDAT;DAT043;5181
TKDAT;DAT043;7366
TKDAT;DAT043;9731
TKDAT;DAT043;12043
TKDAT;DAT076;1942
TKDAT;DAT076;3727
TKDAT;DAT076;7462
TKDAT;DAT076;9831
TKDAT;DAT076;12139
TKDAT;DAT121;1493
TKDAT;DAT121;5293
TKDAT;DAT215;1579
TKDAT;DAT216;5417
TKDAT;DAT216;7560
TKDAT;DAT216;9995
TKDAT;DAT216;12681
TKDAT;DAT255;2012
TKDAT;DAT255;3232
TKDAT;DAT255;4067
TKDAT;DAT255;5848
TKDAT;DAT255;8290
TKDAT;DAT255;10517
TKDAT;DAT255;12707
TKDAT;DAT290;2226
TKDAT;DAT290;3927
TKDAT;DAT290;6131
TKDAT;DAT290;8807
TKDAT;DAT290;10859
TKDAT;DAT325;7758
TKDAT;DAT326;9613
TKDAT;DAT326;12063
TKDAT;EDA092;2540
TKDAT;EDA222;1793
TKDAT;EDA222;5217
TKDAT;EDA222;7404
TKDAT;EDA222;9787
TKDAT;EDA223;12297
TKDAT;EDA234;2592
TKDAT;EDA234;12657
TKDAT;EDA263;1381
TKDAT;EDA263;5313
TKDAT;EDA263;7590
TKDAT;EDA263;9643
TKDAT;EDA263;12185
TKDAT;EDA322;1865
TKDAT;EDA322;5349
TKDAT;EDA322;7624
TKDAT;EDA322;9759
TKDAT;EDA322;11895
TKDAT;EDA331;3286
TKDAT;EDA331;5598
TKDAT;EDA331;7992
TKDAT;EDA332;10603
TKDAT;EDA332;12737
TKDAT;EDA343;3178
TKDAT;EDA343;5588
TKDAT;EDA343;8024
TKDAT;EDA343;10391
TKDAT;EDA343;12515
TKDAT;EDA452;2840
TKDAT;EDA452;4391
TKDAT;EDA452;7116
TKDAT;EDA452;9041
TKDAT;EDA452;11690
TKDAT;EDA481;3452
TKDAT;EDA481;5706
TKDAT;EDA481;7892
TKDAT;EDA482;10579
TKDAT;EDA482;12723
TKDAT;EEM076;3270
TKDAT;EEM076;8022
TKDAT;EEM076;10389
TKDAT;EEM076;12513
TKDAT;ENM155;4895
TKDAT;ENM155;7008
TKDAT;ENM155;9171
TKDAT;ENM155;11558
TKDAT;EOE054;3422
TKDAT;EOE054;5692
TKDAT;EOE054;8228
TKDAT;EOE054;10235
TKDAT;EOE054;12817
TKDAT;ERE102;2644
TKDAT;ERE102;4351
TKDAT;ERE103;7246
TKDAT;ERE103;9449
TKDAT;ERE103;11496
TKDAT;ETI146;5610
TKDAT;ETI146;8046
TKDAT;ETI146;10531
TKDAT;ETI146;12667
TKDAT;FFY143;3835
TKDAT;FFY143;6481
TKDAT;FFY143;8489
TKDAT;FFY143;11045
TKDAT;ITS065;2596
TKDAT;ITS070;2882
TKDAT;LMA017;10763
TKDAT;LSP530;2532
TKDAT;LSP530;4695
TKDAT;LSP530;7196
TKDAT;LSP530;9383
TKDAT;LSP530;11476
TKDAT;MVE055;2144
TKDAT;MVE055;3853
TKDAT;MVE055;6499
TKDAT;MVE055;8733
TKDAT;MVE055;10761
TKDAT;MVE085;1934
TKDAT;MVE085;3721
TKDAT;MVE085;6243
TKDAT;MVE255;5972
TKDAT;MVE255;8182
TKDAT;MVE255;10549
TKDAT;MVE255;12689
TKDAT;MVE270;5007
TKDAT;MVE270;7476
TKDAT;MVE270;9841
TKDAT;MVE270;12047
TKDAT;MVE370;3518
TKDAT;MVE370;5486
TKDAT;MVE370;8126
TKDAT;MVE370;10153
TKDAT;MVE370;12767
TKDAT;SJO955;11794
TKDAT;SSY080;2182
TKDAT;SSY080;3887
TKDAT;SSY080;6097
TKDAT;SSY080;8523
TKDAT;SSY080;11067
TKDAT;TDA289;1817
TKDAT;TDA289;5235
TKDAT;TDA289;7422
TKDAT;TDA289;9803
TKDAT;TDA289;11921
TKDAT;TDA342;1717
TKDAT;TDA342;5197
TKDAT;TDA342;7384
TKDAT;TDA342;9743
TKDAT;TDA342;11881
TKDAT;TDA351;2732
TKDAT;TDA357;2534
TKDAT;TDA357;1643
TKDAT;TDA357;5139
TKDAT;TDA357;7336
TKDAT;TDA357;9955
TKDAT;TDA357;12085
TKDAT;TDA361;2866
TKDAT;TDA382;2228
TKDAT;TDA382;1673
TKDAT;TDA383;4225
TKDAT;TDA383;5439
TKDAT;TDA383;6439
TKDAT;TDA383;7564
TKDAT;TDA383;8849
TKDAT;TDA383;9627
TKDAT;TDA384;11155
TKDAT;TDA384;12321
TKDAT;TDA555;8465
TKDAT;TDA555;11027
TKDAT;TDA555;1902
TKDAT;TDA555;4101
TKDAT;TDA555;6457
TKDAT;TDA566;2436
TKDAT;TDA593;2986
TKDAT;TEK130;3556
TKDAT;TEK130;5515
TKDAT;TEK130;7952
TKDAT;TEK130;10337
TKDAT;TEK130;12475
TKDAT;TEK225;2536
TKDAT;TEK225;3420
TKDAT;TEK225;6036
TKDAT;TEK225;8354
TKDAT;TEK225;10447
TKDAT;TEK226;11820
TKDAT;TEK226;12305
TKDAT;TIF085;2934
TKDAT;TIF085;4599
TKDAT;TIF085;6778
TKDAT;TIF085;9209
TKDAT;TIF085;11274
TKDAT;TIN092;2168
TKDAT;TIN092;3450
TKDAT;TIN093;4241
TKDAT;TIN093;5509
TKDAT;TIN093;6443
TKDAT;TIN093;8136
TKDAT;TIN093;8455
TKDAT;TIN093;10163
TKDAT;TIN093;11021
TKDAT;TIN093;12773
TKDAT;TIN172;3662
TKDAT;TIN172;5497
TKDAT;TIN173;7836
TKDAT;TIN174;10077
TKDAT;TIN175;12331
TKDAT;TMA044;8427
TKDAT;TMV027;3466
TKDAT;TMV027;5718
TKDAT;TMV027;7855
TKDAT;TMV027;10129
TKDAT;TMV027;12406
TKDAT;TMV170;1753
TKDAT;TMV170;5389
TKDAT;TMV170;7550
TKDAT;TMV170;9619
TKDAT;TMV170;12197
TKDAT;TMV210;2346
TKDAT;TMV210;4009
TKDAT;TMV210;6213
TKDAT;TMV210;8637
TKDAT;TMV210;10709
TKDAT;TMV216;2850
TKDAT;TMV216;4531
TKDAT;TMV216;6714
TKDAT;TMV216;9133
TKDAT;TMV216;11212
TKDAT;CTE031;14475
TKDAT;CTE031;16606
TKDAT;CTE031;18847
TKDAT;CTE031;21069
TKDAT;DAT026;15252
TKDAT;DAT026;17929
TKDAT;DAT026;19742
TKDAT;DAT026;22198
TKDAT;DAT037;13765
TKDAT;DAT038;16401
TKDAT;DAT038;18077
TKDAT;DAT038;20751
TKDAT;DAT043;14247
TKDAT;DAT043;16496
TKDAT;DAT043;19015
TKDAT;DAT044;21501
TKDAT;DAT076;14325
TKDAT;DAT076;16612
TKDAT;DAT076;19127
TKDAT;DAT076;21056
TKDAT;DAT216;15123
TKDAT;DAT216;17361
TKDAT;DAT216;19302
TKDAT;DAT216;21983
TKDAT;DAT256;15181
TKDAT;DAT257;15746
TKDAT;DAT257;17637
TKDAT;DAT257;19772
TKDAT;DAT257;22500
TKDAT;DAT290;13090
TKDAT;DAT290;15346
TKDAT;DAT290;17585
TKDAT;DAT290;20202
TKDAT;DAT290;22258
TKDAT;DAT326;14483
TKDAT;DAT326;16614
TKDAT;DAT326;19129
TKDAT;DAT326;21457
TKDAT;DAT340;19676
TKDAT;DAT340;21667
TKDAT;DAT405;19159
TKDAT;DAT405;21247
TKDAT;DAT420;16898
TKDAT;DAT420;18867
TKDAT;DAT420;21107
TKDAT;DATX02;17163
TKDAT;EDA223;14533
TKDAT;EDA223;16828
TKDAT;EDA223;19023
TKDAT;EDA223;21083
TKDAT;EDA263;14355
TKDAT;EDA263;16552
TKDAT;EDA263;19061
TKDAT;EDA263;21165
TKDAT;EDA322;14567
TKDAT;EDA322;16620
TKDAT;EDA322;18933
TKDAT;EDA322;21225
TKDAT;EDA332;14905
TKDAT;EDA333;17409
TKDAT;EDA333;19382
TKDAT;EDA333;21719
TKDAT;EDA343;17343
TKDAT;EDA343;19434
TKDAT;EDA343;21797
TKDAT;EDA343;15033
TKDAT;EDA452;13815
TKDAT;EDA452;15825
TKDAT;EDA452;18145
TKDAT;EDA452;20847
TKDAT;EDA482;14895
TKDAT;EDA482;17075
TKDAT;EDA482;19344
TKDAT;EDA482;22095
TKDAT;EEM076;14781
TKDAT;EEM076;16995
TKDAT;EEM076;19244
TKDAT;EEM076;21913
TKDAT;ENM156;14119
TKDAT;ENM156;16055
TKDAT;ENM156;18619
TKDAT;ENM156;20843
TKDAT;EOE054;14965
TKDAT;EOE054;17013
TKDAT;EOE055;19666
TKDAT;EOE055;22023
TKDAT;ERE103;13695
TKDAT;ERE103;15925
TKDAT;ERE103;18301
TKDAT;ERE103;20417
TKDAT;ETI146;15109
TKDAT;ETI147;17437
TKDAT;ETI147;19290
TKDAT;ETI147;21975
TKDAT;FFY143;13202
TKDAT;FFY144;15730
TKDAT;FFY144;17535
TKDAT;FFY144;20132
TKDAT;LMA017;13014
TKDAT;LMA017;15258
TKDAT;LMA017;17489
TKDAT;LMA017;20062
TKDAT;LMA017;22414
TKDAT;MVE055;13012
TKDAT;MVE055;15256
TKDAT;MVE055;17933
TKDAT;MVE055;20124
TKDAT;MVE055;22598
