name;ans_freq;report_id
CTE031 Teknikhistoria 2013/2014 LP3-LP3;72 (42,35%);1571
CTE031 Teknikhistoria 2014/2015 LP3-LP3;77 (44,00%);5261
CTE031 Teknikhistoria 2015/2016 LP3-LP3;68 (35,23%);7704
CTE031 Teknikhistoria 2016/2017 LP3-LP3;51 (40,16%);9899
CTE031 Teknikhistoria 2017/2018 LP3-LP3;29 (29,59%);12131
DAT026 Matematisk modellering och problemlösning 2013/2014 LP4-LP4;55 (40,44%);3322
DAT026 Matematisk modellering och problemlösning 2014/2015 LP4-LP4;47 (33,10%);5624
DAT026 Matematisk modellering och problemlösning 2015/2016 LP4-LP4;47 (35,88%);8060
DAT026 Matematisk modellering och problemlösning 2016/2017 LP4-LP4;34 (28,10%);10413
DAT026 Matematisk modellering och problemlösning 2017/2018 LP4-LP4;60 (39,74%);12529
DAT036 Datastrukturer 2013/2014 LP2-LP2;46 (38,66%);2460
DAT037 Data structures 2014/2015 LP2-LP2;72 (47,37%);4925
DAT037 Datastrukturer 2015/2016 LP2-LP2;54 (34,18%);7020
DAT037 Datastrukturer 2016/2017 LP2-LP2;60 (38,22%);8977
DAT037 Datastrukturer 2017/2018 LP2-LP2;58 (29,90%);11634
DAT043 Objektorienterad programmering 2013/2014 LP3-LP3;44 (40,37%);1699
DAT043 Objektorienterad programmering 2014/2015 LP3-LP3;32 (28,57%);5181
DAT043 Objektorienterad programmering 2015/2016 LP3-LP3;41 (42,71%);7366
DAT043 Objektorienterad programmering 2016/2017 LP3-LP3;27 (26,47%);9731
DAT043 Objektorienterad programmering 2017/2018 LP3-LP3;40 (36,04%);12043
DAT076 Web-applikationer 2013/2014 LP1-LP1;41 (37,96%);1942
DAT076 Web-applikationer 2014/2015 LP1-LP1;33 (41,77%);3727
DAT076 Web-applikationer 2015/2016 LP3-LP3;14 (28,00%);7462
DAT076 Web-applikationer 2016/2017 LP3-LP3;12 (31,58%);9831
DAT076 Web-applikationer 2017/2018 LP3-LP3;15 (24,19%);12139
DAT121 Programming paradigms 2013/2014 LP3-LP3;18 (38,30%);1493
DAT121 Programming paradigms 2014/2015 LP3-LP3;13 (27,08%);5293
DAT215 Design och konstruktion av grafiska gränssnitt 2013/2014 LP3-LP3;42 (40,00%);1579
DAT216 Design och konstruktion av grafiska gränssnitt 2014/2015 LP3-LP3;41 (36,61%);5417
DAT216 Design och konstruktion av grafiska gränssnitt 2015/2016 LP3-LP3;39 (36,11%);7560
DAT216 Design och konstruktion av grafiska gränssnitt 2016/2017 LP3-LP3;62 (56,36%);9995
DAT216 Design och konstruktion av grafiska gränssnitt 2017/2018 LP4-LP4;29 (23,77%);12681
DAT255 Software engineering project 2013/2014 LP1-LP1;43 (25,60%);2012
DAT255 Software engineering project 2013/2014 LP4-LP4;12 (35,29%);3232
DAT255 Software engineering project 2014/2015 LP1-LP1;65 (37,57%);4067
DAT255 Software engineering project 2014/2015 LP4-LP4;13 (24,07%);5848
DAT255 Software engineering project 2015/2016 LP4-LP4;15 (28,30%);8290
DAT255 Software engineering project 2016/2017 LP4-LP4;20 (34,48%);10517
DAT255 Software engineering project 2017/2018 LP4-LP4;19 (21,59%);12707
DAT290 Datatekniskt projekt 2013/2014 LP1-LP1;36 (46,75%);2226
DAT290 Datatekniskt projekt 2014/2015 LP1-LP1;50 (54,35%);3927
DAT290 Datatekniskt projekt 2015/2016 LP1-LP1;45 (53,57%);6131
DAT290 Datatekniskt projekt 2016/2017 LP1-LP1;37 (45,68%);8807
DAT290 Datatekniskt projekt 2017/2018 LP1-LP1;29 (37,66%);10859
DAT325 Domain Specific Languages of Mathematics 2015/2016 LP3-LP3;21 (75,00%);7758
DAT326 Domain Specific Languages of Mathematics 2016/2017 LP3-LP3;19 (52,78%);9613
DAT326 Domain Specific Languages of Mathematics 2017/2018 LP3-LP3;13 (34,21%);12063
EDA092 Operating systems 2013/2014 LP2-LP2;36 (34,62%);2540
EDA222 Real time systems 2013/2014 LP3-LP3;29 (37,18%);1793
EDA222 Real time systems 2014/2015 LP3-LP3;24 (39,34%);5217
EDA222 Real time systems 2015/2016 LP3-LP3;28 (35,90%);7404
EDA222 Real time systems 2016/2017 LP3-LP3;27 (37,50%);9787
EDA223 Real time systems 2017/2018 LP3-LP3;41 (54,67%);12297
EDA234 Digital konstruktion, projektkurs 2013/2014 LP2-LP2;10 (37,04%);2592
EDA234 Digital project laboratory 2017/2018 LP4-LP4;6 (50,00%);12657
EDA263 Computer security 2013/2014 LP3-LP3;36 (30,00%);1381
EDA263 Computer security 2014/2015 LP3-LP3;36 (28,80%);5313
EDA263 Computer security 2015/2016 LP3-LP3;47 (30,52%);7590
EDA263 Computer security 2016/2017 LP3-LP3;39 (33,33%);9643
EDA263 Computer security 2017/2018 LP3-LP3;63 (40,13%);12185
EDA322 Digital design 2013/2014 LP3-LP3;35 (35,35%);1865
EDA322 Digital design 2014/2015 LP3-LP3;67 (37,85%);5349
EDA322 Digital design 2015/2016 LP3-LP3;48 (32,88%);7624
EDA322 Digital design 2016/2017 LP3-LP3;43 (30,50%);9759
EDA322 Digital design 2017/2018 LP3-LP3;50 (32,68%);11895
EDA331 Datorsystemteknik 2013/2014 LP4-LP4;36 (33,33%);3286
EDA331 Datorsystemteknik 2014/2015 LP4-LP4;48 (34,78%);5598
EDA331 Datorsystemteknik 2015/2016 LP4-LP4;24 (19,67%);7992
EDA332 Datorsystemteknik 2016/2017 LP4-LP4;25 (32,47%);10603
EDA332 Datorsystemteknik 2017/2018 LP4-LP4;27 (28,72%);12737
EDA343 Datakommunikation 2013/2014 LP4-LP4;59 (38,56%);3178
EDA343 Datakommunikation 2014/2015 LP4-LP4;86 (35,98%);5588
EDA343 Datakommunikation 2015/2016 LP4-LP4;47 (26,70%);8024
EDA343 Datakommunikation 2016/2017 LP4-LP4;41 (25,63%);10391
EDA343 Datakommunikation 2017/2018 LP4-LP4;46 (26,44%);12515
EDA452 Grundläggande datorteknik 2013/2014 LP2-LP2;49 (44,14%);2840
EDA452 Grundläggande datorteknik 2014/2015 LP2-LP2;57 (47,90%);4391
EDA452 Grundläggande datorteknik 2015/2016 LP2-LP2;44 (42,72%);7116
EDA452 Grundläggande datorteknik 2016/2017 LP2-LP2;36 (31,03%);9041
