name;ans_freq;report_id
DAT171 Object-oriented programming in Python 2015/2016 LP3-LP3;15 (34,88%);7588
DAT171 Object-oriented programming in Python 2016/2017 LP3-LP3;37 (52,11%);9763
DAT171 Object-oriented programming in Python 2017/2018 LP3-LP3;21 (31,82%);11897
DAT171 Objektorienterad programmeringsteknik i Python 2014/2015 LP3-LP3;28 (59,57%);5443
IBB135 Project management 2013/2014 LP4-LP4;39 (52,70%);3216
IBB135 Project management 2014/2015 LP4-LP4;22 (36,67%);5832
IBB135 Project management 2015/2016 LP4-LP4;35 (40,70%);8272
IBB136 Project management 2016/2017 LP4-LP4;18 (23,38%);10587
IBB136 Project management 2017/2018 LP4-LP4;20 (23,81%);12583
IEK415 Industriell ekonomi 2013/2014 LP3-LP3;35 (34,31%);1757
IEK415 Industriell ekonomi 2014/2015 LP3-LP3;39 (33,91%);5393
IEK415 Industriell ekonomi 2015/2016 LP3-LP3;26 (26,80%);7574
IEK415 Industriell ekonomi 2016/2017 LP3-LP3;26 (36,62%);9633
IEK415 Industriell ekonomi 2017/2018 LP3-LP3;22 (34,92%);12205
MHA063 Hållfasthetslära 2013/2014 LP3-LP3;23 (54,76%);1799
MHA063 Hållfasthetslära 2014/2015 LP3-LP3;23 (58,97%);5223
MHA063 Hållfasthetslära 2015/2016 LP3-LP3;28 (62,22%);7410
MHA063 Hållfasthetslära 2016/2017 LP3-LP3;18 (47,37%);9793
MHA063 Hållfasthetslära 2017/2018 LP3-LP3;14 (34,15%);11911
MMF265 Skissteknik 2 2013/2014 LP1-LP4;23 (54,76%);3582
MMF273 Design och användaranpassning 2013/2014 LP3-LP3;23 (58,97%);1775
MMF274 Design och användaranpassning 2014/2015 LP3-LP3;26 (68,42%);5397
MMF274 Design och användaranpassning 2015/2016 LP3-LP3;29 (65,91%);7516
MMF274 Design och användaranpassning 2016/2017 LP4-LP4;19 (52,78%);10319
MMF274 Design och användaranpassning 2017/2018 LP4-LP4;16 (39,02%);12459
MMF292 Konstruktionsteknik 2013/2014 LP1-LP1;19 (55,88%);2136
MMF292 Konstruktionsteknik 2014/2015 LP1-LP1;26 (63,41%);3823
MMF293 Konstruktionsteknik 2015/2016 LP1-LP1;16 (44,44%);6599
MMF293 Konstruktionsteknik 2016/2017 LP1-LP1;29 (63,04%);8619
MMF293 Konstruktionsteknik 2017/2018 LP1-LP1;23 (65,71%);10697
MMT010 Ergonomi 2013/2014 LP1-LP1;16 (40,00%);1996
MMT010 Ergonomi 2014/2015 LP1-LP1;22 (50,00%);3839
MMT010 Ergonomi 2015/2016 LP1-LP1;29 (58,00%);6485
