programme;course_tag;report_id
TKELT;CTE031;1571
TKELT;CTE031;5261
TKELT;CTE031;7704
TKELT;CTE031;9899
TKELT;CTE031;12131
TKELT;DAT016;6710
TKELT;DAT017;9559
TKELT;DAT017;11580
TKELT;EDA216;3182
TKELT;EDA216;5564
TKELT;EDA216;7994
TKELT;EDA216;10369
TKELT;EDA216;12499
TKELT;EDA234;2592
TKELT;EDA234;4301
TKELT;EDA234;6878
TKELT;EDA234;8344
TKELT;EDA234;12657
TKELT;EDA322;1865
TKELT;EDA322;5349
TKELT;EDA322;7624
TKELT;EDA322;9759
TKELT;EDA322;11895
TKELT;EDA331;3286
TKELT;EDA331;5598
TKELT;EDA331;7992
TKELT;EDA332;10603
TKELT;EDA332;12737
TKELT;EDA343;2590
TKELT;EDA343;3178
TKELT;EDA343;5588
TKELT;EDA343;8024
TKELT;EDA343;10391
TKELT;EDA343;12515
TKELT;EDA344;5427
TKELT;EDA344;7562
TKELT;EDA344;9625
TKELT;EDA344;12201
TKELT;EDA481;7892
TKELT;EDA482;10579
TKELT;EDA482;12723
TKELT;EDA486;7878
TKELT;EDA487;10597
TKELT;EDA487;12733
TKELT;EEK136;2600
TKELT;EEK136;4309
TKELT;EEK137;7256
TKELT;EEK137;9435
TKELT;EEK137;11486
TKELT;EEK140;2726
TKELT;EEK140;4427
TKELT;EEK140;7148
TKELT;EEK140;9355
TKELT;EEK140;11378
TKELT;EEM015;2604
TKELT;EEM015;4313
TKELT;EEM015;6888
TKELT;EEM015;9289
TKELT;EEM015;11334
TKELT;EEM021;2426
TKELT;EEM021;4747
TKELT;EEM021;7070
TKELT;EEM021;9173
TKELT;EEM021;11554
TKELT;EMI084;2492
TKELT;EMI084;4273
TKELT;EMI084;6850
TKELT;EMI084;9261
TKELT;EMI084;11314
TKELT;EOE054;3422
TKELT;EOE054;5692
TKELT;EOE054;8228
TKELT;EOE054;10235
TKELT;EOE054;12817
TKELT;ESS011;3438
TKELT;ESS011;5698
TKELT;ESS011;7884
TKELT;ESS011;10255
TKELT;ESS011;12837
TKELT;ESS017;132
TKELT;ESS017;3715
TKELT;ESS017;6237
TKELT;ESS017;8659
TKELT;ESS017;10717
TKELT;ETI146;3304
TKELT;ETI146;5610
TKELT;ETI146;8046
TKELT;ETI146;10531
TKELT;ETI146;12667
TKELT;FFY143;2260
TKELT;FFY143;3835
TKELT;FFY143;6481
TKELT;FFY143;8489
TKELT;FFY143;11045
TKELT;FFY401;3272
TKELT;FFY401;5590
TKELT;FFY401;8026
TKELT;FFY401;10317
TKELT;FFY401;12457
TKELT;FSP025;2444
TKELT;FSP025;4761
TKELT;FSP025;7084
TKELT;FSP025;9517
TKELT;FSP025;11538
TKELT;IAR075;3180
TKELT;IEK415;1757
TKELT;IEK415;5393
TKELT;IEK415;7574
TKELT;IEK415;9633
TKELT;IEK415;12205
TKELT;ITS065;2596
TKELT;ITS065;4305
TKELT;ITS065;6882
TKELT;ITS065;9285
TKELT;ITS066;11830
TKELT;ITS070;2882
