programme;course_tag;report_id
TKGBS;ACE235;22720
TKGBS;DAT405;22181
TKGBS;DAT435;18677
TKGBS;DAT435;20525
TKGBS;DAT500;20270
TKGBS;DAT500;22446
TKGBS;DAT505;20274
TKGBS;DAT505;22648
TKGBS;FUF040;22262
TKGBS;MTF053;22650
TKGBS;MVE295;22274
TKGBS;MVE620;17953
TKGBS;MVE620;19942
TKGBS;MVE620;22508
TKGBS;MVE625;17955
TKGBS;MVE625;19928
TKGBS;MVE626;22732
TKGBS;MVE650;21497
TKGBS;MVE655;20997
TKGBS;SEE060;19700
TKGBS;SEE060;21845
TKGBS;SEE065;19167
TKGBS;SEE065;21273
TKGBS;SEE070;19169
TKGBS;SEE070;21275
TKGBS;SEE075;19171
TKGBS;SEE075;21239
TKGBS;SEE080;18689
TKGBS;SEE080;20535
TKGBS;SEE085;19704
TKGBS;SEE085;21869
TKGBS;SEE105;21491
TKGBS;SEE110;20254
TKGBS;SEE110;22244
TKGBS;SEE130;20999
TKGBS;TEK760;22694
TKGBS;TEK915;22131
TKGBS;TEK920;20947
TKGBS;TMA947;22252
