programme;course_tag;report_id
TKIEK;BBT030;11816
TKIEK;BBT035;12899
TKIEK;DAT255;3232
TKIEK;DAT255;5848
TKIEK;DAT255;8290
TKIEK;DAT255;10517
TKIEK;DAT255;12707
TKIEK;IAR072;3350
TKIEK;IAR072;5740
TKIEK;IAR072;7922
TKIEK;IAR087;1513
TKIEK;IAR087;5005
TKIEK;IAR087;7474
TKIEK;IDY023;2938
TKIEK;IDY023;4603
TKIEK;IDY023;6780
TKIEK;IDY023;9211
TKIEK;IDY023;11276
TKIEK;IDY029;1693
TKIEK;IDY029;5175
TKIEK;IDY029;7322
TKIEK;IDY029;9697
TKIEK;IDY029;12045
TKIEK;IKA096;1395
TKIEK;IKA096;5327
TKIEK;IKA096;7602
TKIEK;IKA096;9651
TKIEK;IKA096;12223
TKIEK;IMA044;2930
TKIEK;IMA044;4595
TKIEK;IMA044;6766
TKIEK;IMA044;9201
TKIEK;IMA044;11268
TKIEK;IOE011;2340
TKIEK;IOE011;4005
TKIEK;IOE011;6207
TKIEK;IOE011;8631
TKIEK;IOE011;10705
TKIEK;ITR233;2096
TKIEK;ITR233;3953
TKIEK;ITR233;6161
TKIEK;ITR233;8555
TKIEK;ITR233;11085
TKIEK;ITR573;2598
TKIEK;ITR573;4307
TKIEK;ITR573;6884
TKIEK;ITR573;9479
TKIEK;ITR573;11512
TKIEK;KOK081;10261
TKIEK;KOK081;12843
TKIEK;KPO055;3424
TKIEK;KPO055;5694
TKIEK;KPO055;8230
TKIEK;KTK111;2940
TKIEK;KTK111;4393
TKIEK;KTK111;7118
TKIEK;KTK111;9393
TKIEK;KTK111;11404
TKIEK;KTK116;2594
TKIEK;KTK116;4303
TKIEK;KTK116;6880
TKIEK;KTK116;9283
TKIEK;KTK116;11330
TKIEK;LET375;3312
TKIEK;LET375;5618
TKIEK;LET375;8052
TKIEK;LET375;10405
TKIEK;LET375;12755
TKIEK;MTT010;10377
TKIEK;MTT010;12503
TKIEK;MTT010;3190
TKIEK;MTT010;6028
TKIEK;MTT010;8002
TKIEK;MTT030;2936
TKIEK;MTT030;4601
TKIEK;MTT031;7262
TKIEK;MTT031;9441
TKIEK;MTT031;11492
TKIEK;MVE011;2138
TKIEK;MVE012;4235
TKIEK;MVE012;6381
TKIEK;MVE012;8411
TKIEK;MVE012;10989
TKIEK;MVE016;2690
TKIEK;MVE016;4561
TKIEK;MVE016;6734
TKIEK;MVE016;9111
TKIEK;MVE017;11780
TKIEK;MVE021;3184
TKIEK;MVE021;5566
TKIEK;MVE021;7996
TKIEK;MVE021;10371
TKIEK;MVE022;12881
TKIEK;MVE095;3496
TKIEK;MVE095;5944
TKIEK;MVE095;8108
TKIEK;MVE095;9527
TKIEK;MVE095;11548
TKIEK;MVE170;1244
TKIEK;MVE170;4631
