name;ans_freq;report_id
BBT030 Metabolism och molekylär bioteknik 2017/2018 LP2-LP2;5 (50,00%);11816
BBT035 Teknisk mikrobiologi 2017/2018 LP4-LP4;5 (50,00%);12899
DAT255 Software engineering project 2013/2014 LP4-LP4;12 (35,29%);3232
DAT255 Software engineering project 2014/2015 LP4-LP4;13 (24,07%);5848
DAT255 Software engineering project 2015/2016 LP4-LP4;15 (28,30%);8290
DAT255 Software engineering project 2016/2017 LP4-LP4;20 (34,48%);10517
DAT255 Software engineering project 2017/2018 LP4-LP4;19 (21,59%);12707
IAR072 Produktionsledning 2013/2014 LP4-LP4;54 (46,55%);3350
IAR072 Produktionsledning 2014/2015 LP4-LP4;58 (49,15%);5740
IAR072 Produktionsledning 2015/2016 LP4-LP4;45 (36,00%);7922
IAR087 Industriell verksamhetsutveckling 2013/2014 LP3-LP3;55 (47,83%);1513
IAR087 Industriell verksamhetsutveckling 2014/2015 LP3-LP3;74 (65,49%);5005
IAR087 Industriell verksamhetsutveckling 2015/2016 LP3-LP3;48 (39,67%);7474
IDY023 Ekonomisk analys 1: Ekonomisk kalkylering och styrning 2013/2014 LP2-LP2;62 (48,82%);2938
IDY023 Ekonomisk analys 1: Ekonomisk kalkylering och styrning 2014/2015 LP2-LP2;60 (48,00%);4603
IDY023 Ekonomisk analys 1: Ekonomisk kalkylering och styrning 2015/2016 LP2-LP2;59 (50,00%);6780
IDY023 Ekonomisk analys 1: Ekonomisk kalkylering och styrning 2016/2017 LP2-LP2;42 (37,84%);9211
IDY023 Ekonomisk analys 1: Ekonomisk kalkylering och styrning 2017/2018 LP2-LP2;50 (40,98%);11276
IDY029 Ekonomisk analys 2: Externanalys 2013/2014 LP3-LP3;59 (49,17%);1693
IDY029 Ekonomisk analys 2: Externanalys 2014/2015 LP3-LP3;60 (49,18%);5175
IDY029 Ekonomisk analys 2: Externanalys 2015/2016 LP3-LP3;42 (34,71%);7322
IDY029 Ekonomisk analys 2: Externanalys 2016/2017 LP3-LP3;37 (33,94%);9697
IDY029 Ekonomisk analys 2: Externanalys 2017/2018 LP3-LP3;34 (28,57%);12045
IKA096 Informationssystem 2013/2014 LP3-LP3;43 (51,19%);1395
IKA096 Informationssystem 2014/2015 LP3-LP3;59 (54,63%);5327
IKA096 Informationssystem 2015/2016 LP3-LP3;50 (45,45%);7602
IKA096 Informationssystem 2016/2017 LP3-LP3;51 (40,16%);9651
IKA096 Informationssystem 2017/2018 LP3-LP3;35 (30,70%);12223
IMA044 Industriell marknadsföring 2013/2014 LP2-LP2;62 (55,36%);2930
IMA044 Industriell marknadsföring 2014/2015 LP2-LP2;47 (40,17%);4595
IMA044 Industriell marknadsföring 2015/2016 LP2-LP2;48 (39,34%);6766
IMA044 Industriell marknadsföring 2016/2017 LP2-LP2;26 (21,67%);9201
IMA044 Industriell marknadsföring 2017/2018 LP2-LP2;40 (35,09%);11268
IOE011 Ekonomisk analys 3: innovationsekonomi 2013/2014 LP1-LP1;41 (49,40%);2340
IOE011 Ekonomisk analys 3: Innovationsekonomi 2014/2015 LP1-LP1;52 (44,44%);4005
IOE011 Ekonomisk analys 3: Innovationsekonomi 2015/2016 LP1-LP1;49 (41,88%);6207
IOE011 Ekonomisk analys 3: Innovationsekonomi 2016/2017 LP1-LP1;40 (32,52%);8631
IOE011 Ekonomisk analys 3: Innovationsekonomi 2017/2018 LP1-LP1;44 (36,67%);10705
ITR233 Logistik 2013/2014 LP1-LP1;42 (52,50%);2096
ITR233 Logistik 2014/2015 LP1-LP1;56 (50,91%);3953
ITR233 Logistik 2015/2016 LP1-LP1;53 (48,62%);6161
ITR233 Logistik 2016/2017 LP1-LP1;35 (28,69%);8555
ITR233 Logistik 2017/2018 LP1-LP1;39 (34,51%);11085
ITR573 Modellbyggnad och simuleringsmetodik 2013/2014 LP2-LP2;42 (51,85%);2598
ITR573 Modellbyggnad och simuleringsmetodik 2014/2015 LP2-LP2;47 (42,73%);4307
ITR573 Modellbyggnad och simuleringsmetodik 2015/2016 LP2-LP2;50 (44,25%);6884
ITR573 Modellbyggnad och simuleringsmetodik 2016/2017 LP2-LP2;51 (42,15%);9479
ITR573 Modellbyggnad och simuleringsmetodik 2017/2018 LP2-LP2;40 (37,38%);11512
KOK081 Oorganisk och organisk kemi 2016/2017 LP4-LP4;56 (41,48%);10261
KOK081 Oorganisk och organisk kemi 2017/2018 LP4-LP4;42 (39,62%);12843
KPO055 Produkters kemi 2013/2014 LP4-LP4;20 (46,51%);3424
KPO055 Produkters kemi 2014/2015 LP4-LP4;21 (41,18%);5694
KPO055 Produkters kemi 2015/2016 LP4-LP4;21 (38,18%);8230
KTK111 Kemi för ingenjörer 2013/2014 LP2-LP2;11 (45,83%);2940
KTK111 Kemi för ingenjörer 2014/2015 LP2-LP2;14 (70,00%);4393
KTK111 Kemi för ingenjörer 2015/2016 LP2-LP2;17 (47,22%);7118
KTK111 Kemi för ingenjörer 2016/2017 LP2-LP2;12 (28,57%);9393
KTK111 Kemi för ingenjörer 2017/2018 LP2-LP2;6 (17,14%);11404
KTK116 Yt- och materialkemi 2013/2014 LP2-LP2;11 (78,57%);2594
KTK116 Yt- och materialkemi 2014/2015 LP2-LP2;3 (27,27%);4303
KTK116 Yt- och materialkemi 2015/2016 LP2-LP2;7 (23,33%);6880
KTK116 Yt- och materialkemi 2016/2017 LP2-LP2;14 (42,42%);9283
KTK116 Yt- och materialkemi 2017/2018 LP2-LP2;6 (60,00%);11330
LET375 Algoritmer och datastrukturer 2013/2014 LP4-LP4;34 (30,36%);3312
LET375 Algoritmer och datastrukturer 2014/2015 LP4-LP4;43 (36,44%);5618
