name;ans_freq;report_id
CTE031 Teknikhistoria 2013/2014 LP3-LP3;72 (42,35%);1571
CTE031 Teknikhistoria 2014/2015 LP3-LP3;77 (44,00%);5261
CTE031 Teknikhistoria 2015/2016 LP3-LP3;68 (35,23%);7704
CTE031 Teknikhistoria 2016/2017 LP3-LP3;51 (40,16%);9899
CTE031 Teknikhistoria 2017/2018 LP3-LP3;29 (29,59%);12131
DAT016 Programmering av inbyggda system 2013/2014 LP2-LP2;33 (30,00%);2846
DAT016 Programmering av inbyggda system 2014/2015 LP2-LP2;37 (36,63%);4527
DAT016 Programmering av inbyggda system 2015/2016 LP2-LP2;52 (42,28%);6710
DAT017 Maskinorienterad programmering 2016/2017 LP2-LP2;40 (34,48%);9559
DAT017 Maskinorienterad programmering 2017/2018 LP2-LP2;48 (32,21%);11580
DAT017 Maskinorienterad programmering 2017/2018 LP3-LP3;22 (22,00%);12323
DAT026 Matematisk modellering och problemlösning 2013/2014 LP4-LP4;55 (40,44%);3322
DAT026 Matematisk modellering och problemlösning 2014/2015 LP4-LP4;47 (33,10%);5624
DAT026 Matematisk modellering och problemlösning 2015/2016 LP4-LP4;47 (35,88%);8060
DAT026 Matematisk modellering och problemlösning 2016/2017 LP4-LP4;34 (28,10%);10413
DAT026 Matematisk modellering och problemlösning 2017/2018 LP4-LP4;60 (39,74%);12529
DAT060 Logic in computer science 2013/2014 LP1-LP1;37 (27,21%);2310
DAT060 Logic in computer science 2014/2015 LP1-LP1;65 (46,76%);4181
DAT060 Logic in computer science 2015/2016 LP1-LP1;51 (41,46%);6419
DAT060 Logic in computer science 2016/2017 LP1-LP1;54 (39,42%);8443
DAT060 Logic in computer science 2017/2018 LP1-LP1;60 (36,81%);11015
DAT076 Web-applikationer 2013/2014 LP1-LP1;41 (37,96%);1942
DAT076 Web-applikationer 2014/2015 LP1-LP1;33 (41,77%);3727
DAT076 Web-applikationer 2015/2016 LP3-LP3;14 (28,00%);7462
DAT076 Web-applikationer 2016/2017 LP3-LP3;12 (31,58%);9831
DAT076 Web-applikationer 2017/2018 LP3-LP3;15 (24,19%);12139
DAT105 Computer architecture 2013/2014 LP2-LP2;28 (44,44%);2860
DAT105 Computer architecture 2014/2015 LP2-LP2;11 (35,48%);4827
DAT105 Computer architecture 2015/2016 LP2-LP2;9 (28,13%);6982
DAT105 Computer architecture 2016/2017 LP2-LP2;14 (29,79%);9153
DAT105 Computer architecture 2017/2018 LP2-LP2;24 (44,44%);11226
DAT121 Programming paradigms 2013/2014 LP3-LP3;18 (38,30%);1493
DAT121 Programming paradigms 2014/2015 LP3-LP3;13 (27,08%);5293
DAT151 Programming language technology 2013/2014 LP3-LP3;41 (35,65%);1695
DAT151 Programming language technology 2014/2015 LP3-LP3;40 (33,06%);5177
DAT151 Programming language technology 2015/2016 LP2-LP2;37 (35,92%);6634
DAT151 Programming language technology 2016/2017 LP2-LP2;34 (30,36%);9063
DAT151 Programming language technology 2017/2018 LP2-LP2;58 (41,13%);11710
DAT215 Design och konstruktion av grafiska gränssnitt 2013/2014 LP3-LP3;42 (40,00%);1579
DAT216 Design och konstruktion av grafiska gränssnitt 2014/2015 LP3-LP3;41 (36,61%);5417
DAT216 Design och konstruktion av grafiska gränssnitt 2015/2016 LP3-LP3;39 (36,11%);7560
DAT216 Design och konstruktion av grafiska gränssnitt 2016/2017 LP3-LP3;62 (56,36%);9995
DAT216 Design och konstruktion av grafiska gränssnitt 2017/2018 LP4-LP4;29 (23,77%);12681
DAT255 Software engineering project 2013/2014 LP1-LP1;43 (25,60%);2012
DAT255 Software engineering project 2014/2015 LP1-LP1;65 (37,57%);4067
DAT255 Software engineering project 2015/2016 LP1-LP1;60 (39,22%);6553
DAT255 Software engineering project 2016/2017 LP1-LP1;40 (32,79%);8831
DAT255 Software engineering project 2017/2018 LP1-LP1;53 (38,69%);10875
DAT325 Domain Specific Languages of Mathematics 2015/2016 LP3-LP3;21 (75,00%);7758
DAT326 Domain Specific Languages of Mathematics 2016/2017 LP3-LP3;19 (52,78%);9613
DAT326 Domain Specific Languages of Mathematics 2017/2018 LP3-LP3;13 (34,21%);12063
DAT335 Data Management 2017/2018 LP3-LP3;10 (71,43%);12325
EDA092 Operating systems 2013/2014 LP2-LP2;36 (34,62%);2540
EDA092 Operating systems 2014/2015 LP2-LP2;40 (40,40%);4701
EDA092 Operating systems 2015/2016 LP2-LP2;33 (30,56%);7200
EDA092 Operating systems 2016/2017 LP2-LP2;38 (33,04%);9389
EDA093 Operating systems 2017/2018 LP1-LP1;43 (48,31%);11117
EDA122 Fault-tolerant computer systems 2013/2014 LP1-LP1;28 (32,56%);2302
EDA122 Fault-tolerant computer systems 2014/2015 LP1-LP1;51 (43,59%);4173
EDA122 Fault-tolerant computer systems 2015/2016 LP1-LP1;55 (46,22%);6411
EDA122 Fault-tolerant computer systems 2016/2017 LP1-LP1;57 (42,54%);8437
EDA222 Real time systems 2013/2014 LP3-LP3;29 (37,18%);1793
EDA222 Real time systems 2014/2015 LP3-LP3;24 (39,34%);5217
EDA222 Real time systems 2015/2016 LP3-LP3;28 (35,90%);7404
EDA222 Real time systems 2016/2017 LP3-LP3;27 (37,50%);9787
EDA223 Real time systems 2017/2018 LP3-LP3;41 (54,67%);12297
EDA234 Digital konstruktion, projektkurs 2013/2014 LP2-LP2;10 (37,04%);2592
EDA234 Digital konstruktion, projektkurs 2014/2015 LP2-LP2;19 (59,38%);4301
EDA234 Digital konstruktion, projektkurs 2015/2016 LP2-LP2;10 (40,00%);6878
EDA234 Digital project laboratory 2017/2018 LP4-LP4;6 (50,00%);12657
EDA263 Computer security 2013/2014 LP3-LP3;36 (30,00%);1381
EDA263 Computer security 2014/2015 LP3-LP3;36 (28,80%);5313
EDA263 Computer security 2015/2016 LP3-LP3;47 (30,52%);7590
EDA263 Computer security 2016/2017 LP3-LP3;39 (33,33%);9643
EDA263 Computer security 2017/2018 LP3-LP3;63 (40,13%);12185
EDA322 Digital design 2013/2014 LP3-LP3;35 (35,35%);1865
EDA322 Digital design 2014/2015 LP3-LP3;67 (37,85%);5349
EDA322 Digital design 2015/2016 LP3-LP3;48 (32,88%);7624
EDA322 Digital design 2016/2017 LP3-LP3;43 (30,50%);9759
