programme;course_tag;report_id
TKKEF;ENM160;9567
TKKEF;ENM160;11586
TKKEF;FFM332;3352
TKKEF;FFM332;5742
TKKEF;FFM332;7924
TKKEF;FFM332;10271
TKKEF;FFM332;12743
TKKEF;FFY012;1831
TKKEF;FFY012;5347
TKKEF;FFY012;7622
TKKEF;FFY012;9665
TKKEF;FFY012;12233
TKKEF;FFY616;2500
TKKEF;FFY616;4281
TKKEF;FFY616;6856
TKKEF;FFY616;9265
TKKEF;FFY616;11320
TKKEF;FUF040;2312
TKKEF;FUF040;4183
TKKEF;FUF040;6421
TKKEF;FUF040;8445
TKKEF;FUF040;10921
TKKEF;KAA051;3336
TKKEF;KAA051;5638
TKKEF;KAA052;8324
TKKEF;KAA052;10471
TKKEF;KAA052;12577
TKKEF;KAA060;2724
TKKEF;KAA060;4425
TKKEF;KAA060;7146
TKKEF;KAA060;9353
TKKEF;KAA060;11376
TKKEF;KAA095;2112
TKKEF;KAA095;3969
TKKEF;KAA095;6175
TKKEF;KAA095;8811
TKKEF;KAA095;10861
TKKEF;KAA146;3566
TKKEF;KAA146;5782
TKKEF;KAA146;7956
TKKEF;KAA146;10343
TKKEF;KAA146;12481
TKKEF;KBB045;1429
TKKEF;KBB045;4981
TKKEF;KBB045;7452
TKKEF;KBT062;3012
TKKEF;KBT062;4663
TKKEF;KBT062;6832
TKKEF;KBT062;9253
TKKEF;KBT062;11620
TKKEF;KBT255;5413
TKKEF;KBT255;7558
TKKEF;KBT255;9993
TKKEF;KBT255;12115
TKKEF;KBT275;8330
TKKEF;KBT275;10497
TKKEF;KBT275;12641
TKKEF;KKM051;2658
TKKEF;KKM051;4395
TKKEF;KKM051;7120
TKKEF;KKM052;9565
TKKEF;KKM052;11584
TKKEF;KKR100;2662
TKKEF;KKR100;4537
TKKEF;KKR100;6718
TKKEF;KOO081;1807
TKKEF;KVM034;3254
TKKEF;KVM034;5860
TKKEF;KVM091;1926
TKKEF;KVM091;3717
TKKEF;KVM091;6239
TKKEF;KVM091;8661
TKKEF;KVM091;10719
TKKEF;MHA081;8278
TKKEF;MHA081;10463
TKKEF;MHA081;12571
TKKEF;MVE030;1433
TKKEF;MVE030;4985
TKKEF;MVE290;7460
TKKEF;MVE290;9827
TKKEF;MVE290;11937
TKKEF;MVE295;2304
TKKEF;MVE295;4175
TKKEF;MVE295;6413
TKKEF;MVE295;8439
TKKEF;MVE295;11011
TKKEF;MVE370;3518
TKKEF;MVE370;5486
TKKEF;MVE370;8126
TKKEF;MVE370;10153
TKKEF;MVE370;12767
TKKEF;MVE395;3650
TKKEF;MVE395;5922
TKKEF;MVE395;8092
TKKEF;MVE395;10535
TKKEF;MVE395;12671
TKKEF;MVE455;12011
TKKEF;MVE460;6585
TKKEF;MVE460;8789
TKKEF;MVE460;10847
TKKEF;MVE465;7252
TKKEF;MVE465;9457
TKKEF;MVE465;11500
TKKEF;MVE470;7750
TKKEF;MVE470;9937
TKKEF;MVE470;12067
