name;ans_freq;report_id
ENM160 Energiteknik 2016/2017 LP2-LP2;43 (65,15%);9567
ENM160 Energiteknik 2017/2018 LP2-LP2;24 (33,80%);11586
ESS216 Reglerteknik 2013/2014 LP2-LP2;19 (41,30%);3008
ESS216 Reglerteknik 2014/2015 LP2-LP2;26 (43,33%);4377
ESS216 Reglerteknik 2015/2016 LP2-LP2;24 (34,78%);6946
ESS217 Reglerteknik och mätteknik 2016/2017 LP2-LP2;27 (48,21%);9573
ESS217 Reglerteknik och mätteknik 2017/2018 LP2-LP2;13 (32,50%);11464
FFY401 Fysik 2014/2015 LP4-LP4;39 (28,06%);5590
FFY401 Fysik 2015/2016 LP4-LP4;53 (39,26%);8026
FFY401 Fysik 2016/2017 LP4-LP4;37 (25,34%);10317
FFY401 Fysik 2017/2018 LP4-LP4;46 (29,68%);12457
KAA051 Matematisk modellering 2013/2014 LP4-LP4;24 (52,17%);3336
KAA051 Matematisk modellering 2014/2015 LP4-LP4;28 (52,83%);5638
KAA052 Matematisk modellering i kemitekniken 2015/2016 LP4-LP4;20 (34,48%);8324
KAA052 Matematisk modellering i kemitekniken 2016/2017 LP4-LP4;15 (38,46%);10471
KAA052 Matematisk modellering i kemitekniken 2017/2018 LP4-LP4;16 (44,44%);12577
KAA060 Transportprocesser 2013/2014 LP2-LP2;86 (41,35%);2724
KAA060 Transportprocesser 2014/2015 LP2-LP2;105 (44,12%);4425
KAA060 Transportprocesser 2015/2016 LP2-LP2;74 (36,63%);7146
KAA060 Transportprocesser 2016/2017 LP2-LP2;56 (27,86%);9353
KAA060 Transportprocesser 2017/2018 LP2-LP2;67 (33,17%);11376
KAA095 Separations- och apparatteknik 2013/2014 LP1-LP1;31 (39,24%);2112
KAA095 Separations- och apparatteknik 2014/2015 LP1-LP1;37 (43,53%);3969
KAA095 Separations- och apparatteknik 2015/2016 LP1-LP1;45 (43,69%);6175
KAA095 Separations- och apparatteknik 2016/2017 LP1-LP1;45 (57,69%);8811
KAA095 Separations- och apparatteknik 2017/2018 LP1-LP1;34 (53,97%);10861
