programme;course_tag;report_id
TKMAS;ATH100;3284
TKMAS;ATH100;5023
TKMAS;ATH100;
TKMAS;ATH100;7990
TKMAS;ATH100;12497
TKMAS;CTE031;1571
TKMAS;CTE031;5261
TKMAS;CTE031;7704
TKMAS;CTE031;9899
TKMAS;CTE031;12131
TKMAS;DAT170;1545
TKMAS;DAT171;7588
TKMAS;DAT171;9763
TKMAS;DAT171;11897
TKMAS;DAT171;5443
TKMAS;ENM025;2946
TKMAS;ENM025;4607
TKMAS;ENM025;6782
TKMAS;ENM025;9213
TKMAS;ENM025;11278
TKMAS;ERE033;2642
TKMAS;ERE033;4349
TKMAS;ERE033;6920
TKMAS;ERE033;9313
TKMAS;ERE033;11348
TKMAS;IEK102;3538
TKMAS;IEK102;5654
TKMAS;IEK102;8232
TKMAS;IEK102;10459
TKMAS;IEK102;12567
TKMAS;LMA224;12207
TKMAS;MEN126;1487
TKMAS;MEN126;5289
TKMAS;MEN126;7730
TKMAS;MEN126;9983
TKMAS;MEN126;12105
TKMAS;MHA021;2898
TKMAS;MHA021;4947
TKMAS;MHA021;7060
TKMAS;MHA021;9007
TKMAS;MHA021;11658
TKMAS;MMF092;2664
TKMAS;MMF092;4539
TKMAS;MMF092;6720
TKMAS;MMF092;9101
TKMAS;MMF092;11192
TKMAS;MMF174;2854
TKMAS;MMF175;4935
TKMAS;MMF176;7248
TKMAS;MMF176;9429
TKMAS;MMF176;11480
TKMAS;MPR095;2552
TKMAS;MPR095;4711
TKMAS;MPR095;7208
TKMAS;MPR095;9411
TKMAS;MPR095;11454
TKMAS;MTF042;1479
TKMAS;MTF042;5281
TKMAS;MTF042;7724
TKMAS;MTF042;9977
TKMAS;MTF042;12101
TKMAS;MTF052;2166
TKMAS;MTF052;3875
TKMAS;MTF052;6519
TKMAS;MTF052;8751
TKMAS;MTF052;10646
TKMAS;MTF114;1709
TKMAS;MTF114;5065
TKMAS;MTF114;7638
TKMAS;MTF114;9673
TKMAS;MTF115;12291
TKMAS;MTM021;1585
TKMAS;MTM021;5207
TKMAS;MTM021;7394
TKMAS;MTM021;9963
TKMAS;MTM021;12093
TKMAS;MTM026;3188
TKMAS;MTM026;5570
TKMAS;MTM026;8000
TKMAS;MTM026;10375
TKMAS;MTM026;12609
TKMAS;MTT085;2210
TKMAS;MTT085;3911
TKMAS;MTT085;6117
TKMAS;MTT085;8803
TKMAS;MTT085;10857
TKMAS;MVE100;1389
TKMAS;MVE100;5321
TKMAS;MVE100;7598
TKMAS;MVE100;9647
TKMAS;MVE100;12219
TKMAS;MVE255;3544
TKMAS;MVE255;5972
TKMAS;MVE255;8182
TKMAS;MVE255;10549
TKMAS;MVE255;12689
TKMAS;MVE370;3518
TKMAS;MVE370;5486
TKMAS;MVE370;8126
TKMAS;MVE370;10153
TKMAS;MVE370;12767
TKMAS;PPU055;2948
TKMAS;PPU055;4609
TKMAS;PPU055;6784
TKMAS;PPU055;9215
TKMAS;PPU055;11280
TKMAS;PPU061;12199
TKMAS;PPU155;2982
TKMAS;PPU156;4937
TKMAS;PPU156;7014
TKMAS;PPU156;8975
TKMAS;PPU156;11552
TKMAS;PPU175;3462
TKMAS;PPU175;5714
TKMAS;PPU175;7902
TKMAS;PPU175;10265
TKMAS;PPU175;12607
TKMAS;PPU210;3022
TKMAS;PPU210;4665
TKMAS;PPU210;6834
TKMAS;PPU210;9477
TKMAS;PPU210;11510
TKMAS;SSY060;2086
TKMAS;SSY060;3805
TKMAS;SSY061;6563
TKMAS;SSY061;8775
TKMAS;SSY061;10791
TKMAS;TEK125;1417
TKMAS;TEK125;5343
TKMAS;TEK125;7618
TKMAS;TEK125;9663
TKMAS;TEK125;12231
TKMAS;TEK225;1423
TKMAS;TEK225;4977
TKMAS;TEK225;7446
TKMAS;TEK440;3454
TKMAS;TEK440;5708
TKMAS;TEK440;7896
TKMAS;TEK440;10263
TKMAS;TEK440;12399
TKMAS;TEK475;9039
TKMAS;TEK475;11688
TKMAS;TEK475;2402
TKMAS;TEK475;4793
TKMAS;TEK475;7114
TKMAS;TME031;2126
TKMAS;TME031;3979
TKMAS;TME031;6185
TKMAS;TME031;8611
TKMAS;TME031;10689
TKMAS;TME135;280
TKMAS;TME136;4233
TKMAS;TME136;6441
TKMAS;TME136;8851
TKMAS;TME136;10891
TKMAS;TMS062;3204
TKMAS;TMS062;5582
TKMAS;TMS062;8012
TKMAS;TMS062;10385
TKMAS;TMS062;12511
TKMAS;TMV151;2480
TKMAS;TMV151;4263
TKMAS;TMV151;6842
TKMAS;TMV151;9177
TKMAS;TMV151;11250
TKMAS;TMV166;1431
TKMAS;TMV166;4983
TKMAS;TMV166;7454
TKMAS;TMV166;9823
TKMAS;TMV166;11933
TKMAS;TMV220;1525
TKMAS;TMV220;5017
TKMAS;TMV220;7438
TKMAS;TMV220;9761
TKMAS;TMV225;2322
TKMAS;TMV225;3987
TKMAS;TMV225;6193
TKMAS;TMV225;8591
TKMAS;TMV225;10673
TKMAS;VTA121;1467
TKMAS;VTA121;5271
TKMAS;VTA121;7714
TKMAS;VTA121;9765
TKMAS;ATH100;14666
TKMAS;CLS045;21625
TKMAS;CTE031;14475
TKMAS;CTE031;16606
TKMAS;CTE031;18847
TKMAS;CTE031;21069
TKMAS;DAT171;14497
TKMAS;DAT171;16818
TKMAS;DAT171;18969
TKMAS;DAT171;21237
TKMAS;ERE033;18307
TKMAS;ERE033;13579
TKMAS;ERE033;15811
TKMAS;ERE033;20425
TKMAS;IEK102;14813
TKMAS;LMA224;14379
TKMAS;LMA224;16558
TKMAS;LMA224;19063
TKMAS;LMA224;21169
TKMAS;MEN126;14545
TKMAS;MEN127;16860
TKMAS;MEN127;18747
TKMAS;MEN127;21309
TKMAS;MHA021;13781
TKMAS;MHA021;16163
TKMAS;MHA021;18363
TKMAS;MHA021;20501
TKMAS;MMF092;18241
TKMAS;MMF092;20321
TKMAS;MMF092;14049
TKMAS;MMF092;16347
TKMAS;MMF176;13679
TKMAS;MMF176;15917
TKMAS;MMF176;18191
TKMAS;MMF176;20907
TKMAS;MMS130;19678
TKMAS;MMS131;22183
TKMAS;MPR095;13651
TKMAS;MPR095;16131
TKMAS;MPR095;18255
TKMAS;MPR095;20351
TKMAS;MTF042;14541
TKMAS;MTF042;16666
TKMAS;MTF042;18935
TKMAS;MTF042;21227
TKMAS;MTF052;13060
TKMAS;MTF053;17541
TKMAS;MTF053;20136
TKMAS;MTF053;22650
TKMAS;MTF053;15748
TKMAS;MTF115;19033
TKMAS;MTF115;21125
TKMAS;MTF115;14439
TKMAS;MTF115;16668
TKMAS;MTM021;14313
TKMAS;MTM021;16564
TKMAS;MTM021;19069
TKMAS;MTM021;21319
TKMAS;MTM026;14851
TKMAS;MTM026;17049
TKMAS;MTM026;19354
TKMAS;MTM026;22103
TKMAS;MTT085;13314
TKMAS;MTT085;15616
TKMAS;MTT085;17849
TKMAS;MTT085;19804
TKMAS;MTT085;22502
TKMAS;MVE100;14387
TKMAS;MVE100;16764
TKMAS;MVE100;18783
TKMAS;MVE101;21391
TKMAS;MVE255;19474
TKMAS;MVE255;21857
TKMAS;MVE255;14704
TKMAS;MVE255;17363
TKMAS;MVE370;14931
TKMAS;MVE370;17225
TKMAS;MVE370;19578
TKMAS;MVE370;21945
TKMAS;MVE590;17413
TKMAS;MVE590;19272
TKMAS;MVE591;22185
TKMAS;PPU055;16167
TKMAS;PPU055;18309
TKMAS;PPU055;20427
TKMAS;PPU055;13531
TKMAS;PPU061;14369
TKMAS;PPU061;16530
TKMAS;PPU061;18829
TKMAS;PPU061;21477
TKMAS;PPU156;13959
TKMAS;PPU156;16085
TKMAS;PPU156;18631
TKMAS;PPU156;20799
TKMAS;PPU175;14849
TKMAS;PPU175;17055
TKMAS;PPU175;19334
TKMAS;PPU175;22063
TKMAS;PPU210;13657
TKMAS;PPU210;15891
TKMAS;PPU210;18523
TKMAS;PPU210;20335
TKMAS;SEE020;14087
TKMAS;SEE020;16207
TKMAS;SEE020;18389
TKMAS;SEE020;20547
TKMAS;SSY061;17737
TKMAS;SSY061;19952
TKMAS;SSY061;22518
TKMAS;SSY061;13278
TKMAS;SSY061;15562
TKMAS;TEK125;21393
TKMAS;TEK125;14397
TKMAS;TEK125;16442
TKMAS;TEK125;18785
TKMAS;TEK440;14987
TKMAS;TEK441;17411
TKMAS;TEK441;19270
TKMAS;TEK441;21935
TKMAS;TEK475;13813
