name;ans_freq;report_id
ATH100 Arkitektur och stadsbyggande: En kulturhistorisk orientering 2013/2014 LP3-LP4;76 (37,44%);3284
ATH100 Arkitektur och stadsbyggande: En kulturhistorisk orientering 2014/2015 LP3-LP3;52 (36,11%);5023
ATH100 Arkitektur och stadsbyggande: En kulturhistorisk orientering 2014/2015 LP3-LP4 (Kompletterande enkät);46 (31,94%);
ATH100 Arkitektur och stadsbyggande: En kulturhistorisk orientering 2015/2016 LP3-LP4;44 (29,33%);7990
ATH100 Arkitektur och stadsbyggande: En kulturhistorisk orientering 2017/2018 LP3-LP4;24 (41,38%);12497
CTE031 Teknikhistoria 2013/2014 LP3-LP3;72 (42,35%);1571
CTE031 Teknikhistoria 2014/2015 LP3-LP3;77 (44,00%);5261
CTE031 Teknikhistoria 2015/2016 LP3-LP3;68 (35,23%);7704
CTE031 Teknikhistoria 2016/2017 LP3-LP3;51 (40,16%);9899
CTE031 Teknikhistoria 2017/2018 LP3-LP3;29 (29,59%);12131
DAT170 Object oriented programming 2013/2014 LP3-LP3;9 (45,00%);1545
DAT171 Object-oriented programming in Python 2015/2016 LP3-LP3;15 (34,88%);7588
DAT171 Object-oriented programming in Python 2016/2017 LP3-LP3;37 (52,11%);9763
DAT171 Object-oriented programming in Python 2017/2018 LP3-LP3;21 (31,82%);11897
DAT171 Objektorienterad programmeringsteknik i Python 2014/2015 LP3-LP3;28 (59,57%);5443
ENM025 Energiomvandling 2013/2014 LP2-LP2;6 (25,00%);2946
ENM025 Energiomvandling 2014/2015 LP2-LP2;10 (55,56%);4607
ENM025 Energiomvandling 2015/2016 LP2-LP2;14 (46,67%);6782
ENM025 Energiomvandling 2016/2017 LP2-LP2;7 (63,64%);9213
ENM025 Energiomvandling 2017/2018 LP2-LP2;15 (55,56%);11278
ERE033 Reglerteknik 2013/2014 LP2-LP2;91 (40,81%);2642
ERE033 Reglerteknik 2014/2015 LP2-LP2;90 (44,78%);4349
ERE033 Reglerteknik 2015/2016 LP2-LP2;59 (28,50%);6920
ERE033 Reglerteknik 2016/2017 LP2-LP2;74 (34,58%);9313
ERE033 Reglerteknik 2017/2018 LP2-LP2;75 (32,89%);11348
IEK102 Industriell ekonomi 2013/2014 LP4-LP4;74 (44,58%);3538
IEK102 Industriell ekonomi 2014/2015 LP4-LP4;48 (28,40%);5654
IEK102 Industriell ekonomi 2015/2016 LP4-LP4;60 (37,27%);8232
IEK102 Industriell ekonomi 2016/2017 LP4-LP4;43 (24,86%);10459
IEK102 Industriell ekonomi 2017/2018 LP4-LP4;27 (18,37%);12567
