programme;course_tag;report_id
TKMED;DAT405;22350
TKMED;DAT445;19175
TKMED;DAT445;21255
TKMED;EEN075;19696
TKMED;EEN075;21819
TKMED;EEN080;18683
TKMED;EEN080;20533
TKMED;EEN085;18707
TKMED;EEN085;20599
TKMED;EEN160;22129
TKMED;EEN165;20296
TKMED;EEN170;21493
TKMED;MCC160;19718
TKMED;MCC160;22430
TKMED;MCC175;20945
TKMED;SEE120;22127
TKMED;SSY051;22260
TKMED;TMA044;19866
TKMED;TMA044;22135
TKMED;TMA982;21177
TKMED;TMS146;20008
TKMED;TMS146;22284
TKMED;TMV137;18481
TKMED;TMV137;20671
TKMED;TMV143;18887
TKMED;TMV143;21143
TKMED;TMV157;17653
TKMED;TMV157;19816
TKMED;TMV157;22618
