name;ans_freq;report_id
ATH100 Arkitektur och stadsbyggande: En kulturhistorisk orientering 2017/2018 LP3-LP4;24 (41,38%);12497
BOM195 Byggnadsmaterial 2015/2016 LP2-LP2;111 (45,31%);7220
BOM195 Byggnadsmaterial 2016/2017 LP2-LP2;110 (38,60%);9451
BOM195 Byggnadsmaterial 2017/2018 LP2-LP2;141 (48,29%);11498
BOM200 Teknisk geologi 2015/2016 LP4-LP4;56 (28,87%);8304
BOM200 Teknisk geologi 2016/2017 LP4-LP4;59 (28,37%);10487
BOM200 Teknisk geologi 2017/2018 LP4-LP4;48 (25,95%);12633
BOM205 Byggnaders funktioner och utformning 2015/2016 LP1-LP1;145 (55,77%);6557
BOM205 Byggnaders funktioner och utformning 2016/2017 LP1-LP1;129 (51,60%);8797
BOM205 Byggnaders funktioner och utformning 2017/2018 LP1-LP1;98 (40,50%);10853
BOM210 Urban space and functions 2015/2016 LP3-LP3;74 (32,17%);7734
BOM210 Urban space and functions 2016/2017 LP3-LP3;93 (38,91%);9949
BOM210 Urban space and functions 2017/2018 LP3-LP3;55 (24,89%);12077
BOM220 Fysik och kemi för samhällsbyggare 2015/2016 LP2-LP2;111 (54,15%);7222
BOM220 Fysik och kemi för samhällsbyggare 2016/2017 LP2-LP2;94 (44,76%);9453
BOM221 Fysik och kemi för samhällsbyggare 2017/2018 LP2-LP2;88 (44,67%);11812
BOM225 Ekonomi och organisation i byggsektorn 2016/2017 LP2-LP2;67 (31,02%);9455
BOM225 Ekonomi och organisation i byggsektorn 2017/2018 LP2-LP2;118 (49,58%);11592
BOM230 Ljud och vibrationer 2015/2016 LP3-LP4;28 (26,17%);8312
BOM230 Ljud och vibrationer 2016/2017 LP3-LP4;34 (25,19%);10495
BOM230 Ljud och vibrationer 2017/2018 LP3-LP4;28 (23,53%);12639
BOM265 Byggnadsteknologi 2016/2017 LP3-LP3;97 (47,09%);10013
BOM265 Byggnadsteknologi 2017/2018 LP3-LP3;93 (39,08%);12013
BOM270 Vattenresurser och hydraulik 2016/2017 LP4-LP4;53 (31,74%);10573
BOM270 Vattenresurser och hydraulik 2017/2018 LP4-LP4;62 (30,54%);12593
BOM295 Byggproduktionsledning och logistik 2017/2018 LP3-LP3;24 (30,00%);12275
BOM305 Projekteringsmetodik samordning 2017/2018 LP2-LP2;11 (23,40%);11752
BOM340 Konstruktionsteknik 2017/2018 LP3-LP3;32 (41,56%);12277
BOM345 Vattenteknik och miljö 2017/2018 LP2-LP2;23 (54,76%);11756
BOM350 Hydrologi och dagvatten 2017/2018 LP4-LP4;12 (38,71%);12867
BOM355 Geoteknik 2017/2018 LP1-LP1;51 (31,48%);11107
BOM360 Infrastruktur, civilingenjör 2017/2018 LP3-LP3;14 (51,85%);12281
BOM365 Byggnadsfysik och byggnadsakustik, civilingenjör 2017/2018 LP2-LP2;32 (51,61%);11762
BOM370 Hydrogeologi och geoteknik, civilingenjör 2017/2018 LP2-LP2;16 (55,17%);11770
BOM375 Installationsteknik, civilingenjör 2017/2018 LP4-LP4;7 (31,82%);12877
BOM380 Ledarskap och kommunikation, arbetssäkerhet och riskhantering 2017/2018 LP4-LP4;4 (10,53%);12383
BOM575 Teknisk samhällsplanering 2016/2017 LP4-LP4;39 (37,50%);10575
BOM575 Teknisk samhällsplanering 2017/2018 LP4-LP4;45 (37,82%);12717
BOM580 Bärande konstruktioner 2016/2017 LP2-LP2;50 (28,90%);9551
BOM580 Bärande konstruktioner 2017/2018 LP2-LP2;93 (45,37%);11576
CTE031 Teknikhistoria 2017/2018 LP3-LP3;29 (29,59%);12131
ENM165 Miljö- och resursanalys för hållbar samhällsbyggnad 2016/2017 LP3-LP3;78 (37,86%);10027
ENM165 Miljö- och resursanalys för hållbar samhällsbyggnad 2017/2018 LP3-LP3;92 (40,17%);12161
ITS066 Genus och teknik 2017/2018 LP2-LP2;12 (32,43%);11830
ITS070 Nya medier: Teknik, mobilitet och samhällsförändring 2017/2018 LP2-LP2;4 (13,33%);11394
MVE450 Beräkningsmatematik 2015/2016 LP2-LP2;92 (44,88%);7228
MVE450 Beräkningsmatematik 2016/2017 LP2-LP2;100 (41,32%);9415
MVE450 Beräkningsmatematik 2017/2018 LP2-LP2;115 (46,94%);11416
MVE475 Inledande matematisk analys 2015/2016 LP1-LP1;100 (46,73%);6555
MVE475 Inledande matematisk analys 2016/2017 LP1-LP1;111 (42,21%);8795
MVE475 Inledande matematisk analys 2017/2018 LP1-LP1;96 (29,00%);10851
MVE480 Linjär algebra 2016/2017 LP3-LP3;94 (40,00%);9947
MVE480 Linjär algebra 2017/2018 LP3-LP3;80 (30,19%);12075
MVE480 Linjär algebra och differentialekvationer 2015/2016 LP3-LP3;65 (33,68%);7732
MVE495 Mathematical statistics 2016/2017 LP1-LP1;57 (32,02%);8879
MVE495 Mathematical statistics 2017/2018 LP1-LP1;63 (30,88%);10929
MVE500 Serier och derivator i flera variabler 2016/2017 LP1-LP1;37 (32,17%);8903
MVE500 Serier och derivator i flera variabler 2017/2018 LP1-LP1;61 (36,09%);10945
MVE515 Beräkningsmatematik, fortsättningskurs 2017/2018 LP1-LP1;37 (35,58%);11101
TEK130 Vetenskapshistoria 2017/2018 LP4-LP4;18 (31,58%);12475
TEK226 Technology and society 2017/2018 LP2-LP2;34 (29,31%);11820
TEK226 Technology and society 2017/2018 LP3-LP3;37 (33,33%);12305
TEK570 Teknikens etik 2017/2018 LP4-LP4;7 (18,42%);12905
TME275 Mekanik 2015/2016 LP4-LP4;48 (25,26%);8306
TME275 Mekanik 2016/2017 LP4-LP4;70 (26,92%);10489
TME275 Mekanik 2017/2018 LP4-LP4;59 (22,18%);12635
TME300 Hållfasthetslära 2016/2017 LP1-LP1;40 (36,70%);8891
TME300 Hållfasthetslära 2017/2018 LP1-LP1;59 (38,31%);10937
TME305 Strukturmekanik 2017/2018 LP2-LP2;27 (58,70%);11772
ACE185 Hydrologi och dagvatten 2019/2020 LP4-LP4;22 (42,31%);17431
ACE185 Hydrologi och dagvatten 2020/2021 LP4-LP4;12 (30,00%);19248
ACE185 Hydrologi och dagvatten 2021/2022 LP4-LP4;18 (34,62%);21917
ATH100 Arkitektur och stadsbyggande: En kulturhistorisk orientering 2018/2019 LP3-LP4;10 (16,13%);14666
ATH100 Arkitektur och stadsbyggande: En kulturhistorisk orientering 2019/2020 LP3-LP4;16 (22,54%);16936
ATH100 Arkitektur och stadsbyggande: En kulturhistorisk orientering 2021/2022 LP3-LP4;14 (28,00%);21650
BOM195 Byggnadsmaterial 2018/2019 LP2-LP2;81 (31,15%);13697
BOM195 Byggnadsmaterial 2019/2020 LP2-LP2;79 (28,73%);15927
BOM195 Byggnadsmaterial 2020/2021 LP2-LP2;115 (41,37%);18229
BOM195 Byggnadsmaterial 2021/2022 LP2-LP2;112 (38,23%);20311
BOM200 Teknisk geologi 2018/2019 LP4-LP4;27 (13,50%);14871
BOM200 Teknisk geologi 2019/2020 LP4-LP4;57 (26,89%);17157
BOM200 Teknisk geologi 2020/2021 LP4-LP4;45 (20,93%);19626
BOM200 Teknisk geologi 2021/2022 LP4-LP4;46 (21,00%);22045
BOM205 Byggnaders funktioner och utformning 2018/2019 LP1-LP1;123 (46,42%);13086
BOM205 Byggnaders funktioner och utformning 2019/2020 LP1-LP1;96 (36,50%);15442
BOM205 Byggnaders funktioner och utformning 2020/2021 LP1-LP1;115 (41,52%);17913
BOM205 Byggnaders funktioner och utformning 2021/2022 LP1-LP1;91 (30,23%);20156
