name;ans_freq;report_id
DAT036 Datastrukturer 2013/2014 LP2-LP2;46 (38,66%);2460
DAT037 Data structures 2014/2015 LP2-LP2;72 (47,37%);4925
DAT037 Datastrukturer 2015/2016 LP2-LP2;54 (34,18%);7020
DAT037 Datastrukturer 2016/2017 LP2-LP2;60 (38,22%);8977
DAT037 Datastrukturer 2017/2018 LP2-LP2;58 (29,90%);11634
DAT325 Domain Specific Languages of Mathematics 2015/2016 LP3-LP3;21 (75,00%);7758
DAT326 Domain Specific Languages of Mathematics 2016/2017 LP3-LP3;19 (52,78%);9613
DAT326 Domain Specific Languages of Mathematics 2017/2018 LP3-LP3;13 (34,21%);12063
EEF031 Elektromagnetisk fältteori 2013/2014 LP2-LP2;75 (37,88%);2956
EEF031 Elektromagnetisk fältteori 2014/2015 LP2-LP2;64 (32,99%);4615
EEF031 Elektromagnetisk fältteori 2015/2016 LP2-LP2;55 (26,07%);6788
EEF031 Elektromagnetisk fältteori 2016/2017 LP2-LP2;50 (26,32%);9219
EEF031 Elektromagnetisk fältteori 2017/2018 LP2-LP2;48 (23,41%);11284
ESS017 Automatic control 2013/2014 LP1-LP1;23 (31,51%);132
ESS017 Automatic control 2014/2015 LP1-LP1;33 (37,50%);3715
ESS017 Reglerteknik 2015/2016 LP1-LP1;38 (36,19%);6237
ESS017 Reglerteknik 2016/2017 LP1-LP1;33 (36,26%);8659
ESS017 Reglerteknik 2017/2018 LP1-LP1;31 (37,35%);10717
FFM516 Mekanik 1 2013/2014 LP2-LP3;71 (38,38%);1837
FFM516 Mekanik 1 2014/2015 LP2-LP3;61 (30,20%);5247
FFM516 Mekanik 1 2015/2016 LP2-LP3;53 (28,04%);7434
FFM516 Mekanik 1 2016/2017 LP2-LP3;74 (37,95%);9815
FFM516 Mekanik 1 2017/2018 LP2-LP3;57 (28,50%);11927
FKA150 Inledande teknisk kommunikation 2013/2014 LP3-LP3;25 (46,30%);1561
FKA150 Inledande teknisk kommunikation 2014/2015 LP3-LP3;18 (34,62%);5047
FKA150 Inledande teknisk kommunikation 2015/2016 LP3-LP3;9 (23,08%);7500
IEK415 Industriell ekonomi 2013/2014 LP3-LP3;35 (34,31%);1757
IEK415 Industriell ekonomi 2014/2015 LP3-LP3;39 (33,91%);5393
IEK415 Industriell ekonomi 2015/2016 LP3-LP3;26 (26,80%);7574
KBB032 Biochemistry and molecular biology 2013/2014 LP1-LP1;8 (66,67%);2268
KBB032 Biochemistry and molecular biology 2014/2015 LP1-LP1;7 (70,00%);3951
KBB032 Biochemistry and molecular biology 2015/2016 LP1-LP1;14 (70,00%);6159
KBB032 Biochemistry and molecular biology 2016/2017 LP1-LP1;11 (45,83%);8553
KBB032 Biochemistry and molecular biology 2017/2018 LP1-LP1;7 (46,67%);11083
KVM091 Termodynamik 2013/2014 LP1-LP1;64 (42,11%);1926
KVM091 Termodynamik 2014/2015 LP1-LP1;75 (43,10%);3717
KVM091 Termodynamik 2015/2016 LP1-LP1;71 (42,51%);6239
KVM091 Termodynamik 2016/2017 LP1-LP1;50 (34,25%);8661
KVM091 Termodynamik 2017/2018 LP1-LP1;53 (32,72%);10719
MTF052 Strömningsmekanik 2013/2014 LP1-LP1;60 (30,61%);2166
MTF052 Strömningsmekanik 2014/2015 LP1-LP1;105 (49,30%);3875
MTF052 Strömningsmekanik 2015/2016 LP1-LP1;102 (48,34%);6519
MTF052 Strömningsmekanik 2016/2017 LP1-LP1;88 (42,11%);8751
MTF052 Strömningsmekanik 2017/2018 LP1-LP1;72 (34,12%);10646
MVE030 Fourieranalys 2016/2017 LP3-LP3;61 (32,28%);9825
MVE030 Fourieranalys 2017/2018 LP3-LP3;58 (29,59%);11935
MVE035 Flervariabelanalys 2013/2014 LP3-LP3;85 (40,48%);1633
MVE035 Flervariabelanalys 2014/2015 LP3-LP3;79 (35,75%);5131
MVE035 Flervariabelanalys 2015/2016 LP3-LP3;65 (34,76%);7330
MVE035 Flervariabelanalys 2016/2017 LP3-LP3;83 (41,09%);9705
MVE035 Flervariabelanalys 2017/2018 LP3-LP3;65 (31,40%);12263
MVE095 Options and mathematics 2013/2014 LP4-LP4;21 (42,00%);3496
MVE095 Options and mathematics 2014/2015 LP4-LP4;16 (38,10%);5944
MVE095 Options and mathematics 2015/2016 LP4-LP4;16 (22,22%);8108
MVE095 Options and mathematics 2016/2017 LP2-LP2;15 (40,54%);9527
MVE095 Options and mathematics 2017/2018 LP2-LP2;12 (32,43%);11548
MVE150 Algebra 2014/2015 LP3-LP3;7 (43,75%);4999
MVE150 Algebra 2015/2016 LP3-LP3;3 (37,50%);7468
MVE150 Algebra 2016/2017 LP3-LP3;10 (55,56%);9837
MVE150 Algebra 2017/2018 LP3-LP3;5 (26,32%);11943
MVE161 Ordinary differential equations and mathematical modelling 2013/2014 LP4-LP4;26 (41,27%);3640
MVE161 Ordinary differential equations and mathematical modelling 2014/2015 LP4-LP4;25 (33,78%);5650
MVE162 Ordinary differential equations and mathematical modelling 2015/2016 LP4-LP4;20 (29,41%);8346
MVE162 Ordinary differential equations and mathematical modelling 2016/2017 LP4-LP4;14 (18,42%);10333
MVE162 Ordinary differential equations and mathematical modelling 2017/2018 LP4-LP4;17 (28,33%);12473
MVE165 Linear and integer optimisation with applications 2013/2014 LP4-LP4;24 (61,54%);3150
MVE165 Linear and integer optimization with applications 2014/2015 LP4-LP4;20 (30,30%);5884
MVE165 Linear and integer optimization with applications 2015/2016 LP4-LP4;13 (26,53%);7818
MVE165 Linear and integer optimization with applications 2016/2017 LP4-LP4;20 (25,64%);10211
MVE165 Linear and integer optimization with applications 2017/2018 LP4-LP4;11 (22,45%);12797
MVE170 Basic stochastic processes 2013/2014 LP2-LP2;51 (52,58%);1244
MVE170 Basic stochastic processes 2014/2015 LP2-LP2;45 (34,62%);4631
MVE170 Basic stochastic processes 2015/2016 LP2-LP2;34 (26,77%);6804
MVE170 Basic stochastic processes 2016/2017 LP2-LP2;30 (22,39%);9231
MVE170 Basic stochastic processes 2017/2018 LP2-LP2;23 (24,47%);11294
MVE230 Matematisk programvara 2013/2014 LP1-LP1;28 (51,85%);2142
MVE230 Matematisk programvara 2014/2015 LP1-LP1;28 (47,46%);3851
MVE230 Matematisk programvara 2015/2016 LP1-LP1;19 (34,55%);6497
MVE230 Matematisk programvara 2016/2017 LP1-LP1;20 (31,75%);8771
MVE230 Matematisk programvara 2017/2018 LP1-LP1;18 (29,03%);10787
MVE235 Matematisk orientering 2013/2014 LP2-LP2;35 (61,40%);2482
MVE235 Matematisk orientering 2014/2015 LP2-LP2;20 (32,26%);4265
MVE235 Matematisk orientering 2015/2016 LP2-LP2;15 (26,79%);6844
MVE235 Matematisk orientering 2016/2017 LP2-LP2;20 (30,30%);9257
MVE235 Matematisk orientering 2017/2018 LP2-LP2;15 (25,42%);11312
MVE290 Fouriermetoder 2013/2014 LP3-LP3;21 (38,89%);1437
MVE290 Fouriermetoder 2014/2015 LP3-LP3;26 (43,33%);4989
MVE290 Fouriermetoder 2015/2016 LP3-LP3;28 (33,73%);7460
MVE295 Komplex analys 2013/2014 LP1-LP1;43 (51,81%);2304
MVE295 Komplex analys 2014/2015 LP1-LP1;43 (47,25%);4175
MVE295 Komplex analys 2015/2016 LP1-LP1;35 (39,33%);6413
MVE295 Komplex analys 2016/2017 LP1-LP1;30 (32,26%);8439
MVE295 Komplex analys 2017/2018 LP1-LP1;36 (37,89%);11011
MVE300 Sannolikhet, statistik och risk 2013/2014 LP4-LP4;22 (40,74%);3376
MVE300 Sannolikhet, statistik och risk 2014/2015 LP4-LP4;14 (23,73%);5758
MVE300 Sannolikhet, statistik och risk 2015/2016 LP4-LP4;20 (37,74%);7938
MVE301 Sannolikhet, statistik och risk 2016/2017 LP4-LP4;16 (31,37%);10159
