programme;course_tag;report_id
TKTFY;EDA452;2840
TKTFY;EDA452;4391
TKTFY;EDA452;7116
TKTFY;EDA452;9041
TKTFY;EDA452;11690
TKTFY;EEF031;2956
TKTFY;EEF031;4615
TKTFY;EEF031;6788
TKTFY;EEF031;9219
TKTFY;EEF031;11284
TKTFY;EEM021;2426
TKTFY;EEM021;4747
TKTFY;EEM021;7070
TKTFY;EEM021;9173
TKTFY;EEM021;11554
TKTFY;ERE091;3290
TKTFY;ERE091;5602
TKTFY;ERE091;8038
TKTFY;ERE091;10399
TKTFY;ERE091;12523
TKTFY;ESS116;2562
TKTFY;ESS116;4719
TKTFY;ESS116;7216
TKTFY;ESS116;9485
TKTFY;ESS116;11458
TKTFY;FFM232;1932
TKTFY;FFM232;3719
TKTFY;FFM232;6241
TKTFY;FFM232;8663
TKTFY;FFM234;11151
TKTFY;FFM516;1837
TKTFY;FFM516;5247
TKTFY;FFM516;7434
TKTFY;FFM516;9815
TKTFY;FFM516;11927
TKTFY;FFM521;3176
TKTFY;FFM521;5908
TKTFY;FFM521;8220
TKTFY;FFM521;10321
TKTFY;FFM521;12461
TKTFY;FFY012;1831
TKTFY;FFY012;5347
TKTFY;FFY012;7622
TKTFY;FFY012;9665
TKTFY;FFY012;12233
TKTFY;FFY091;1657
TKTFY;FFY091;5153
TKTFY;FFY091;7348
TKTFY;FFY091;9715
TKTFY;FFY091;12269
TKTFY;FTF131;
TKTFY;FTF131;4865
TKTFY;FTF131;7062
TKTFY;FTF131;9009
TKTFY;FTF131;11660
TKTFY;FTF140;2102
TKTFY;FTF140;3959
TKTFY;FTF140;6167
TKTFY;FTF140;8561
TKTFY;FTF140;10653
TKTFY;FUF040;2312
TKTFY;FUF040;4183
TKTFY;FUF040;6421
TKTFY;FUF040;8445
TKTFY;FUF040;10921
TKTFY;FUF045;2616
TKTFY;FUF045;4323
TKTFY;FUF045;6900
TKTFY;FUF045;9299
TKTFY;FUF045;11340
TKTFY;FUF050;3340
TKTFY;FUF050;5640
TKTFY;FUF050;8072
TKTFY;FUF050;10423
TKTFY;FUF050;12539
TKTFY;MHA081;3222
TKTFY;MHA081;5838
TKTFY;MHA081;8278
TKTFY;MHA081;10463
TKTFY;MHA081;12571
TKTFY;MVE025;2342
TKTFY;MVE025;4007
TKTFY;MVE025;6211
TKTFY;MVE025;8635
TKTFY;MVE025;10913
TKTFY;MVE030;1433
TKTFY;MVE030;4985
TKTFY;MVE030;7456
TKTFY;MVE030;9825
