name;ans_freq;report_id
ATH100 Arkitektur och stadsbyggande: En kulturhistorisk orientering 2014/2015 LP3-LP3;52 (36,11%);5023
ATH100 Arkitektur och stadsbyggande: En kulturhistorisk orientering 2014/2015 LP3-LP4 (Kompletterande enkät);46 (31,94%);
ATH100 Arkitektur och stadsbyggande: En kulturhistorisk orientering 2015/2016 LP3-LP4;44 (29,33%);7990
BMT010 Global issues in sustainable development 2013/2014 LP3-LP4;4 (30,77%);3356
BMT010 Global issues in sustainable development 2014/2015 LP3-LP4;3 (37,50%);5746
BMT010 Global issues in sustainable development 2015/2016 LP3-LP4;8 (32,00%);7928
BMT015 Bärande konstruktioner 2013/2014 LP2-LP2;54 (48,65%);2428
BMT015 Bärande konstruktioner 2014/2015 LP2-LP2;53 (38,41%);4749
BMT015 Bärande konstruktioner 2015/2016 LP2-LP2;55 (32,16%);7072
BMT015 Bärande konstruktioner 2016/2017 LP2-LP2;46 (32,17%);9513
BMT020 Konstruktionsteknik 2013/2014 LP3-LP3;27 (33,33%);1809
BMT020 Konstruktionsteknik 2014/2015 LP3-LP3;26 (46,43%);5227
BMT020 Konstruktionsteknik 2015/2016 LP3-LP3;17 (26,15%);7414
BMT020 Konstruktionsteknik 2016/2017 LP3-LP3;25 (42,37%);9965
BOM101 Byggnadsfysik, inneklimat och tekniska system 2013/2014 LP4-LP4;41 (33,61%);3602
BOM101 Byggnadsfysik, inneklimat och tekniska system 2014/2015 LP4-LP4;41 (28,87%);5810
BOM101 Byggnadsfysik, inneklimat och tekniska system 2015/2016 LP4-LP4;32 (24,06%);7980
DAT026 Matematisk modellering och problemlösning 2014/2015 LP4-LP4;47 (33,10%);5624
DAT026 Matematisk modellering och problemlösning 2015/2016 LP4-LP4;47 (35,88%);8060
DAT026 Matematisk modellering och problemlösning 2016/2017 LP4-LP4;34 (28,10%);10413
FFY371 Materie- och vågteori 2013/2014 LP2-LP2;48 (32,43%);2622
FFY371 Materie- och vågteori 2014/2015 LP2-LP2;70 (47,30%);4329
FFY371 Materie- och vågteori 2015/2016 LP2-LP2;35 (25,36%);6906
IBB152 Byggnadsekonomi och organisation 2013/2014 LP1-LP1;28 (26,67%);2062
IBB152 Byggnadsekonomi och organisation 2014/2015 LP1-LP1;76 (58,02%);3785
