programme;course_tag;report_id
TSILO;LNC342;15428
TSILO;MMS021;16872
TSILO;MMS021;18755
TSILO;MMS021;21349
TSILO;MMS045;17479
TSILO;MMS065;19844
TSILO;MMS065;22528
TSILO;MMS070;20391
TSILO;MMS075;21139
TSILO;MMS085;21646
TSILO;MMS090;16359
TSILO;MMS090;18563
TSILO;MMS090;20393
TSILO;MMS095;16433
TSILO;MMS095;18143
TSILO;MMS095;20829
TSILO;MMS101;16830
TSILO;MMS102;18977
TSILO;MMS102;21405
TSILO;MMS105;17449
TSILO;MMS105;19470
TSILO;MMS105;21855
TSILO;MMS110;19662
TSILO;MMS110;22027
TSILO;MMS115;19155
TSILO;MMS115;21403
TSILO;MMS120;18649
TSILO;MMS120;20833
TSILO;MMS140;17995
TSILO;MMS140;20036
TSILO;MMS225;21678
TSILO;MMS265;22698
TSILO;SJO296;20499
TSILO;SJO590;21067
TSILO;SJO631;21163
TSILO;SJO915;18533
TSILO;SJO915;20341
TSILO;TEK261;20791
TSILO;TEK341;17639
TSILO;TEK341;19776
TSILO;TEK341;22556
TSILO;TEK375;17095
TSILO;TEK375;19402
TSILO;TEK375;21661
TSILO;TEK700;20363
TSILO;TEK705;15726
TSILO;TEK705;19768
TSILO;TEK705;22550
TSILO;TEK710;19306
TSILO;TEK716;20236
TSILO;TEK716;22506
TSILO;UNA016;21121
