name;ans_freq;report_id
LNC342 Sjöfartens marknader 2019/2020 LP1-LP1;11 (22,45%);15428
MMS021 Fartygsoperationer från ett ombordperspektiv 2019/2020 LP3-LP3;20 (42,55%);16872
MMS021 Fartygsoperationer från ett ombordperspektiv 2020/2021 LP3-LP3;17 (26,56%);18755
MMS021 Fartygsoperationer från ett ombordperspektiv 2021/2022 LP3-LP3;30 (44,78%);21349
MMS045 Project management 2020/2021 LP1-LP1;42 (54,55%);17479
MMS065 Ports and distribution nodes 2021/2022 LP1-LP1;14 (35,90%);19844
MMS065 Ports and distribution nodes 2022/2023 LP1-LP1;15 (30,00%);22528
MMS070 Liner shipping 2021/2022 LP2-LP2;9 (25,00%);20391
MMS075 Statistical modeling in logistics 2021/2022 LP3-LP3;9 (33,33%);21139
MMS085 Marine risks and insurance 2021/2022 LP4-LP4;8 (24,24%);21646
MMS090 Lasthantering och farligt gods 2019/2020 LP2-LP2;16 (33,33%);16359
MMS090 Lasthantering och farligt gods 2020/2021 LP2-LP2;29 (45,31%);18563
MMS090 Lasthantering och farligt gods 2021/2022 LP2-LP2;42 (61,76%);20393
MMS095 Handelsrätt 2019/2020 LP2-LP2;15 (28,30%);16433
MMS095 Handelsrätt 2020/2021 LP2-LP2;39 (59,09%);18143
MMS095 Handelsrätt 2021/2022 LP2-LP2;46 (67,65%);20829
MMS101 Multimodal transporträtt och logistikavtal 2019/2020 LP3-LP3;20 (41,67%);16830
MMS102 Multimodal transporträtt och logistikavtal 2020/2021 LP3-LP3;16 (24,24%);18977
MMS102 Multimodal transporträtt och logistikavtal 2021/2022 LP3-LP3;28 (42,42%);21405
MMS105 Fartygs befraktning, operation och ship management 2019/2020 LP4-LP4;23 (46,00%);17449
MMS105 Fartygs befraktning, operation och ship management 2020/2021 LP4-LP4;16 (25,00%);19470
MMS105 Fartygs befraktning, operation och ship management 2021/2022 LP4-LP4;28 (42,42%);21855
MMS110 Miljöledning inom logistik och sjöfart 2020/2021 LP4-LP4;17 (41,46%);19662
MMS110 Miljöledning inom logistik och sjöfart 2021/2022 LP4-LP4;10 (18,52%);22027
MMS115 Praktik för Internationell logistik 2020/2021 LP3-LP3;11 (39,29%);19155
MMS115 Praktik för Internationell logistik 2021/2022 LP3-LP3;10 (22,22%);21403
MMS120 Maritime law and ship management 2020/2021 LP2-LP2;14 (31,82%);18649
MMS120 Maritime law and ship management 2021/2022 LP2-LP2;12 (21,43%);20833
MMS140 Introduktion till internationell logistik 2020/2021 LP1-LP1;31 (46,27%);17995
MMS140 Introduktion till internationell logistik 2021/2022 LP1-LP1;48 (68,57%);20036
MMS225 Organisation och ledarskap 2021/2022 LP4-LP4;13 (19,40%);21678
MMS265 Introduktion till internationell logistik 2022/2023 LP1-LP1;32 (53,33%);22698
SJO296 Shipbroking 2021/2022 LP2-LP2;10 (41,67%);20499
SJO590 Sjöfartsekonomi/ Logistik: B-uppsats 2021/2022 LP3-LP3;4 (36,36%);21067
SJO631 Fördjupningskurs i sjöfartens marknader 2021/2022 LP3-LP3;3 (27,27%);21163
SJO915 Applied statistics 2020/2021 LP2-LP2;17 (39,53%);18533
SJO915 Applied statistics 2021/2022 LP2-LP2;13 (21,67%);20341
TEK261 Business marketing and purchasing 2021/2022 LP2-LP2;6 (19,35%);20791
TEK341 Finansiell analys och värdering 2020/2021 LP1-LP1;47 (48,45%);17639
TEK341 Finansiell analys och värdering 2021/2022 LP1-LP1;32 (29,63%);19776
TEK341 Finansiell analys och värdering 2022/2023 LP1-LP1;48 (42,86%);22556
TEK375 Ekonomisk analys 2019/2020 LP4-LP4;58 (56,86%);17095
TEK375 Ekonomisk analys 2020/2021 LP4-LP4;31 (26,50%);19402
TEK375 Ekonomisk analys 2021/2022 LP4-LP4;42 (36,21%);21661
TEK700 Practical leadership and entrepreneurship 2021/2022 LP2-LP2;14 (34,15%);20363
TEK705 Logistik 2019/2020 LP1-LP1;14 (26,42%);15726
TEK705 Logistik 2021/2022 LP1-LP1;21 (36,21%);19768
TEK705 Logistik 2022/2023 LP1-LP1;38 (55,88%);22550
TEK710 Organisation och ledarskap 2020/2021 LP4-LP4;27 (29,35%);19306
TEK716 Economy of transport and distribution 2021/2022 LP1-LP1;19 (44,19%);20236
TEK716 Economy of transport and distribution 2022/2023 LP1-LP1;18 (32,73%);22506
UNA016 Environmental policy instruments 2021/2022 LP3-LP3;18 (30,00%);21121
