programme;course_tag;report_id
TSJKL;FSP032;1687
TSJKL;FSP032;5087
TSJKL;FSP032;7662
TSJKL;FSP032;9681
TSJKL;LNC022;3240
TSJKL;LNC022;5528
TSJKL;LNC022;8298
TSJKL;LNC046;2238
TSJKL;LNC046;3931
TSJKL;LNC046;6135
TSJKL;LNC047;2464
TSJKL;LNC047;4775
TSJKL;LNC047;7096
TSJKL;LNC061;2242
TSJKL;LNC061;3933
TSJKL;LNC061;6137
TSJKL;LNC071;2362
TSJKL;LNC071;4021
TSJKL;LNC071;6223
TSJKL;LNC071;8817
TSJKL;LNC071;11508
TSJKL;LNC088;2762
TSJKL;LNC088;4459
TSJKL;LNC088;6654
TSJKL;LNC184;3608
TSJKL;LNC184;5814
TSJKL;LNC184;7984
TSJKL;LNC184;9805
TSJKL;LNC185;10839
TSJKL;LNC185;1679
TSJKL;LNC185;4957
TSJKL;LNC185;7660
TSJKL;LNC185;8505
TSJKL;LNC301;6495
TSJKL;LNC301;8503
TSJKL;LNC301;12247
TSJKL;LNC301;2236
TSJKL;LNC301;3849
TSJKL;LNC323;2376
TSJKL;LNC323;4027
TSJKL;LNC323;6229
TSJKL;LNC323;8651
TSJKL;LNC323;11310
TSJKL;LSP271;3002
TSJKL;LSP272;4897
TSJKL;LSP272;6746
TSJKL;LSP272;9189
TSJKL;SJM001;8883
TSJKL;SJM002;11097
TSJKL;SJM005;8949
TSJKL;SJM005;11568
TSJKL;SJM010;8951
TSJKL;SJM010;11478
TSJKL;SJM015;10563
TSJKL;SJM015;12713
TSJKL;SJM020;10565
TSJKL;SJM020;12715
TSJKL;SJM025;10189
TSJKL;SJM025;12907
TSJKL;SJM030;11093
TSJKL;SJM035;11095
TSJKL;SJM040;12847
TSJKL;SJM040;
TSJKL;SJM040;12329
TSJKL;SJM045;12849
TSJKL;SJM050;12851
TSJKL;SJM055;12853
TSJKL;SJM065;12299
TSJKL;SJM100;11087
TSJKL;SJM105;11089
TSJKL;SJM110;11091
TSJKL;SJM115;11822
TSJKL;SJM120;11744
TSJKL;SJM125;11742
TSJKL;SJM135;11860
TSJKL;SJM140;11858
TSJKL;SJM145;11856
TSJKL;SJO112;2122
TSJKL;SJO114;4219
TSJKL;SJO114;6603
TSJKL;SJO114;8917
TSJKL;SJO114;11167
TSJKL;SJO118;3656
TSJKL;SJO119;6002
TSJKL;SJO119;8150
TSJKL;SJO119;10173
TSJKL;SJO123;11029
TSJKL;SJO123;1409
TSJKL;SJO123;4961
TSJKL;SJO123;7610
TSJKL;SJO123;8471
TSJKL;SJO124;3652
TSJKL;SJO124;5762
TSJKL;SJO124;7944
TSJKL;SJO124;9119
TSJKL;SJO126;2814
TSJKL;SJO126;4501
TSJKL;SJO126;6690
TSJKL;SJO126;9185
TSJKL;SJO126;11258
TSJKL;SJO131;1823
TSJKL;SJO131;5241
TSJKL;SJO131;7428
TSJKL;SJO131;9811
TSJKL;SJO137;2794
TSJKL;SJO137;4483
TSJKL;SJO137;6676
TSJKL;SJO158;2502
TSJKL;SJO158;4283
TSJKL;SJO158;6858
TSJKL;SJO291;1853
TSJKL;SJO292;5431
TSJKL;SJO292;7308
TSJKL;SJO302;1671
TSJKL;SJO302;5165
TSJKL;SJO302;7358
