name;ans_freq;report_id
FSP032 Engelsk kommunikation 2013/2014 LP3-LP3;36 (55,38%);1687
FSP032 English communication 2014/2015 LP3-LP3;11 (21,15%);5087
FSP032 English communication 2015/2016 LP3-LP3;23 (40,35%);7662
FSP032 English communication 2016/2017 LP3-LP3;24 (41,38%);9681
LNC022 Nautisk matematik 2013/2014 LP4-LP4;17 (22,37%);3240
LNC022 Nautisk matematik 2014/2015 LP4-LP4;22 (30,56%);5528
LNC022 Nautisk matematik 2015/2016 LP4-LP4;22 (30,56%);8298
LNC046 Terrester navigation 2013/2014 LP1-LP1;35 (42,68%);2238
LNC046 Terrester navigation 2014/2015 LP1-LP1;42 (48,28%);3931
LNC046 Terrester navigation 2015/2016 LP1-LP1;47 (59,49%);6135
LNC047 Sjömanskap A 2013/2014 LP2-LP2;22 (28,21%);2464
LNC047 Sjömanskap A 2014/2015 LP2-LP2;25 (30,12%);4775
LNC047 Sjömanskap A 2015/2016 LP2-LP2;25 (32,47%);7096
LNC061 Stabilitet och fartygskonstruktion 2013/2014 LP1-LP1;35 (40,70%);2242
LNC061 Stabilitet och fartygskonstruktion 2014/2015 LP1-LP1;40 (48,78%);3933
LNC061 Stabilitet och fartygskonstruktion 2015/2016 LP1-LP1;48 (63,16%);6137
LNC071 Maskin- och elteknik 2013/2014 LP1-LP1;12 (25,53%);2362
LNC071 Maskin- och elteknik 2014/2015 LP1-LP1;21 (35,00%);4021
LNC071 Maskin- och elteknik 2015/2016 LP1-LP1;17 (34,69%);6223
LNC071 Maskin- och elteknik 2016/2017 LP1-LP1;15 (30,61%);8817
LNC071 Maskin- och elteknik 2017/2018 LP2-LP2;17 (32,69%);11508
LNC088 Grundläggande sjötransportteknik 2013/2014 LP2-LP2;17 (20,99%);2762
LNC088 Grundläggande sjötransportteknik 2014/2015 LP2-LP2;31 (36,47%);4459
LNC088 Grundläggande sjötransportteknik 2015/2016 LP2-LP2;26 (32,91%);6654
LNC184 Sjukvård 2013/2014 LP4-LP4;21 (46,67%);3608
LNC184 Sjukvård 2014/2015 LP4-LP4;31 (58,49%);5814
LNC184 Sjukvård 2015/2016 LP4-LP4;17 (36,17%);7984
LNC184 Sjukvård 2016/2017 LP3-LP3;24 (48,98%);9805
LNC185 Advanced safety 2017/2018 LP1-LP1;18 (30,00%);10839
LNC185 Avancerad säkerhet 2013/2014 LP3-LP3;23 (43,40%);1679
LNC185 Avancerad säkerhet 2014/2015 LP3-LP3;22 (55,00%);4957
LNC185 Avancerad säkerhet 2015/2016 LP3-LP3;17 (36,17%);7660
LNC185 Avancerad säkerhet 2016/2017 LP1-LP1;16 (40,00%);8505
LNC301 Manoeuvring and controlled navigation 2015/2016 LP1-LP1;15 (28,85%);6495
LNC301 Manoeuvring and controlled navigation 2016/2017 LP1-LP1;18 (31,58%);8503
LNC301 Manoeuvring and controlled navigation 2017/2018 LP3-LP3;15 (28,85%);12247
LNC301 Manövrering och girplanering 2013/2014 LP1-LP1;17 (30,91%);2236
LNC301 Manövrering och girplanering 2014/2015 LP1-LP1;29 (50,00%);3849
LNC323 Sjötransport av bulklaster 2013/2014 LP1-LP1;16 (34,04%);2376
LNC323 Sjötransport av bulklaster 2014/2015 LP1-LP1;25 (39,06%);4027
LNC323 Sjötransport av bulklaster 2015/2016 LP1-LP1;14 (29,17%);6229
LNC323 Sjötransport av bulklaster 2016/2017 LP1-LP1;14 (25,45%);8651
LNC323 Sjötransport av bulklaster 2017/2018 LP2-LP2;15 (28,30%);11310
LSP271 Business communication 2013/2014 LP2-LP2;15 (26,79%);3002
LSP272 Business communication 2014/2015 LP2-LP2;18 (36,00%);4897
