programme;course_tag;report_id
TSLOG;FSP040;2824
TSLOG;FSP040;4511
TSLOG;FSP040;6700
TSLOG;FSP040;9127
TSLOG;LBT825;9193
TSLOG;LMT968;11256
TSLOG;LNC223;2184
TSLOG;LNC223;3889
TSLOG;LNC224;6565
TSLOG;LNC224;8777
TSLOG;LNC261;5818
TSLOG;LNC261;10509
TSLOG;LNC261;12653
TSLOG;LNC342;2404
TSLOG;LNC342;4133
TSLOG;LNC342;6337
TSLOG;LNC342;8617
TSLOG;LNC342;10695
TSLOG;LNC351;3658
TSLOG;LNC351;5924
TSLOG;LNC351;8094
TSLOG;LNC351;10433
TSLOG;LNC352;12865
TSLOG;LSP271;3002
TSLOG;LSP272;4897
TSLOG;LSP272;6746
TSLOG;LSP272;9189
TSLOG;LSP272;11560
TSLOG;SJO150;2454
TSLOG;SJO150;4681
TSLOG;SJO150;7178
TSLOG;SJO150;9373
TSLOG;SJO151;11790
TSLOG;SJO161;3064
TSLOG;SJO162;4917
TSLOG;SJO162;7012
TSLOG;SJO162;9507
TSLOG;SJO163;11133
TSLOG;SJO178;1705
TSLOG;SJO178;5187
TSLOG;SJO178;7372
TSLOG;SJO178;9735
TSLOG;SJO178;11875
TSLOG;SJO180;3306
TSLOG;SJO180;5826
TSLOG;SJO180;8268
TSLOG;SJO180;10453
TSLOG;SJO180;11392
TSLOG;SJO185;1681
TSLOG;SJO185;5169
TSLOG;SJO186;7742
TSLOG;SJO186;9933
TSLOG;SJO192;3058
TSLOG;SJO192;4819
TSLOG;SJO192;6976
TSLOG;SJO192;9503
TSLOG;SJO192;10887
TSLOG;SJO291;1853
TSLOG;SJO292;5431
TSLOG;SJO292;7308
TSLOG;SJO293;9617
TSLOG;SJO294;12303
TSLOG;SJO295;5259
TSLOG;SJO295;7702
TSLOG;SJO295;9927
TSLOG;SJO295;1683
TSLOG;SJO296;12285
TSLOG;SJO320;1527
TSLOG;SJO320;5019
TSLOG;SJO320;7440
TSLOG;SJO320;9969
TSLOG;SJO320;11854
TSLOG;SJO325;1403
TSLOG;SJO325;5333
TSLOG;SJO325;7606
TSLOG;SJO325;9653
TSLOG;SJO326;11862
TSLOG;SJO330;2040
TSLOG;SJO330;3763
TSLOG;SJO330;6233
TSLOG;SJO330;8655
TSLOG;SJO331;11135
TSLOG;SJO331;12283
TSLOG;SJO336;3380
TSLOG;SJO337;5505
TSLOG;SJO337;7806
TSLOG;SJO338;10109
TSLOG;SJO338;12369
TSLOG;SJO341;3004
TSLOG;SJO341;4659
TSLOG;SJO341;6828
TSLOG;SJO341;9249
TSLOG;SJO341;11474
TSLOG;SJO347;2800
TSLOG;SJO347;4487
TSLOG;SJO347;6680
TSLOG;SJO347;9091
TSLOG;SJO347;11734
TSLOG;SJO585;2356
TSLOG;SJO585;4017
TSLOG;SJO585;6219
TSLOG;SJO585;8645
TSLOG;SJO586;11157
TSLOG;SJO681;2416
TSLOG;SJO681;4137
TSLOG;SJO681;6341
TSLOG;SJO681;8731
TSLOG;SJO681;10759
TSLOG;SJO915;11740
TSLOG;TEK261;3034
TSLOG;TEK261;4379
TSLOG;TEK261;6948
TSLOG;TEK375;12751
TSLOG;LNC261;14857
TSLOG;LNC261;17211
TSLOG;LNC342;12964
TSLOG;LNC352;14991
TSLOG;LSP272;13711
TSLOG;MMS020;14591
TSLOG;MMS045;15686
TSLOG;MMS065;15692
TSLOG;MMS065;17875
TSLOG;MMS070;16357
TSLOG;MMS070;18561
TSLOG;MMS075;16844
TSLOG;MMS075;19049
TSLOG;MMS085;16892
TSLOG;SJO151;13983
TSLOG;SJO164;14603
TSLOG;SJO164;16684
TSLOG;SJO180;13609
TSLOG;SJO192;13368
TSLOG;SJO294;14435
TSLOG;SJO296;14509
TSLOG;SJO296;16295
TSLOG;SJO296;18361
TSLOG;SJO320;14275
TSLOG;SJO320;16756
TSLOG;SJO326;13348
TSLOG;SJO326;16181
TSLOG;SJO332;14627
TSLOG;SJO338;14652
TSLOG;SJO341;13675
TSLOG;SJO347;13857
TSLOG;SJO586;13254
TSLOG;SJO682;13412
TSLOG;SJO841;17253
TSLOG;SJO915;16319
TSLOG;SJO915;14011
TSLOG;TEK261;16017
TSLOG;TEK261;18611
TSLOG;TEK341;15550
TSLOG;TEK341;13068
TSLOG;TEK375;14917
TSLOG;TEK700;18267
TSLOG;TEK700;15780
TSLOG;TEK710;16946
TSLOG;TEK710;19306
TSLOG;TEK715;15752
TSLOG;TEK715;17521
TSLOG;UNA016;16528
TSLOG;UNA016;18881
