programme;course_tag;report_id
ZBASS;KBT185;1811
ZBASS;KBT185;5229
ZBASS;KBT185;7416
ZBASS;KBT185;9967
ZBASS;KBT185;12095
ZBASS;LET923;2636
ZBASS;LET923;4343
ZBASS;LET923;6916
ZBASS;LET923;9309
ZBASS;LET923;11618
ZBASS;LMA164;3128
ZBASS;LMA538;3474
ZBASS;LMA538;5726
ZBASS;LMA538;7790
ZBASS;LMA538;10285
ZBASS;LMA538;12433
ZBASS;MVE285;1685
ZBASS;MVE285;5171
ZBASS;MVE285;7362
ZBASS;MVE285;9727
ZBASS;MVE285;11871
ZBASS;MVE425;5980
ZBASS;MVE425;7810
ZBASS;MVE425;10203
ZBASS;MVE425;12789
ZBASS;KBT185;14315
ZBASS;KBT185;16510
ZBASS;KBT185;18817
ZBASS;KBT185;21451
ZBASS;LET923;13931
ZBASS;LET923;16255
ZBASS;LET924;18685
ZBASS;LET924;20529
ZBASS;LMA538;14713
ZBASS;LMA538;16987
ZBASS;LMA538;19220
ZBASS;LMA538;21999
ZBASS;MVE285;14573
ZBASS;MVE285;16464
ZBASS;MVE285;19029
ZBASS;MVE285;21089
ZBASS;MVE425;14945
ZBASS;MVE425;17173
ZBASS;MVE426;19706
ZBASS;MVE426;21835
