name;ans_freq;report_id
KBT185 Projektkurs i kemi 2013/2014 LP3-LP3;14 (10,61%);1811
KBT185 Projektkurs i kemi 2014/2015 LP3-LP3;30 (28,57%);5229
KBT185 Projektkurs i kemi 2015/2016 LP3-LP3;30 (30,00%);7416
KBT185 Projektkurs i kemi 2016/2017 LP3-LP3;28 (33,33%);9967
KBT185 Projektkurs i kemi 2017/2018 LP3-LP3;17 (22,67%);12095
LET923 Kemi 2013/2014 LP2-LP2;91 (32,04%);2636
LET923 Kemi 2014/2015 LP2-LP2;111 (42,37%);4343
LET923 Kemi 2015/2016 LP2-LP2;103 (40,39%);6916
LET923 Kemi 2016/2017 LP2-LP2;76 (30,16%);9309
LET923 Kemi 2017/2018 LP2-LP2;84 (34,85%);11618
LMA164 Matematik 2013/2014 LP1-LP4;52 (17,87%);3128
LMA538 Fysik 2013/2014 LP1-LP4;44 (15,07%);3474
LMA538 Fysik 2014/2015 LP1-LP4;68 (25,56%);5726
LMA538 Fysik 2015/2016 LP1-LP4;57 (21,59%);7790
LMA538 Fysik 2016/2017 LP1-LP4;48 (18,68%);10285
LMA538 Fysik 2017/2018 LP1-LP4;42 (14,95%);12433
MVE285 Projektkurs i fysik 2013/2014 LP3-LP3;38 (33,63%);1685
MVE285 Projektkurs i fysik 2014/2015 LP3-LP3;48 (37,50%);5171
MVE285 Projektkurs i fysik 2015/2016 LP3-LP3;40 (30,53%);7362
MVE285 Projektkurs i fysik 2016/2017 LP3-LP3;43 (30,28%);9727
MVE285 Projektkurs i fysik 2017/2018 LP3-LP3;22 (18,18%);11871
MVE425 Matematik 2014/2015 LP1-LP4;59 (22,61%);5980
MVE425 Matematik 2015/2016 LP1-LP4;59 (22,35%);7810
MVE425 Matematik 2016/2017 LP1-LP4;52 (20,31%);10203
MVE425 Matematik 2017/2018 LP1-LP4;52 (18,44%);12789
KBT185 Projektkurs i kemi 2018/2019 LP3-LP3;38 (21,59%);14315
KBT185 Projektkurs i kemi 2019/2020 LP3-LP3;53 (37,06%);16510
KBT185 Projektkurs i kemi 2020/2021 LP3-LP3;38 (30,89%);18817
KBT185 Projektkurs i kemi 2021/2022 LP3-LP3;18 (17,31%);21451
LET923 Kemi 2018/2019 LP2-LP2;85 (24,85%);13931
LET923 Kemi 2019/2020 LP2-LP2;85 (24,64%);16255
LET924 Kemi 2020/2021 LP2-LP2;158 (47,16%);18685
LET924 Kemi 2021/2022 LP2-LP2;72 (23,68%);20529
LMA538 Fysik 2018/2019 LP1-LP4;45 (12,75%);14713
LMA538 Fysik 2019/2020 LP1-LP4;61 (17,68%);16987
LMA538 Fysik 2020/2021 LP1-LP4;82 (24,33%);19220
LMA538 Fysik 2021/2022 LP1-LP4;22 (7,21%);21999
MVE285 Projektkurs i fysik 2018/2019 LP3-LP3;26 (21,49%);14573
MVE285 Projektkurs i fysik 2019/2020 LP3-LP3;46 (35,38%);16464
MVE285 Projektkurs i fysik 2020/2021 LP3-LP3;59 (34,10%);19029
MVE285 Projektkurs i fysik 2021/2022 LP3-LP3;24 (14,29%);21089
MVE425 Matematik 2018/2019 LP1-LP4;55 (15,36%);14945
MVE425 Matematik 2019/2020 LP1-LP4;69 (21,70%);17173
MVE426 Matematik 2020/2021 LP1-LP4;81 (25,80%);19706
MVE426 Matematik 2021/2022 LP1-LP4;25 (7,89%);21835
