programme;course_tag;report_id
MTS;ATH100;3284
MTS;ATH100;5023
MTS;ATH100;
MTS;ATH100;7990
MTS;ATH100;12497
MTS;CTE031;1571
MTS;CTE031;5261
MTS;CTE031;7704
MTS;CTE031;9899
MTS;CTE031;12131
MTS;ENM015;2742
MTS;ENM015;4443
MTS;ENM015;7162
MTS;ENM015;9159
MTS;ENM015;11232
MTS;ITS016;1924
MTS;ITS016;4033
MTS;ITS065;2596
MTS;ITS065;4305
MTS;ITS065;6882
MTS;ITS065;9285
MTS;ITS066;11830
MTS;ITS070;2882
MTS;ITS070;4685
MTS;ITS070;7182
MTS;ITS070;9375
MTS;ITS070;11394
MTS;KBT265;5986
MTS;KBT265;8164
MTS;KBT265;10183
MTS;KBT265;12783
MTS;LSP530;2532
MTS;LSP530;4695
MTS;LSP530;7196
MTS;LSP530;9383
MTS;LSP530;11476
MTS;MVE370;8126
MTS;MVE420;5978
MTS;MVE420;8162
MTS;MVE420;10181
MTS;MVE420;12781
MTS;TEK130;3556
MTS;TEK130;5515
MTS;TEK130;7952
MTS;TEK130;10337
MTS;TEK130;12475
MTS;TEK225;2352
MTS;TEK225;2536
MTS;TEK225;1423
MTS;TEK225;3420
MTS;TEK225;4013
MTS;TEK225;4699
MTS;TEK225;4977
MTS;TEK225;6036
MTS;TEK225;6601
MTS;TEK225;7280
MTS;TEK225;7446
MTS;TEK225;8354
MTS;TEK225;8641
MTS;TEK225;9387
MTS;TEK225;10447
MTS;TEK226;11820
MTS;TEK226;12305
MTS;TEK236;8056
MTS;TEK237;10609
MTS;TEK237;12739
MTS;TEK320;2914
MTS;TEK320;4581
MTS;TEK320;6754
MTS;TEK320;9157
MTS;TEK320;11230
MTS;TEK565;11139
MTS;TEK570;12905
MTS;ATH100;14666
MTS;ATH100;16936
MTS;ATH100;21650
MTS;CLS045;21625
MTS;CTE031;14475
MTS;CTE031;16606
MTS;CTE031;18847
MTS;CTE031;21069
MTS;ENM015;13497
MTS;ENM015;16023
MTS;ENM015;18137
MTS;ENM015;20825
MTS;ITS066;13709
MTS;ITS066;15953
MTS;ITS066;18101
MTS;ITS066;20773
MTS;KBT265;14941
MTS;KBT265;17103
MTS;KBT265;19824
MTS;KBT265;22652
MTS;LSP530;13677
MTS;LSP530;15915
MTS;LSP530;18349
MTS;LSP530;20487
MTS;MVE420;15037
MTS;MVE420;17227
MTS;MVE420;19388
MTS;MVE420;21725
MTS;TEK130;15045
MTS;TEK130;17349
MTS;TEK130;19250
MTS;TEK130;21919
MTS;TEK226;13889
MTS;TEK226;14443
MTS;TEK226;16199
MTS;TEK226;16710
MTS;TEK226;18109
MTS;TEK226;19099
MTS;TEK226;20781
MTS;TEK226;21345
MTS;TEK237;14907
MTS;TEK237;17089
MTS;TEK237;19452
MTS;TEK237;21805
MTS;TEK320;18221
MTS;TEK320;20305
MTS;TEK320;13495
MTS;TEK320;16165
MTS;TEK565;13256
MTS;TEK565;15570
MTS;TEK565;17619
MTS;TEK566;20250
MTS;TEK566;22240
MTS;TEK570;15101
MTS;TEK570;17375
MTS;TEK571;19672
MTS;TEK571;21901
MTS;TEK600;14081
MTS;TEK600;16239
MTS;TEK600;18105
MTS;TEK600;20777
SBVII;SJM005;11568
SBVII;SJO516;10083
SBVII;SJO516;12373
SBVII;SJO855;8905
SBVII;SJO855;10805
SBVII;SJO860;8955
SBVII;SJO865;10831
SBVII;SJO865;8907
SBVII;SJO870;10031
SBVII;SJO870;12021
SBVII;SJO875;10033
SBVII;SJO875;12017
SBVII;SJO880;10035
SBVII;SJO880;12165
SBVII;SJO885;10037
