tag;name;sid
KPLOL;Lärande och ledarskap, kompletterande pedagogisk utbildning;1477
MPAEM;Materialteknik, masterprogram;147
MPALG;Datavetenskap;275
MPAME;Tillämpad mekanik, masterprogram;224
MPAPP;Tillämpad fysik, masterprogram;162
MPARC;Arkitektur och stadsbyggnad, masterprogram;61
MPAUT;Fordonsteknik, masterprogram;344
MPBDP;Entreprenörskap och affärsdesign, masterprogram;37
MPBIO;Bioteknik, masterprogram;252
MPBME;Medicinsk teknik, masterprogram;163
MPCAS;Komplexa adaptiva system, masterprogram;190
MPCOM;Kommunikationssystem, masterprogram;69
MPCSN;Datorer, nätverk och system, masterprogram;70
MPDCF;Organisering och ledning i bygg;265
MPDCM;Organisering och ledning i bygg;2032
MPDES;Teknisk design, masterprogram;38
MPDSC;Data science och AI, masterprogram;2024
MPDSD;Arkitektur och planering för hållbar framtid, masterprogram;62
MPEES;Inbyggda elektroniksystem, masterprogram;156
MPENM;Matematik och beräkningsvetenskap, masterprogram;80
MPEPO;Elkraftteknik, masterprogram;75
MPHPC;Högpresterande datorsystem, masterprogram;2026
MPIDE;Interaktionsdesign, masterprogram;215
MPIEE;Infrastruktur och miljöteknik, masterprogram;154
MPISC;Innovativ och hållbar kemiteknik, masterprogram;39
MPLOL;Lärande och ledarskap, masterprogram;197
MPMAR;Sjöfartens organisation och ledning, masterprogram;291
MPMCN;Materialkemi, masterprogram;65
MPMEI;Innovationsledning, masterprogram;108
MPMOB;Mobilitetsteknik, masterprogram;2330
MPNAT;Nanoteknologi, masterprogram;164
MPNAV;Marin teknik, masterprogram;203
MPNUE;Nukleär vetenskap och teknik, masterprogram;237
MPPAS;Fysik och astronomi, masterprogram;85
MPPDE;Produktutveckling, masterprogram;40
MPPEN;Produktionsutveckling, masterprogram;150
MPPHS;Fysik, masterprogram;2038
MPQOM;Kvalitet;151
MPSCM;Supply chain management, masterprogram;41
MPSEB;Konstruktionsteknik och byggnadsteknologi, masterprogram;320
MPSES;Hållbara energisystem, masterprogram;42
MPSOF;Software engineering and technology;171
MPSOV;Ljud och vibrationer, masterprogram;331
MPSYS;Systemteknik, masterprogram;105
MPTSE;Industriell ekologi, masterprogram;76
MPWPS;Trådlös teknik, fotonik och rymdteknik, masterprogram;165
TIPMA;Internationell projektledning, masterprogram;159
