programme;course_tag;report_id
KPLOL;CIU207;7250
KPLOL;CIU207;9431
KPLOL;CIU207;11482
KPLOL;CIU212;8787
KPLOL;CIU212;10845
KPLOL;CIU215;7726
KPLOL;CIU215;9979
KPLOL;CIU216;12315
KPLOL;CIU220;6545
KPLOL;CIU220;8823
KPLOL;CIU220;10871
KPLOL;CIU225;7210
KPLOL;CIU226;9539
KPLOL;CIU226;11434
KPLOL;CIU255;8547
KPLOL;CIU256;11145
KPLOL;CIU260;7900
KPLOL;CIU260;10501
KPLOL;CIU260;12645
KPLOL;MVE365;7546
KPLOL;MVE365;9611
KPLOL;MVE365;12041
KPLOL;MVE375;6367
KPLOL;MVE375;8401
KPLOL;MVE375;10979
KPLOL;MVE380;8292
KPLOL;MVE380;10519
KPLOL;MVE380;12603
KPLOL;MVE391;9545
KPLOL;MVE391;11570
KPLOL;TEK452;9549
KPLOL;TEK452;11574
KPLOL;CIU207;13681
KPLOL;CIU207;15919
KPLOL;CIU207;18297
KPLOL;CIU207;20413
KPLOL;CIU212;13076
KPLOL;CIU212;15332
KPLOL;CIU212;17579
KPLOL;CIU212;20196
KPLOL;CIU212;22220
KPLOL;CIU216;14523
KPLOL;CIU220;13100
KPLOL;CIU220;15354
KPLOL;CIU220;17473
KPLOL;CIU220;20046
KPLOL;CIU221;22730
KPLOL;CIU226;13641
KPLOL;CIU226;15897
KPLOL;CIU226;18467
KPLOL;CIU226;20659
KPLOL;CIU256;13258
KPLOL;CIU260;14883
KPLOL;CIU260;17159
KPLOL;CIU260;19628
KPLOL;CIU260;22047
KPLOL;CLS035;16874
KPLOL;CLS035;18757
KPLOL;CLS035;21351
KPLOL;CLS040;15734
KPLOL;CLS040;17507
KPLOL;CLS040;20078
KPLOL;CLS040;22354
KPLOL;MVE365;14493
KPLOL;MVE365;16570
KPLOL;MVE365;19003
KPLOL;MVE365;21465
KPLOL;MVE375;13150
KPLOL;MVE375;15486
KPLOL;MVE375;17901
KPLOL;MVE375;20094
KPLOL;MVE375;22362
KPLOL;MVE380;14823
KPLOL;MVE380;16954
KPLOL;MVE380;19460
KPLOL;MVE380;21811
KPLOL;MVE391;13717
KPLOL;MVE391;16067
KPLOL;MVE391;18063
KPLOL;MVE391;20719
KPLOL;TEK452;13719
KPLOL;TEK452;16111
KPLOL;TEK452;18601
KPLOL;TEK452;20741
