programme;course_tag;report_id
MPAEM;ENM145;4939
MPAEM;ENM145;7040
MPAEM;ENM145;8993
MPAEM;ENM145;11001
MPAEM;FKA196;2270
MPAEM;FKA196;4145
MPAEM;FKA196;6349
MPAEM;FKA196;8863
MPAEM;FKA196;10903
MPAEM;FMI040;3282
MPAEM;FMI040;5596
MPAEM;FMI040;8034
MPAEM;FMI040;10397
MPAEM;FMI040;12521
MPAEM;IEK312;9609
MPAEM;IEK312;12195
MPAEM;KBT095;1625
MPAEM;KBT095;5125
MPAEM;KBT095;7324
MPAEM;KBT095;9699
MPAEM;KBT095;12257
MPAEM;KKE013;1505
MPAEM;KKE013;5303
MPAEM;KKE013;7688
MPAEM;KKE013;9893
MPAEM;KKE013;12147
MPAEM;KPO045;1789
MPAEM;KPO045;5215
MPAEM;KPO045;7400
MPAEM;KPO045;9783
MPAEM;KPO045;11905
MPAEM;MCC080;3154
MPAEM;MCC080;5888
MPAEM;MCC080;8204
MPAEM;MCC080;10215
MPAEM;MCC080;12801
MPAEM;MHA042;3406
MPAEM;MHA042;5686
MPAEM;MHA042;8258
MPAEM;MHA043;10611
MPAEM;MHA043;12587
MPAEM;MMK082;2576
MPAEM;MMK082;4731
MPAEM;MMK082;6628
MPAEM;MMK082;9057
MPAEM;MMK082;11706
MPAEM;MMK162;1954
MPAEM;MMK162;3735
MPAEM;MMK162;6253
MPAEM;MMK162;8665
MPAEM;MMK162;10721
MPAEM;MMK221;2646
MPAEM;MMK221;4355
MPAEM;MMK221;6924
MPAEM;MMK221;9319
MPAEM;MMK221;11440
MPAEM;MMK232;2026
MPAEM;MMK232;4079
MPAEM;MMK232;6091
MPAEM;MMK232;8515
MPAEM;MMK232;11059
MPAEM;MPM052;3536
MPAEM;MPM052;5966
MPAEM;MPM052;8170
MPAEM;MPM052;10191
MPAEM;MPM091;1497
MPAEM;MPM091;6085
MPAEM;MPR034;2024
MPAEM;MPR034;4077
MPAEM;MPR034;6089
MPAEM;MPR034;8513
MPAEM;MPR034;10955
MPAEM;MTT046;3198
MPAEM;MTT046;5576
MPAEM;MTT046;8006
MPAEM;MTT047;10599
MPAEM;MTT047;12731
MPAEM;MTT065;7968
MPAEM;MTT065;10355
MPAEM;MTT065;12489
MPAEM;MTT081;2790
MPAEM;MTT081;4479
MPAEM;MTT081;6672
MPAEM;MTT081;9087
MPAEM;MTT081;11730
MPAEM;MTT090;2028
MPAEM;MTT090;4081
MPAEM;MTT090;6093
MPAEM;MTT090;8517
MPAEM;MTT090;11061
MPAEM;MTT100;2632
MPAEM;MTT100;4339
MPAEM;MTT100;6912
MPAEM;MTT100;9307
MPAEM;MTT100;11346
MPAEM;MTT106;9251
MPAEM;MTT107;11774
MPAEM;MTT120;10039
MPAEM;MTT120;12059
MPAEM;PPU215;10313
MPAEM;PPU215;12599
MPAEM;TEK475;9039
MPAEM;TEK475;11688
MPAEM;TEK475;2402
MPAEM;TEK475;4793
MPAEM;TEK475;7114
MPAEM;TIF030;1964
MPAEM;TIF030;3743
MPAEM;TIF030;6257
MPAEM;TIF030;8669
MPAEM;TIF030;10725
MPAEM;TIF050;2508
MPAEM;TIF050;4289
MPAEM;TIF050;6864
MPAEM;TIF050;9271
MPAEM;TIF050;11324
MPAEM;TIF110;1447
MPAEM;TIF110;4995
MPAEM;TIF110;7464
MPAEM;TIF110;9833
MPAEM;TIF110;11941
MPAEM;TIF115;3484
MPAEM;TIF116;5507
MPAEM;TME260;2262
MPAEM;TME260;3945
MPAEM;TME260;6153
MPAEM;TME260;8589
MPAEM;TME260;10671
MPAEM;TME265;4131
MPAEM;TME265;6335
MPAEM;TME265;8729
MPAEM;TME265;10967
MPAEM;TME265;2384
MPAEM;FKA196;13380
MPAEM;FKA196;15666
MPAEM;FKA196;17811
MPAEM;FKA196;20026
MPAEM;FKA196;22302
MPAEM;FMI040;14783
MPAEM;FMI040;16997
MPAEM;FMI040;19528
MPAEM;FMI040;21697
MPAEM;IEK312;14365
MPAEM;IEK313;16882
MPAEM;IEK313;18759
MPAEM;IEK313;21353
MPAEM;IMS055;16387
MPAEM;KBT095;14415
MPAEM;KBT095;16478
MPAEM;KBT095;18799
MPAEM;KBT095;21431
MPAEM;KKE013;14327
MPAEM;KKE013;16760
MPAEM;KKE013;19430
MPAEM;KPO045;14177
MPAEM;KPO045;16069
MPAEM;KPO045;18623
MPAEM;KPO045;20793
MPAEM;MCC080;14955
MPAEM;MCC080;19238
MPAEM;MHA043;14722
MPAEM;MHA043;17053
MPAEM;MHA043;19229
MPAEM;MHA043;22061
MPAEM;MMK082;13829
MPAEM;MMK082;15833
MPAEM;MMK082;18129
MPAEM;MMK082;20819
MPAEM;MMK162;12990
MPAEM;MMK162;15246
MPAEM;MMK162;17927
MPAEM;MMK162;20120
MPAEM;MMK162;22346
MPAEM;MMK221;13645
MPAEM;MMK221;15901
MPAEM;MMK221;18131
MPAEM;MMK221;20821
MPAEM;MMK232;13220
MPAEM;MMK232;15274
MPAEM;MMK232;17557
MPAEM;MMK232;20160
MPAEM;MMK232;22636
MPAEM;MPM052;13176
MPAEM;MPM052;15478
MPAEM;MPM052;17603
MPAEM;MPM052;20214
MPAEM;MPM052;22270
MPAEM;MPR034;13132
MPAEM;MPR034;15338
MPAEM;MPR034;17647
MPAEM;MPR034;19810
MPAEM;MPR034;22614
MPAEM;MTT047;14899
MPAEM;MTT047;17087
MPAEM;MTT047;19568
MPAEM;MTT047;21775
MPAEM;MTT081;13853
MPAEM;MTT081;15857
MPAEM;MTT081;18553
MPAEM;MTT081;20383
MPAEM;MTT090;13222
MPAEM;MTT090;15276
MPAEM;MTT090;17865
MPAEM;MTT090;19834
MPAEM;MTT090;22660
MPAEM;MTT100;13961
MPAEM;MTT100;16273
MPAEM;MTT100;18443
MPAEM;MTT100;20623
