name;ans_freq;report_id
ENM145 Leadership for sustainability transitions - Challenge Lab preparational course 2014/2015 LP2-LP2;12 (38,71%);4939
ENM145 Leadership for sustainability transitions - Challenge Lab preparational course 2015/2016 LP2-LP2;11 (30,56%);7040
ENM145 Leadership for sustainability transitions - Challenge Lab preparational course 2016/2017 LP2-LP2;24 (68,57%);8993
ENM145 Leadership for sustainability transitions 2017/2018 LP1-LP1;24 (64,86%);11001
FKA196 Fundamentals of micro- and nanotechnology 2013/2014 LP1-LP1;21 (53,85%);2270
FKA196 Fundamentals of micro- and nanotechnology 2014/2015 LP1-LP1;25 (69,44%);4145
FKA196 Fundamentals of micro- and nanotechnology 2015/2016 LP1-LP1;35 (56,45%);6349
FKA196 Fundamentals of micro- and nanotechnology 2016/2017 LP1-LP1;28 (54,90%);8863
FKA196 Fundamentals of micro- and nanotechnology 2017/2018 LP1-LP1;27 (64,29%);10903
FMI040 Semiconductor materials physics 2013/2014 LP4-LP4;8 (44,44%);3282
FMI040 Semiconductor materials physics 2014/2015 LP4-LP4;5 (33,33%);5596
FMI040 Semiconductor materials physics 2015/2016 LP4-LP4;10 (52,63%);8034
FMI040 Semiconductor materials physics 2016/2017 LP4-LP4;11 (52,38%);10397
FMI040 Semiconductor materials physics 2017/2018 LP4-LP4;8 (36,36%);12521
IEK312 Quality management 2016/2017 LP3-LP3;29 (43,94%);9609
IEK312 Quality management 2017/2018 LP3-LP3;30 (37,97%);12195
KBT095 Corrosion 2013/2014 LP3-LP3;27 (51,92%);1625
KBT095 Corrosion 2014/2015 LP3-LP3;30 (68,18%);5125
KBT095 Corrosion 2015/2016 LP3-LP3;15 (50,00%);7324
KBT095 Corrosion 2016/2017 LP3-LP3;9 (36,00%);9699
KBT095 Corrosion 2017/2018 LP3-LP3;20 (47,62%);12257
KKE013 Ceramics engineering 2013/2014 LP3-LP3;9 (47,37%);1505
KKE013 Ceramics engineering 2014/2015 LP3-LP3;7 (38,89%);5303
KKE013 Ceramics engineering 2015/2016 LP3-LP3;11 (61,11%);7688
KKE013 Ceramics engineering 2016/2017 LP3-LP3;9 (47,37%);9893
KKE013 Ceramics engineering 2017/2018 LP3-LP3;10 (37,04%);12147
KPO045 Biological materials 2013/2014 LP3-LP3;6 (54,55%);1789
KPO045 Biological materials 2014/2015 LP3-LP3;9 (56,25%);5215
KPO045 Biological materials 2015/2016 LP3-LP3;9 (45,00%);7400
KPO045 Biological materials 2016/2017 LP3-LP3;9 (50,00%);9783
KPO045 Biological materials 2017/2018 LP3-LP3;14 (42,42%);11905
MCC080 Liquid crystals, physics and applications 2013/2014 LP4-LP4;4 (57,14%);3154
MCC080 Liquid crystals, physics and applications 2014/2015 LP4-LP4;5 (45,45%);5888
MCC080 Liquid crystals, physics and applications 2015/2016 LP4-LP4;3 (100,00%);8204
MCC080 Liquid crystals, physics and applications 2016/2017 LP4-LP4;5 (71,43%);10215
MCC080 Liquid crystals, physics and applications 2017/2018 LP4-LP4;8 (53,33%);12801
