programme;course_tag;report_id
MPALG;DAT060;2310
MPALG;DAT060;4181
MPALG;DAT060;6419
MPALG;DAT060;8443
MPALG;DAT060;11015
MPALG;DAT105;2860
MPALG;DAT105;4827
MPALG;DAT105;6982
MPALG;DAT105;9153
MPALG;DAT105;11226
MPALG;DAT121;1493
MPALG;DAT121;5293
MPALG;DAT140;2110
MPALG;DAT140;3967
MPALG;DAT140;6173
MPALG;DAT140;8809
MPALG;DAT151;1695
MPALG;DAT151;5177
MPALG;DAT151;6634
MPALG;DAT151;9063
MPALG;DAT151;11710
MPALG;DAT277;12629
MPALG;DAT280;3170
MPALG;DAT280;5902
MPALG;DAT280;8214
MPALG;DAT280;10221
MPALG;DAT280;12807
MPALG;DAT315;7232
MPALG;DAT315;9419
MPALG;DAT315;11418
MPALG;DAT340;12293
MPALG;DAT345;12875
MPALG;DAT350;11149
MPALG;EDA222;1793
MPALG;EDA222;5217
MPALG;EDA222;7404
MPALG;EDA222;9787
MPALG;EDA223;12297
MPALG;EDA263;1381
MPALG;EDA263;5313
MPALG;EDA263;7590
MPALG;EDA263;9643
MPALG;EDA263;12185
MPALG;EDA491;3404
MPALG;EDA491;5534
MPALG;EDA491;8256
MPALG;EDA491;10441
MPALG;EDA491;12551
MPALG;SSY340;11129
MPALG;TDA183;2686
MPALG;TDA183;4557
MPALG;TDA183;6732
MPALG;TDA184;8953
MPALG;TDA184;11181
MPALG;TDA206;1611
MPALG;TDA206;5109
MPALG;TDA206;7682
MPALG;TDA206;9885
MPALG;TDA206;11981
MPALG;TDA231;1787
MPALG;TDA231;5213
MPALG;TDA231;7398
MPALG;TDA231;9781
MPALG;TDA231;12477
MPALG;TDA251;2606
MPALG;TDA251;4315
MPALG;TDA251;6890
MPALG;TDA251;9291
MPALG;TDA251;11594
MPALG;TDA282;3428
MPALG;TDA283;5990
MPALG;TDA283;8146
MPALG;TDA283;10545
MPALG;TDA283;12685
MPALG;TDA293;2124
MPALG;TDA293;3977
MPALG;TDA293;6183
MPALG;TDA293;8571
MPALG;TDA294;11131
MPALG;TDA342;1717
MPALG;TDA342;5197
MPALG;TDA342;7384
MPALG;TDA342;9743
MPALG;TDA342;11881
MPALG;TDA351;2732
MPALG;TDA351;4435
MPALG;TDA352;7238
MPALG;TDA352;9445
MPALG;TDA352;11494
MPALG;TDA361;2866
MPALG;TDA361;4835
MPALG;TDA361;6988
MPALG;TDA361;9529
MPALG;TDA362;11782
MPALG;TDA452;2496
MPALG;TDA452;4277
MPALG;TDA452;6852
MPALG;TDA452;9263
MPALG;TDA452;11316
MPALG;TDA507;3070
MPALG;TDA507;4821
MPALG;TDA507;6978
MPALG;TDA507;9519
MPALG;TDA507;11540
MPALG;TDA602;3478
MPALG;TDA602;5730
MPALG;TDA602;7912
MPALG;TDA602;10289
MPALG;TDA602;12439
MPALG;TIN092;2168
MPALG;TIN093;4241
MPALG;TIN093;6443
MPALG;TIN093;8455
MPALG;TIN093;11021
MPALG;TIN172;3662
MPALG;TIN172;5497
MPALG;TIN173;7836
MPALG;TIN174;10077
MPALG;TIN175;12331
MPALG;DAT060;13180
MPALG;DAT060;15394
MPALG;DAT060;17689
MPALG;DAT060;19886
MPALG;DAT060;22342
MPALG;DAT105;13491
MPALG;DAT105;15416
MPALG;DAT105;17527
MPALG;DAT105;20110
MPALG;DAT105;22374
MPALG;DAT151;13833
MPALG;DAT151;15835
MPALG;DAT151;18153
MPALG;DAT151;20855
MPALG;DAT278;16393
MPALG;DAT278;18073
MPALG;DAT278;20729
MPALG;DAT280;14959
MPALG;DAT280;17119
MPALG;DAT280;19604
MPALG;DAT280;22031
MPALG;DAT315;13631
MPALG;DAT315;15885
MPALG;DAT315;18295
MPALG;DAT315;20411
MPALG;DAT340;14525
MPALG;DAT340;16616
MPALG;DAT340;19131
MPALG;DAT340;19676
MPALG;DAT340;21459
MPALG;DAT340;21667
MPALG;DAT345;14690
MPALG;DAT346;16926
MPALG;DAT346;19274
MPALG;DAT350;13346
MPALG;DAT350;15634
MPALG;DAT350;17481
MPALG;DAT350;20054
MPALG;DAT350;22326
MPALG;DAT405;16902
MPALG;DAT405;18665
MPALG;DAT405;19159
MPALG;DAT405;20649
MPALG;DAT405;21247
MPALG;DAT410;18771
MPALG;DAT410;21363
MPALG;DAT415;15778
MPALG;DAT415;18007
MPALG;DAT415;20292
MPALG;DAT440;19694
MPALG;DAT440;21843
MPALG;DAT470;21669
MPALG;DAT475;22141
MPALG;EDA223;14533
MPALG;EDA223;16828
MPALG;EDA223;19023
MPALG;EDA223;21083
MPALG;EDA263;14355
MPALG;EDA263;16552
MPALG;EDA263;19061
MPALG;EDA263;21165
MPALG;EDA491;14801
MPALG;EDA491;17009
MPALG;EDA491;19658
MPALG;EDA491;22017
MPALG;EEN020;14113
MPALG;EEN020;16187
MPALG;EEN020;18375
MPALG;EEN020;20513
MPALG;SSY340;13250
MPALG;SSY340;15566
MPALG;SSY340;17757
MPALG;SSY340;19978
MPALG;SSY340;22482
MPALG;TDA184;14137
MPALG;TDA206;14227
MPALG;TDA206;16482
MPALG;TDA206;19045
MPALG;TDA206;21135
MPALG;TDA231;15015
MPALG;TDA232;17417
MPALG;TDA233;19161
MPALG;TDA233;21241
MPALG;TDA251;13737
MPALG;TDA251;15965
MPALG;TDA251;18571
MPALG;TDA251;20441
MPALG;TDA283;15127
MPALG;TDA283;17301
MPALG;TDA283;19264
MPALG;TDA283;21929
MPALG;TDA294;13328
MPALG;TDA294;15624
MPALG;TDA294;17851
MPALG;TDA294;19806
MPALG;TDA294;22582
MPALG;TDA342;14581
MPALG;TDA342;16776
MPALG;TDA342;18923
MPALG;TDA342;21195
MPALG;TDA352;13693
MPALG;TDA352;15895
MPALG;TDA352;18179
MPALG;TDA352;20877
MPALG;TDA362;13875
MPALG;TDA362;15867
MPALG;TDA362;18465
MPALG;TDA362;20657
MPALG;TDA452;13939
MPALG;TDA452;16263
MPALG;TDA452;18439
MPALG;TDA452;20621
MPALG;TDA507;13895
MPALG;TDA507;16015
