name;ans_freq;report_id
DAT060 Logic in computer science 2013/2014 LP1-LP1;37 (27,21%);2310
DAT060 Logic in computer science 2014/2015 LP1-LP1;65 (46,76%);4181
DAT060 Logic in computer science 2015/2016 LP1-LP1;51 (41,46%);6419
DAT060 Logic in computer science 2016/2017 LP1-LP1;54 (39,42%);8443
DAT060 Logic in computer science 2017/2018 LP1-LP1;60 (36,81%);11015
DAT105 Computer architecture 2013/2014 LP2-LP2;28 (44,44%);2860
DAT105 Computer architecture 2014/2015 LP2-LP2;11 (35,48%);4827
DAT105 Computer architecture 2015/2016 LP2-LP2;9 (28,13%);6982
DAT105 Computer architecture 2016/2017 LP2-LP2;14 (29,79%);9153
DAT105 Computer architecture 2017/2018 LP2-LP2;24 (44,44%);11226
DAT121 Programming paradigms 2013/2014 LP3-LP3;18 (38,30%);1493
DAT121 Programming paradigms 2014/2015 LP3-LP3;13 (27,08%);5293
DAT140 Types for programs and proofs 2013/2014 LP1-LP1;10 (32,26%);2110
DAT140 Types for programs and proofs 2014/2015 LP1-LP1;11 (33,33%);3967
DAT140 Types for programs and proofs 2015/2016 LP1-LP1;14 (43,75%);6173
DAT140 Types for programs and proofs 2016/2017 LP1-LP1;25 (43,86%);8809
DAT151 Programming language technology 2013/2014 LP3-LP3;41 (35,65%);1695
DAT151 Programming language technology 2014/2015 LP3-LP3;40 (33,06%);5177
DAT151 Programming language technology 2015/2016 LP2-LP2;37 (35,92%);6634
DAT151 Programming language technology 2016/2017 LP2-LP2;34 (30,36%);9063
DAT151 Programming language technology 2017/2018 LP2-LP2;58 (41,13%);11710
DAT277 Energy aware computing 2017/2018 LP4-LP4;7 (46,67%);12629
DAT280 Parallel functional programming 2013/2014 LP4-LP4;19 (48,72%);3170
DAT280 Parallel functional programming 2014/2015 LP4-LP4;24 (37,50%);5902
DAT280 Parallel functional programming 2015/2016 LP4-LP4;20 (27,40%);8214
DAT280 Parallel functional programming 2016/2017 LP4-LP4;16 (30,19%);10221
DAT280 Parallel functional programming 2017/2018 LP4-LP4;11 (26,83%);12807
DAT315 The computer scientist in society 2015/2016 LP2-LP2;32 (41,56%);7232
DAT315 The computer scientist in society 2016/2017 LP2-LP2;29 (29,29%);9419
DAT315 The computer scientist in society 2017/2018 LP2-LP2;26 (36,11%);11418
DAT340 Applied Machine Learning 2017/2018 LP3-LP3;32 (54,24%);12293
DAT345 Techniques for Large-scale Data 2017/2018 LP4-LP4;19 (37,25%);12875
DAT350 Types for programs and proofs 2017/2018 LP1-LP1;16 (38,10%);11149
EDA222 Real time systems 2013/2014 LP3-LP3;29 (37,18%);1793
EDA222 Real time systems 2014/2015 LP3-LP3;24 (39,34%);5217
EDA222 Real time systems 2015/2016 LP3-LP3;28 (35,90%);7404
EDA222 Real time systems 2016/2017 LP3-LP3;27 (37,50%);9787
EDA223 Real time systems 2017/2018 LP3-LP3;41 (54,67%);12297
EDA263 Computer security 2013/2014 LP3-LP3;36 (30,00%);1381
EDA263 Computer security 2014/2015 LP3-LP3;36 (28,80%);5313
EDA263 Computer security 2015/2016 LP3-LP3;47 (30,52%);7590
EDA263 Computer security 2016/2017 LP3-LP3;39 (33,33%);9643
EDA263 Computer security 2017/2018 LP3-LP3;63 (40,13%);12185
EDA491 Network security 2013/2014 LP4-LP4;40 (44,94%);3404
EDA491 Network security 2014/2015 LP4-LP4;35 (40,70%);5534
EDA491 Network security 2015/2016 LP4-LP4;30 (29,41%);8256
EDA491 Network security 2016/2017 LP4-LP4;35 (30,97%);10441
EDA491 Network security 2017/2018 LP4-LP4;26 (26,53%);12551
SSY340 Deep machine learning 2017/2018 LP1-LP1;26 (72,22%);11129
TDA183 Models of computation 2013/2014 LP2-LP2;14 (33,33%);2686
TDA183 Models of computation 2014/2015 LP2-LP2;21 (35,59%);4557
TDA183 Models of computation 2015/2016 LP2-LP2;12 (30,00%);6732
TDA184 Models of computation 2016/2017 LP2-LP2;10 (52,63%);8953
TDA184 Models of computation 2017/2018 LP2-LP2;5 (38,46%);11181
TDA206 Discrete optimization 2013/2014 LP3-LP3;17 (44,74%);1611
TDA206 Discrete optimization 2014/2015 LP3-LP3;28 (59,57%);5109
TDA206 Discrete optimization 2015/2016 LP3-LP3;25 (32,05%);7682
TDA206 Discrete optimization 2016/2017 LP3-LP3;25 (37,31%);9885
TDA206 Discrete optimization 2017/2018 LP3-LP3;31 (38,75%);11981
TDA231 Algorithms for machine learning and inference 2013/2014 LP3-LP3;14 (32,56%);1787
TDA231 Algorithms for machine learning and inference 2014/2015 LP3-LP3;44 (47,31%);5213
TDA231 Algorithms for machine learning and inference 2015/2016 LP3-LP3;60 (44,78%);7398
TDA231 Algorithms for machine learning and inference 2016/2017 LP3-LP3;60 (38,22%);9781
TDA231 Algorithms for machine learning and inference 2017/2018 LP4-LP4;48 (35,04%);12477
TDA251 Algorithms, advanced course 2013/2014 LP2-LP2;33 (42,86%);2606
TDA251 Algorithms, advanced course 2014/2015 LP2-LP2;33 (45,21%);4315
TDA251 Algorithms, advanced course 2015/2016 LP2-LP2;31 (45,59%);6890
TDA251 Algorithms, advanced course 2016/2017 LP2-LP2;16 (23,53%);9291
TDA251 Algorithms, advanced course 2017/2018 LP2-LP2;51 (43,22%);11594
TDA282 Compiler construction 2013/2014 LP4-LP4;20 (39,22%);3428
TDA283 Compiler construction 2014/2015 LP4-LP4;17 (29,82%);5990
TDA283 Compiler construction 2015/2016 LP4-LP4;12 (30,00%);8146
TDA283 Compiler construction 2016/2017 LP4-LP4;6 (23,08%);10545
TDA283 Compiler construction 2017/2018 LP4-LP4;10 (32,26%);12685
TDA293 Software engineering using formal methods 2013/2014 LP1-LP1;26 (44,07%);2124
TDA293 Software engineering using formal methods 2014/2015 LP1-LP1;21 (42,86%);3977
TDA293 Software engineering using formal methods 2015/2016 LP1-LP1;30 (51,72%);6183
TDA293 Software engineering using formal methods 2016/2017 LP1-LP1;31 (35,63%);8571
TDA294 Formal Methods in Software Development 2017/2018 LP1-LP1;7 (21,88%);11131
TDA342 Advanced functional programming 2013/2014 LP3-LP3;12 (36,36%);1717
TDA342 Advanced functional programming 2014/2015 LP3-LP3;30 (41,10%);5197
TDA342 Advanced functional programming 2015/2016 LP3-LP3;27 (45,76%);7384
TDA342 Advanced functional programming 2016/2017 LP3-LP3;11 (23,91%);9743
TDA342 Advanced functional programming 2017/2018 LP3-LP3;20 (45,45%);11881
TDA351 Cryptography 2013/2014 LP2-LP2;28 (26,42%);2732
TDA351 Cryptography 2014/2015 LP2-LP2;52 (37,41%);4435
TDA352 Cryptography 2015/2016 LP2-LP2;48 (36,92%);7238
TDA352 Cryptography 2016/2017 LP2-LP2;46 (34,33%);9445
TDA352 Cryptography 2017/2018 LP2-LP2;55 (37,93%);11494
TDA361 Computer graphics 2013/2014 LP2-LP2;36 (36,36%);2866
TDA361 Computer graphics 2014/2015 LP2-LP2;23 (24,73%);4835
TDA361 Computer graphics 2015/2016 LP2-LP2;31 (38,75%);6988
