programme;course_tag;report_id
MPAME;ENM145;4939
MPAME;ENM145;7040
MPAME;ENM145;8993
MPAME;ENM145;11001
MPAME;MHA042;3406
MPAME;MHA042;5686
MPAME;MHA042;8258
MPAME;MHA043;10611
MPAME;MHA043;12587
MPAME;MMA092;2734
MPAME;MMA092;4437
MPAME;MMA092;7156
MPAME;MMA092;9361
MPAME;MMA092;11382
MPAME;MTF072;2506
MPAME;MTF072;4287
MPAME;MTF072;6862
MPAME;MTF072;9269
MPAME;MTF072;11588
MPAME;MTF171;2504
MPAME;MTF171;4285
MPAME;MTF171;6860
MPAME;MTF171;9267
MPAME;MTF171;11322
MPAME;MTF270;3588
MPAME;MTF270;5796
MPAME;MTF270;7966
MPAME;MTF270;10353
MPAME;MTF270;12487
MPAME;PPU190;2382
MPAME;PPU190;4135
MPAME;PPU190;6339
MPAME;PPU190;8843
MPAME;PPU191;11099
MPAME;TEK475;9039
MPAME;TEK475;11688
MPAME;TEK475;2402
MPAME;TEK475;4793
MPAME;TEK475;7114
MPAME;TME085;1635
MPAME;TME085;5133
MPAME;TME085;7332
MPAME;TME085;9707
MPAME;TME085;12169
MPAME;TME130;3560
MPAME;TME131;6016
MPAME;TME131;8134
MPAME;TME131;10541
MPAME;TME131;12677
MPAME;TME141;2580
MPAME;TME141;4735
MPAME;TME141;7166
MPAME;TME141;9369
MPAME;TME141;11390
MPAME;TME146;4525
MPAME;TME146;6708
MPAME;TME146;9147
MPAME;TME160;2856
MPAME;TME160;4535
MPAME;TME160;6716
MPAME;TME160;9135
MPAME;TME160;11214
MPAME;TME210;4023
MPAME;TME210;2364
MPAME;TME210;6225
MPAME;TME210;8819
MPAME;TME210;10867
MPAME;TME225;2088
MPAME;TME225;3807
MPAME;TME225;6311
MPAME;TME225;8711
MPAME;TME225;10949
MPAME;TME230;4057
MPAME;TME230;6547
MPAME;TME230;8825
MPAME;TME230;10963
MPAME;TME235;2030
MPAME;TME235;4083
MPAME;TME235;6095
MPAME;TME235;8519
MPAME;TME235;11063
MPAME;TME240;1567
MPAME;TME240;5051
MPAME;TME240;7504
MPAME;TME240;9859
MPAME;TME240;11961
MPAME;TME245;1391
MPAME;TME245;5323
MPAME;TME245;7600
MPAME;TME245;9649
MPAME;TME245;12221
MPAME;TME250;2844
MPAME;TME250;4523
MPAME;TME250;6706
MPAME;TME250;9131
MPAME;TME250;11210
MPAME;TME260;2262
MPAME;TME260;3945
MPAME;TME260;6153
MPAME;TME260;8589
MPAME;TME260;10671
MPAME;TME265;4131
MPAME;TME265;6335
MPAME;TME265;8729
MPAME;TME265;10967
MPAME;TME265;2384
MPAME;TME280;8875
MPAME;TME280;10801
MPAME;FFR105;17629
MPAME;FFR105;19762
MPAME;FFR105;22546
MPAME;MHA043;14722
MPAME;MHA043;17053
MPAME;MHA043;19229
MPAME;MHA043;22061
MPAME;MMA092;13595
MPAME;MMA092;15845
MPAME;MMA092;18285
MPAME;MMA092;20409
MPAME;MMS175;20989
MPAME;MTF072;13731
MPAME;MTF072;15961
MPAME;MTF073;18679
MPAME;MTF073;20527
MPAME;MTF171;13561
MPAME;MTF171;16077
MPAME;MTF171;18133
MPAME;MTF270;14755
MPAME;MTF270;17141
MPAME;MTF271;19680
MPAME;MTF271;21865
MPAME;PPU191;13338
MPAME;PPU191;15464
MPAME;PPU191;17923
MPAME;PPU191;20116
MPAME;PPU191;22592
MPAME;SEE025;13418
MPAME;SEE040;15740
MPAME;SEE040;17537
MPAME;SEE040;20134
MPAME;SEE040;22624
MPAME;TEK475;13813
MPAME;TEK700;15780
MPAME;TME085;14343
MPAME;TME085;16544
MPAME;TME085;19055
MPAME;TME085;21159
MPAME;TME131;15119
MPAME;TME131;17275
MPAME;TME131;19424
MPAME;TME131;21789
MPAME;TME141;13955
MPAME;TME141;16281
MPAME;TME141;18125
MPAME;TME141;20815
MPAME;TME146;13757
MPAME;TME146;16283
MPAME;TME146;20627
MPAME;TME160;14067
MPAME;TME160;16205
MPAME;TME160;18355
MPAME;TME160;20493
MPAME;TME210;13262
MPAME;TME210;15572
MPAME;TME210;17759
MPAME;TME210;19980
MPAME;TME210;22484
MPAME;TME225;13130
MPAME;TME225;15368
MPAME;TME226;17943
MPAME;TME226;19920
MPAME;TME226;22418
MPAME;TME230;13140
MPAME;TME230;15520
MPAME;TME230;17685
MPAME;TME230;19882
MPAME;TME230;22380
MPAME;TME235;13224
MPAME;TME235;15278
MPAME;TME235;17559
MPAME;TME235;20162
MPAME;TME235;22638
MPAME;TME240;14217
MPAME;TME240;16724
MPAME;TME240;18907
MPAME;TME240;21179
MPAME;TME245;14389
MPAME;TME245;16562
MPAME;TME245;19067
MPAME;TME245;21317
MPAME;TME250;14061
MPAME;TME250;15789
MPAME;TME250;18135
MPAME;TME250;20823
MPAME;TME260;13406
MPAME;TME260;15636
MPAME;TME260;17789
MPAME;TME260;20004
MPAME;TME260;22404
MPAME;TME265;13290
MPAME;TME265;15590
MPAME;TME265;17767
