programme;course_tag;report_id
MPAPP;FFR110;818
MPAPP;FFR110;4705
MPAPP;FFR110;7720
MPAPP;FFR110;9907
MPAPP;FFR110;11993
MPAPP;FFY630;1160
MPAPP;FFY630;4853
MPAPP;FFY630;7004
MPAPP;FKA081;2052
MPAPP;FKA081;3775
MPAPP;FKA081;6281
MPAPP;FKA081;8687
MPAPP;FKA081;10741
MPAPP;FKA091;1228
MPAPP;FKA091;4613
MPAPP;FKA091;6786
MPAPP;FKA091;9217
MPAPP;FKA091;11282
MPAPP;FKA116;730
MPAPP;FKA116;4769
MPAPP;FKA116;7092
MPAPP;FKA116;9025
MPAPP;FKA116;11674
MPAPP;FKA121;1024
MPAPP;FKA121;4451
MPAPP;FKA121;6646
MPAPP;FKA121;9071
MPAPP;FKA121;11718
MPAPP;FKA196;2270
MPAPP;FKA196;4145
MPAPP;FKA196;6349
MPAPP;FKA196;8863
MPAPP;FKA196;10903
MPAPP;FMI036;1609
MPAPP;FMI036;5107
MPAPP;FMI036;7680
MPAPP;FMI036;9883
MPAPP;FMI036;11979
MPAPP;FMI040;3282
MPAPP;FMI040;5596
MPAPP;FMI040;8034
MPAPP;FMI040;10397
MPAPP;FMI040;12521
MPAPP;FUF085;2864
MPAPP;FUF085;4831
MPAPP;FUF085;6986
MPAPP;FUF085;9525
MPAPP;FUF085;11546
MPAPP;KPO020;3212
MPAPP;KPO020;5828
MPAPP;KPO021;8326
MPAPP;KPO021;10473
MPAPP;KPO021;12579
MPAPP;MCC080;3154
MPAPP;MCC080;5888
MPAPP;MCC080;8204
MPAPP;MCC080;10215
MPAPP;MCC080;12801
MPAPP;MCC115;1449
MPAPP;MCC115;4997
MPAPP;MCC115;7466
MPAPP;MCC115;9835
MPAPP;MCC115;12173
MPAPP;MCC130;4875
MPAPP;MCC130;7024
MPAPP;MCC130;8981
MPAPP;MCC130;11638
MPAPP;MTF072;2506
MPAPP;MTF072;4287
MPAPP;MTF072;6862
MPAPP;MTF072;9269
MPAPP;MTF072;11588
MPAPP;TIF015;350
MPAPP;TIF015;3825
MPAPP;TIF015;6323
MPAPP;TIF015;8839
MPAPP;TIF015;10883
MPAPP;TIF030;1964
MPAPP;TIF030;3743
MPAPP;TIF030;6257
MPAPP;TIF030;8669
MPAPP;TIF030;10725
MPAPP;TIF035;1629
MPAPP;TIF035;5129
MPAPP;TIF035;7328
MPAPP;TIF035;9703
MPAPP;TIF035;12261
MPAPP;TIF040;1785
MPAPP;TIF040;5211
MPAPP;TIF040;7396
MPAPP;TIF040;9779
MPAPP;TIF050;2508
MPAPP;TIF050;4289
MPAPP;TIF050;6864
MPAPP;TIF050;9271
MPAPP;TIF050;11324
MPAPP;TIF106;3490
MPAPP;TIF106;5940
MPAPP;TIF106;8104
MPAPP;TIF106;10555
MPAPP;TIF106;12697
MPAPP;TIF110;1447
MPAPP;TIF110;4995
MPAPP;TIF110;7464
MPAPP;TIF110;9833
MPAPP;TIF110;11941
MPAPP;TIF115;3484
MPAPP;TIF116;5507
MPAPP;TIF120;1601
MPAPP;TIF120;5099
MPAPP;TIF120;7674
MPAPP;TIF120;9877
MPAPP;TIF120;11975
MPAPP;TIF165;1719
MPAPP;TIF165;5199
MPAPP;TIF165;7386
MPAPP;TIF165;9745
MPAPP;TIF165;12027
MPAPP;TIF170;3206
MPAPP;TIF180;2154
MPAPP;TIF180;3863
MPAPP;TIF180;6509
MPAPP;TIF180;8741
MPAPP;TIF180;10813
MPAPP;TIF185;2910
MPAPP;TIF185;4577
MPAPP;TIF185;6750
MPAPP;TIF186;11432
MPAPP;TIF260;3202
MPAPP;TIF260;5580
MPAPP;TIF260;8010
MPAPP;TIF260;10383
MPAPP;TIF260;12509
MPAPP;TIF270;1863
MPAPP;TIF270;5359
MPAPP;TIF270;7522
MPAPP;TIF270;10001
MPAPP;TIF270;12119
MPAPP;TMA881;3558
MPAPP;TMA881;5774
MPAPP;TMA881;7794
MPAPP;TMA881;10339
MPAPP;TMS016;3364
MPAPP;TMS016;5750
MPAPP;TMS016;7792
MPAPP;TMS016;10275
MPAPP;TMS016;12425
MPAPP;FFR110;14505
MPAPP;FKA081;13000
MPAPP;FKA091;13533
MPAPP;FKA116;13801
MPAPP;FKA121;13839
MPAPP;FKA196;13380
MPAPP;FKA196;15666
MPAPP;FMI036;14225
MPAPP;FMI040;14783
MPAPP;FUF085;13905
MPAPP;KPO021;14835
MPAPP;MCC080;14955
MPAPP;MCC115;14345
MPAPP;MCC115;16660
MPAPP;MCC130;13767
MPAPP;MCC130;15981
MPAPP;MTF072;13731
MPAPP;MTF072;15961
MPAPP;TIF015;13364
MPAPP;TIF030;13294
MPAPP;TIF035;14419
MPAPP;TIF050;13897
MPAPP;TIF050;16231
MPAPP;TIF106;15021
MPAPP;TIF110;14201
MPAPP;TIF120;14223
MPAPP;TIF165;14271
MPAPP;TIF171;15077
MPAPP;TIF181;13438
MPAPP;TIF181;15578
MPAPP;TIF186;13639
MPAPP;TIF186;16241
MPAPP;TIF260;14779
MPAPP;TIF270;14555
MPAPP;TMA881;12970
MPAPP;TMA881;15370
MPAPP;TMS016;15055
