name;ans_freq;report_id
AMU019 Sustainable development and the design professions 2013/2014 LP1-LP1;57 (37,75%);2418
AMU019 Sustainable development and the design professions 2014/2015 LP1-LP1;67 (50,38%);3685
AMU019 Sustainable development and the design professions 2015/2016 LP1-LP1;81 (57,45%);6064
AMU019 Sustainable development and the design professions 2016/2017 LP1-LP1;86 (57,33%);8370
ARK077 Nordic architecture 2013/2014 LP3-LP3;28 (50,91%);1777
ARK077 Nordic architecture 2014/2015 LP3-LP3;25 (39,06%);
ARK077 Nordic architecture 2015/2016 LP3-LP3;28 (49,12%);7584
ARK077 Nordic architecture 2016/2017 LP3-LP3;29 (58,00%);9584
ARK079 Nordic architecture 2017/2018 LP3-LP3;16 (64,00%);11843
ARK122 Matter, space, structure 1 2013/2014 LP1-LP2;15 (53,57%);3042
ARK122 Matter, space, structure 1 2014/2015 LP1-LP2;13 (52,00%);4667
ARK122 Matter, space, structure 1 2015/2016 LP1-LP2;13 (46,43%);6836
ARK122 Matter, space, structure 1 2016/2017 LP1-LP2;13 (52,00%);9149
ARK123 Matter, space, structure 1 2017/2018 LP1-LP2;12 (48,00%);11798
ARK127 Architecture and urban space design 1 2015/2016 LP1-LP2;6 (42,86%);6892
ARK127 Architecture and urban space design 1 2016/2017 LP1-LP2;6 (28,57%);9489
ARK127 Urban and architectural design 1 2013/2014 LP1-LP2;14 (34,15%);3046
ARK127 Urban and architectural design 1 2014/2015 LP1-LP2;10 (43,48%);4383
ARK128 Architecture and urban space design 2017/2018 LP1-LP2;11 (47,83%);11802
ARK131 Matter, space, structure 2 2013/2014 LP3-LP4;9 (42,86%);3690
ARK131 Matter, space, structure 2 2014/2015 LP3-LP4;10 (37,04%);5477
ARK131 Matter, space, structure 2 2015/2016 LP3-LP4;10 (37,04%);8174
ARK131 Matter, space, structure 2 2016/2017 LP3-LP4;9 (50,00%);10058
ARK132 Matter, space, structure 2 2017/2018 LP3-LP4;11 (45,83%);12897
ARK136 Future visions for healthcare, housing and work 2: Housing inventions 2013/2014 LP3-LP4;19 (50,00%);3692
ARK136 Future visions for healthcare, housing and work 2: Housing inventions 2014/2015 LP3-LP4;11 (26,19%);5479
ARK136 Future visions for healthcare, housing and work 2: Housing inventions 2015/2016 LP3-LP4;12 (28,57%);8176
ARK136 Future visions for healthcare, housing and work 2: Housing inventions 2016/2017 LP3-LP4;27 (64,29%);10056
ARK137 Future visions for healthcare, housing and work 2: Housing inventions 2017/2018 LP3-LP4;24 (54,55%);12895
ARK141 Spatial morphology studio 2016/2017 LP3-LP4;10 (55,56%);10066
ARK141 Urban and architectural design  2 2013/2014 LP3-LP4;18 (69,23%);3694
ARK141 Urban and architectural design  2 2014/2015 LP3-LP4;8 (50,00%);5475
ARK141 Urban morphology and the social logic of space 2015/2016 LP3-LP4;8 (57,14%);7890
ARK142 Spatial morphology design studio 2017/2018 LP3-LP4;12 (85,71%);12893
ARK151 Architectural competitions 2013/2014 LP4-LP4;34 (45,33%);3542
ARK151 Architectural competitions 2014/2015 LP4-LP4;18 (24,32%);5970
ARK151 Architectural competitions 2015/2016 LP4-LP4;31 (37,80%);8178
ARK151 Architectural competitions 2016/2017 LP4-LP4;20 (25,64%);10195
ARK153 Architectural competitions 2017/2018 LP3-LP3;10 (40,00%);12301
ARK257 Matter, space, structure 3 2014/2015 LP1-LP2;5 (31,25%);4815
ARK257 Matter, space, structure 3 2015/2016 LP1-LP2;14 (53,85%);6972
ARK257 Matter, space, structure 3 2016/2017 LP1-LP2;7 (23,33%);9347
ARK258 Matter, space, structure 3 2017/2018 LP1-LP2;12 (36,36%);11810
ARK262 Future visions for healthcare, housing and work 3: Healthcare architecture 2013/2014 LP1-LP2;18 (81,82%);3050
ARK262 Future visions for healthcare, housing and work 3: Healthcare architecture 2014/2015 LP1-LP2;14 (73,68%);4673
ARK262 Future visions for healthcare, housing and work 3: Healthcare architecture 2015/2016 LP1-LP2;11 (55,00%);6772
ARK262 Future visions for healthcare, housing and work 3: Healthcare architecture 2016/2017 LP1-LP2;24 (80,00%);9205
ARK263 Future visions for healthcare, housing and work 3: Healthcare architecture 2017/2018 LP1-LP2;16 (53,33%);11804
ARK267 Urban and architectural design 3 2014/2015 LP1-LP2;3 (27,27%);4795
ARK316 Leadership in architectural professions - master's thesis preparation course 2013/2014 LP1-LP1;17 (30,36%);2202
ARK316 Leadership in architectural professions - master's thesis preparation course 2013/2014 LP3-LP3;6 (46,15%);1581
ARK316 Leadership in architectural professions - master's thesis preparation course 2014/2015 LP1-LP1;27 (48,21%);3907
ARK316 Leadership in architectural professions - master's thesis preparation course 2014/2015 LP3-LP3;5 (62,50%);
ARK337 Material and detail 1 2013/2014 LP1-LP2;5 (33,33%);3048
ARK337 Material and detail 1 2014/2015 LP1-LP2;5 (20,00%);4809
ARK337 Material and detail 1 2015/2016 LP1-LP2;8 (28,57%);6966
ARK337 Material and detail 1 2016/2017 LP1-LP2;7 (25,00%);9343
ARK338 Material and detail 1 2017/2018 LP1-LP2;15 (48,39%);11806
ARK350 Sustainable building: Competition 1 2013/2014 LP1-LP2;12 (60,00%);2696
