name;ans_freq;report_id
DAT295 Autonomous and cooperative vehicular systems 2016/2017 LP2-LP2;4 (40,00%);9295
DAT295 Autonomous and cooperative vehicular systems 2017/2018 LP2-LP2;8 (38,10%);11604
ENM145 Leadership for sustainability transitions - Challenge Lab preparational course 2014/2015 LP2-LP2;12 (38,71%);4939
ENM145 Leadership for sustainability transitions - Challenge Lab preparational course 2015/2016 LP2-LP2;11 (30,56%);7040
ENM145 Leadership for sustainability transitions - Challenge Lab preparational course 2016/2017 LP2-LP2;24 (68,57%);8993
ENM145 Leadership for sustainability transitions 2017/2018 LP1-LP1;24 (64,86%);11001
ESS076 Nonlinear and adaptive control 2017/2018 LP1-LP1;40 (50,63%);10715
ESS101 Modelling and simulation 2016/2017 LP1-LP1;90 (50,56%);8747
ESS101 Modelling and simulation 2017/2018 LP1-LP1;119 (54,59%);10773
KBT120 Design and analysis of experiments 2017/2018 LP1-LP1;26 (34,21%);10973
KKR073 Computational fluid dynamics for engineers (CFD) 2016/2017 LP4-LP4;14 (36,84%);10585
KKR073 Computational fluid dynamics for engineers (CFD) 2017/2018 LP4-LP4;17 (41,46%);12617
MMA092 Rigid body dynamics 2016/2017 LP2-LP2;15 (31,25%);9361
MMA092 Rigid body dynamics 2017/2018 LP2-LP2;23 (50,00%);11382
MMF062 Vehicle dynamics 2013/2014 LP2-LP2;22 (42,31%);2614
MMF062 Vehicle dynamics 2014/2015 LP2-LP2;22 (40,00%);4321
MMF062 Vehicle dynamics 2015/2016 LP2-LP2;31 (49,21%);6898
MMF062 Vehicle dynamics 2016/2017 LP2-LP2;28 (38,89%);9297
MMF062 Vehicle dynamics 2017/2018 LP2-LP2;27 (47,37%);11338
MTF225 Internal combustion engines advanced 2013/2014 LP4-LP4;9 (33,33%);3486
MTF225 Internal combustion engines advanced 2014/2015 LP4-LP4;15 (55,56%);5736
MTF225 Internal combustion engines advanced 2015/2016 LP4-LP4;14 (48,28%);7918
MTF225 Internal combustion engines advanced 2016/2017 LP4-LP4;11 (30,56%);10269
MTF225 Internal combustion engines advanced 2017/2018 LP4-LP4;8 (34,78%);12845
MTF235 Road vehicle aerodynamics 2013/2014 LP3-LP3;21 (47,73%);1591
MTF235 Road vehicle aerodynamics 2014/2015 LP3-LP3;22 (53,66%);5089
MTF235 Road vehicle aerodynamics 2015/2016 LP3-LP3;18 (48,65%);7664
MTF235 Road vehicle aerodynamics 2016/2017 LP3-LP3;18 (40,91%);9683
MTF235 Road vehicle aerodynamics 2017/2018 LP3-LP3;22 (68,75%);12249
MTF240 Internal combustion engines 2013/2014 LP1-LP1;30 (52,63%);2264
MTF240 Internal combustion engines 2014/2015 LP1-LP1;40 (66,67%);3947
MTF240 Internal combustion engines 2015/2016 LP1-LP1;38 (60,32%);6155
MTF240 Internal combustion engines 2016/2017 LP1-LP1;45 (56,25%);8549
MTF240 Internal combustion engines 2017/2018 LP1-LP1;33 (55,93%);11081
PPU190 Engineering design and optimization 2013/2014 LP1-LP1;10 (27,03%);2382
PPU190 Engineering design and optimization 2014/2015 LP1-LP1;26 (68,42%);4135
PPU190 Engineering design and optimization 2015/2016 LP1-LP1;19 (70,37%);6339
PPU190 Engineering design and optimization 2016/2017 LP1-LP1;31 (70,45%);8843
PPU191 Engineering design and optimization 2017/2018 LP1-LP1;16 (43,24%);11099
SSY130 Applied signal processing 2016/2017 LP2-LP2;81 (45,51%);9521
SSY130 Applied signal processing 2017/2018 LP2-LP2;78 (39,80%);11542
SSY261 Applied mechatronics design 2017/2018 LP2-LP2;7 (38,89%);11236
SSY285 Linear control system design 2017/2018 LP2-LP2;72 (39,13%);11702
TEK465 Sustainable transportation 2016/2017 LP1-LP1;36 (45,57%);8481
TEK465 Sustainable transportation 2017/2018 LP1-LP1;46 (51,11%);11037
TEK475 Praktiskt ledar- och entreprenörskap 2016/2017 LP1-LP2;12 (54,55%);9039
TEK475 Praktiskt ledar- och entreprenörskap 2017/2018 LP1-LP2;16 (35,56%);11688
TEK475 Praktiskt ledarskap inom innovation 2013/2014 LP1-LP1;8 (19,51%);2402
TEK475 Praktiskt ledarskap inom innovation 2014/2015 LP1-LP2;11 (32,35%);4793
TEK475 Praktiskt ledarskap inom innovation 2015/2016 LP1-LP2;9 (33,33%);7114
TME046 Chalmers formula student 2013/2014 LP1-LP3;7 (53,85%);1441
TME047 Chalmers formula student 2014/2015 LP1-LP4;13 (44,83%);5998
TME047 Chalmers formula student 2015/2016 LP1-LP4;9 (32,14%);8158
TME047 Chalmers formula student 2016/2017 LP1-LP4;14 (43,75%);10175
TME047 Chalmers formula student 2017/2018 LP1-LP4;13 (41,94%);12777
TME095 Electric and Hybrid Vehicles 2017/2018 LP3-LP3;41 (47,13%);12087
TME095 Hybrid vehicles and control 2013/2014 LP3-LP3;22 (45,83%);1651
TME095 Hybrid vehicles and control 2014/2015 LP3-LP3;30 (55,56%);5147
TME095 Hybrid vehicles and control 2015/2016 LP3-LP3;24 (33,33%);7342
TME095 Hybrid vehicles and control 2016/2017 LP3-LP3;34 (43,04%);9957
TME102 Vehicle dynamics, advanced 2013/2014 LP4-LP4;9 (50,00%);3236
TME102 Vehicle dynamics, advanced 2014/2015 LP4-LP4;11 (47,83%);6040
TME102 Vehicle dynamics, advanced 2015/2016 LP4-LP4;20 (52,63%);8294
TME102 Vehicle dynamics, advanced 2016/2017 LP4-LP4;18 (38,30%);10521
TME102 Vehicle dynamics, advanced 2017/2018 LP4-LP4;8 (28,57%);12659
TME121 Engineering of automotive systems 2013/2014 LP1-LP1;21 (40,38%);2216
TME121 Engineering of automotive systems 2014/2015 LP1-LP1;36 (72,00%);3917
TME121 Engineering of automotive systems 2015/2016 LP1-LP1;38 (71,70%);6123
TME121 Engineering of automotive systems 2016/2017 LP1-LP1;46 (61,33%);8805
TME121 Engineering of automotive systems 2017/2018 LP1-LP1;32 (50,00%);10815
TME125 Finite element simulation in design 2017/2018 LP2-LP2;19 (45,24%);11626
TME170 Powertrain mechanics 2013/2014 LP2-LP2;13 (34,21%);2924
TME170 Powertrain mechanics 2014/2015 LP2-LP2;11 (26,83%);4589
TME170 Powertrain mechanics 2015/2016 LP2-LP2;16 (43,24%);6762
TME170 Powertrain mechanics 2016/2017 LP2-LP2;12 (29,27%);9197
TME170 Powertrain mechanics 2017/2018 LP2-LP2;11 (29,73%);11266
TME180 Automotive engineering project 2013/2014 LP1-LP2;9 (45,00%);2876
TME180 Automotive engineering project 2014/2015 LP1-LP2;15 (53,57%);4845
TME180 Automotive engineering project 2015/2016 LP1-LP2;17 (54,84%);6996
TME180 Automotive engineering project 2016/2017 LP1-LP2;12 (33,33%);8967
TME180 Automotive engineering project 2017/2018 LP1-LP2;18 (33,96%);11630
TME192 Active safety 2013/2014 LP1-LP1;4 (57,14%);2386
TME192 Active safety 2015/2016 LP1-LP1;18 (66,67%);6327
TME192 Active safety 2016/2017 LP1-LP1;11 (28,95%);8723
TME192 Active safety 2017/2018 LP1-LP1;22 (46,81%);10757
TME192 Aktiv säkerhet 2014/2015 LP1-LP1;18 (46,15%);3829
TME196 Impact biomechanics 2013/2014 LP4-LP4;8 (57,14%);3242
TME196 Impact biomechanics 2014/2015 LP4-LP4;4 (30,77%);5854
TME196 Impact biomechanics 2015/2016 LP4-LP4;6 (66,67%);8300
TME196 Impact biomechanics 2016/2017 LP4-LP4;8 (47,06%);10523
TME196 Impact biomechanics 2017/2018 LP4-LP4;13 (36,11%);12661
TME202 Vehicle and traffic safety 2013/2014 LP2-LP2;21 (48,84%);3066
TME202 Vehicle and traffic safety 2014/2015 LP2-LP2;31 (51,67%);4797
TME202 Vehicle and traffic safety 2015/2016 LP2-LP2;25 (48,08%);6954
TME202 Vehicle and traffic safety 2016/2017 LP2-LP2;24 (36,92%);9337
TME202 Vehicle and traffic safety 2017/2018 LP2-LP2;24 (42,86%);11366
TME235 Mechanics of solids 2016/2017 LP1-LP1;34 (50,75%);8519
TME235 Mechanics of solids 2017/2018 LP1-LP1;31 (49,21%);11063
TME245 Finite element method - structures 2016/2017 LP3-LP3;41 (48,24%);9649
TME245 Finite element method - structures 2017/2018 LP3-LP3;37 (39,78%);12221
TME265 Preparatory course in Matlab 2014/2015 LP1-LP1;11 (25,58%);4131
TME265 Preparatory course in Matlab 2015/2016 LP1-LP1;30 (40,00%);6335
TME265 Preparatory course in Matlab 2016/2017 LP1-LP1;28 (51,85%);8729
TME265 Preparatory course in Matlab 2017/2018 LP1-LP1;9 (24,32%);10967
TME265 Prepatory course in Matlab 2013/2014 LP1-LP1;12 (46,15%);2384
TME280 Combustion Modeling 2016/2017 LP1-LP1;12 (66,67%);8875
TME280 Combustion Modeling 2017/2018 LP1-LP1;7 (33,33%);10801
TME290 Autonomous robots 2017/2018 LP4-LP4;16 (37,21%);12729
DAT295 Autonomous and cooperative vehicular systems 2018/2019 LP2-LP2;6 (30,00%);13747
DAT295 Autonomous and cooperative vehicular systems 2019/2020 LP2-LP2;7 (41,18%);15971
DAT295 Autonomous and cooperative vehicular systems 2021/2022 LP2-LP2;12 (35,29%);20443
EEN015 Lithium-ion battery systems for vehicles and large-scale energy storage 2018/2019 LP2-LP2;10 (20,83%);14103
EEN016 Lithium-ion battery systems for vehicles and large-scale energy storage 2019/2020 LP2-LP2;17 (40,48%);16407
EEN016 Lithium-ion battery systems for vehicles and large-scale energy storage 2020/2021 LP2-LP2;12 (26,09%);18081
EEN016 Lithium-ion battery systems for vehicles and large-scale energy storage 2021/2022 LP2-LP2;13 (30,95%);20755
EEN050 Robust and nonlinear control 2019/2020 LP1-LP1;17 (44,74%);15702
EEN050 Robust and nonlinear control 2020/2021 LP1-LP1;8 (18,18%);17499
EEN050 Robust and nonlinear control 2021/2022 LP1-LP1;11 (37,93%);20070
ESS076 Robust and nonlinear control 2018/2019 LP1-LP1;22 (39,29%);12984
ESS101 Modelling and simulation 2018/2019 LP1-LP1;73 (42,94%);13022
ESS101 Modelling and simulation 2019/2020 LP1-LP1;50 (36,76%);15264
ESS101 Modelling and simulation 2020/2021 LP1-LP1;60 (40,27%);17699
ESS101 Modelling and simulation 2021/2022 LP1-LP1;41 (30,37%);19892
KBT120 Design and analysis of experiments 2018/2019 LP1-LP1;69 (55,65%);13146
KBT120 Design and analysis of experiments 2019/2020 LP1-LP1;62 (52,99%);15380
KBT120 Design and analysis of experiments 2020/2021 LP1-LP1;51 (46,79%);17787
KBT120 Design and analysis of experiments 2021/2022 LP1-LP1;56 (44,44%);20002
KKR073 Computational fluid dynamics for engineers (CFD) 2018/2019 LP4-LP4;27 (35,53%);14863
KKR073 Computational fluid dynamics for engineers (CFD) 2019/2020 LP4-LP4;25 (40,32%);17051
KKR073 Computational fluid dynamics for engineers (CFD) 2020/2021 LP4-LP4;23 (31,94%);19410
MMA092 Rigid body dynamics 2018/2019 LP2-LP2;7 (30,43%);13595
MMA092 Rigid body dynamics 2019/2020 LP2-LP2;7 (31,82%);15845
MMA092 Rigid body dynamics 2020/2021 LP2-LP2;27 (42,86%);18285
MMA092 Rigid body dynamics 2021/2022 LP2-LP2;12 (37,50%);20409
MMF062 Vehicle dynamics 2018/2019 LP2-LP2;28 (40,00%);13573
MMF062 Vehicle dynamics 2019/2020 LP2-LP2;33 (47,14%);15805
MMF062 Vehicle dynamics 2020/2021 LP2-LP2;28 (45,16%);18283
MMS030 Combustion Modeling 2018/2019 LP1-LP1;4 (66,67%);13420
MMS030 Combustion Modeling 2019/2020 LP1-LP1;6 (42,86%);15450
MMS050 Finite element simulations in design 2019/2020 LP2-LP2;18 (50,00%);16429
MMS050 Finite element simulations in design 2020/2021 LP2-LP2;24 (70,59%);18099
