programme;course_tag;report_id
MPBDP;CIP011;2994
MPBDP;CIP011;4651
MPBDP;CIP011;6617
MPBDP;CIP011;8943
MPBDP;CIP011;11172
MPBDP;CIP016;2546
MPBDP;CIP017;4941
MPBDP;CIP017;7016
MPBDP;CIP017;9509
MPBDP;CIP017;11532
MPBDP;CIP057;2368
MPBDP;CIP058;4231
MPBDP;CIP058;6407
MPBDP;CIP058;8435
MPBDP;CIP058;11009
MPBDP;CIP061;1619
MPBDP;CIP061;5119
MPBDP;CIP061;7632
MPBDP;CIP061;9913
MPBDP;CIP061;11997
MPBDP;IBB135;3216
MPBDP;IBB135;5832
MPBDP;IBB135;8272
MPBDP;IBB136;10587
MPBDP;IBB136;12583
MPBDP;TEK030;3320
MPBDP;TEK030;5622
MPBDP;TEK030;8058
MPBDP;TEK030;10411
MPBDP;TEK030;12527
MPBDP;TEK190;3502
MPBDP;TEK190;5536
MPBDP;TEK190;8114
MPBDP;TEK190;10145
MPBDP;TEK190;12759
MPBDP;TEK211;1867
MPBDP;TEK211;5255
MPBDP;TEK211;7698
MPBDP;TEK211;9923
MPBDP;TEK211;12003
MPBDP;TEK216;1713
MPBDP;TEK216;5193
MPBDP;TEK216;7378
MPBDP;TEK216;9739
MPBDP;TEK216;12141
MPBDP;TEK236;3318
MPBDP;TEK236;5620
MPBDP;TEK236;8056
MPBDP;TEK237;10609
MPBDP;TEK237;12739
MPBDP;TEK255;1531
MPBDP;TEK255;5025
MPBDP;TEK255;7444
MPBDP;TEK255;9817
MPBDP;TEK255;11929
MPBDP;TEK295;2904
MPBDP;TEK296;4927
MPBDP;TEK296;7036
MPBDP;TEK296;8989
MPBDP;TEK296;11646
MPBDP;TEK300;2712
MPBDP;TEK300;4373
MPBDP;TEK300;6944
MPBDP;TEK300;9493
MPBDP;TEK300;11522
MPBDP;TEK305;2294
MPBDP;TEK306;3666
MPBDP;TEK306;5824
MPBDP;TEK306;8264
MPBDP;TEK306;10451
MPBDP;TEK306;12595
MPBDP;TEK350;1769
MPBDP;TEK350;5403
MPBDP;TEK350;7580
MPBDP;TEK350;9639
MPBDP;TEK360;3168
MPBDP;TEK360;5900
MPBDP;TEK360;8212
MPBDP;TEK360;10075
MPBDP;TEK360;12395
MPBDP;TEK455;3660
MPBDP;TEK455;5928
MPBDP;TEK455;8096
MPBDP;TEK455;10435
MPBDP;TEK455;12547
MPBDP;TEK510;9991
MPBDP;TEK510;12113
MPBDP;TEK510;5447
MPBDP;CIP011;13471
MPBDP;CIP011;15759
MPBDP;CIP011;18017
MPBDP;CIP011;20841
MPBDP;CIP017;14035
MPBDP;CIP017;15783
MPBDP;CIP017;18453
MPBDP;CIP017;20635
MPBDP;CIP058;13172
MPBDP;CIP058;15392
MPBDP;CIP058;17547
MPBDP;CIP058;20140
MPBDP;CIP058;22224
MPBDP;CIP061;14235
MPBDP;CIP061;16492
MPBDP;CIP061;18787
MPBDP;CIP061;21395
MPBDP;IBB136;14837
MPBDP;IBB136;16922
MPBDP;IBB137;19708
MPBDP;IBB137;21837
MPBDP;TEK010;14243
MPBDP;TEK030;14789
MPBDP;TEK030;19396
MPBDP;TEK030;21755
MPBDP;TEK190;14925
MPBDP;TEK190;17259
MPBDP;TEK190;19596
MPBDP;TEK190;21961
MPBDP;TEK211;14239
MPBDP;TEK211;16708
MPBDP;TEK211;18789
MPBDP;TEK211;21397
MPBDP;TEK217;19726
MPBDP;TEK218;22147
MPBDP;TEK237;14907
MPBDP;TEK237;17089
MPBDP;TEK237;19452
MPBDP;TEK237;21805
MPBDP;TEK255;14193
MPBDP;TEK255;16626
MPBDP;TEK255;18979
MPBDP;TEK296;13775
MPBDP;TEK296;18579
MPBDP;TEK296;20449
MPBDP;TEK300;14029
MPBDP;TEK300;18383
MPBDP;TEK300;20541
MPBDP;TEK306;14847
MPBDP;TEK306;16956
MPBDP;TEK306;19262
MPBDP;TEK306;21927
MPBDP;TEK360;14919
MPBDP;TEK360;17265
MPBDP;TEK360;19598
MPBDP;TEK360;21963
MPBDP;TEK455;14777
MPBDP;TEK455;16964
MPBDP;TEK455;19636
MPBDP;TEK455;21987
MPBDP;TEK510;14549
MPBDP;TEK510;16712
MPBDP;TEK510;19035
MPBDP;TEK510;21127
